id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,prec_score,imb_sens,pr_curve,imb_sens_spec_supp_micro,hinge_loss,hamming_loss,bal_report,roc_auc_score,log_loss,imb_spec,avg_prec_score,imb_sens_spec_supp,cohen_kappa_score,roc_curve,imb_report_0.1,priors,accuracy,matthews_corrcoef,imb_sens_micro,imb_report_0.3,zero_one_loss,imb_spec_micro,f1_score,rec_score,confusion_matrix,y,X,fbeta_score
CVS,0,9,0.8636363636363636,0.9738062442607898,0.6363636363636364,1.0,0.7977240352174656,0.4605661864718383,0.6923076923076923,7,2,0,4,2,11,0.3333333333333333,1.0,1.0,0.6363636363636364,0.5,0.7777777777777778,2.75,inf,0.36363636363636365,0.6363636363636364,0.6923076923076923,[1.         0.63636364],,"(0.6923076923076923, 0.6923076923076923, None)",,0.3076923076923077,"              precision    recall  f1-score   support

           0       0.33      1.00      0.50         2
           1       1.00      0.64      0.78        11

    accuracy                           0.69        13
   macro avg       0.67      0.82      0.64        13
weighted avg       0.90      0.69      0.74        13
",0.8181818181818181,10.627315813818672,[0.63636364 1.        ],0.9440559440559441,"(array([1.        , 0.63636364]), array([0.63636364, 1.        ]), array([ 2, 11], dtype=int32))",0.35,"(array([0., 0., 1.]), array([0.        , 0.63636364, 1.        ]), array([2, 1, 0]))","                   pre       rec       spe        f1       geo       iba       sup

          0       0.33      1.00      0.64      0.50      0.80      0.66         2
          1       1.00      0.64      1.00      0.78      0.80      0.61        11

avg / total       0.90      0.69      0.94      0.74      0.80      0.62        13
",,0.6923076923076923,0.4605661864718383,0.6923076923076923,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.33      1.00      0.64      0.50      0.80      0.71         2
          1       1.00      0.64      1.00      0.78      0.80      0.57        11

avg / total       0.90      0.69      0.94      0.74      0.80      0.59        13
",0.3076923076923077,0.6923076923076923,0.6923076923076923,0.6923076923076923,"[[2 0]
 [4 7]]","[0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0
 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1
 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1
 1 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[[-0.4795807   0.31933387  0.57111554 ...  0.64838769 -0.20115013
   0.64252109]
 [ 0.22858407 -0.27872773 -0.2649516  ... -0.33725363 -0.33478307
  -1.00993391]
 [-0.41242715  0.7844929  -0.2649516  ... -0.94323268 -0.35864609
  -0.69780352]
 ...
 [-0.23907401  0.3415155   0.09336289 ... -0.64320488 -0.30993967
   0.15710473]
 [-0.37764266 -0.90739283 -0.2790906  ... -0.8815035  -0.33786074
  -0.62460905]
 [-0.56244517 -0.76062034 -0.83623845 ... -0.97835367 -0.31872854
  -0.40633256]]",0.6923076923076923
CVSbal,0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,0,0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,inf,inf,0.0,1.0,1.0,[1. 1.],,"(1.0, 1.0, None)",,0.0,"              precision    recall  f1-score   support

           0       1.00      1.00      1.00         2
           1       1.00      1.00      1.00         2

    accuracy                           1.00         4
   macro avg       1.00      1.00      1.00         4
weighted avg       1.00      1.00      1.00         4
",1.0,9.992007221626415e-16,[1. 1.],1.0,"(array([1., 1.]), array([1., 1.]), array([2, 2], dtype=int32))",1.0,"(array([0., 0., 1.]), array([0., 1., 1.]), array([2, 1, 0]))","                   pre       rec       spe        f1       geo       iba       sup

          0       1.00      1.00      1.00      1.00      1.00      1.00         2
          1       1.00      1.00      1.00      1.00      1.00      1.00         2

avg / total       1.00      1.00      1.00      1.00      1.00      1.00         4
",,1.0,1.0,1.0,"                   pre       rec       spe        f1       geo       iba       sup

          0       1.00      1.00      1.00      1.00      1.00      1.00         2
          1       1.00      1.00      1.00      1.00      1.00      1.00         2

avg / total       1.00      1.00      1.00      1.00      1.00      1.00         4
",0.0,1.0,1.0,1.0,"[[2 0]
 [0 2]]","[0 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0
 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1
 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1
 1 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[[-0.4795807   0.31933387  0.57111554 ...  0.64838769 -0.20115013
   0.64252109]
 [ 0.22858407 -0.27872773 -0.2649516  ... -0.33725363 -0.33478307
  -1.00993391]
 [-0.41242715  0.7844929  -0.2649516  ... -0.94323268 -0.35864609
  -0.69780352]
 ...
 [-0.23907401  0.3415155   0.09336289 ... -0.64320488 -0.30993967
   0.15710473]
 [-0.37764266 -0.90739283 -0.2790906  ... -0.8815035  -0.33786074
  -0.62460905]
 [-0.56244517 -0.76062034 -0.83623845 ... -0.97835367 -0.31872854
  -0.40633256]]",1.0
