id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,max_iter,gamma,zero_one_loss,f1_score,pr_curve,hamming_loss,prec_score,log_loss,cohen_kappa_score,avg_prec_score,imb_spec_micro,hinge_loss,matthews_corrcoef,accuracy,rec_score,probability,C,imb_sens_micro,roc_auc_score,fbeta_score
HOS,0,3.0276503540974917,0.0014068935535871947,0.002856280516726116,0.010827425028872108,0.005376792062154476,0.003735945964338266,0.004579510151431295,0.0015141337225554497,6.149977416399362,6.183310871477608,6.183310871477625,6.149977416399362,0.0,0.0,0.0038824805262228494,0.0033870023080571987,0.005376792062154476,0.010827425028872108,0.001510423488621927,0.004076071463467084,0.07478194635303674,0.051701103638608845,0.010827425028872103,0.010827425028872108,0.0,0.0,0.0015141337225554328,0.0015141337225554336,,0.0015141337225554328,0.0015141337225554497,0.052296968277458056,0.0042909570340636275,0.00256249442708618,0.0015141337225554497,,0.004579510151431295,0.0015141337225554497,0.0015141337225554497,0.0,0.0,0.0015141337225554497,0.003164923209544132,0.0015141337225554497
HOS,1,3.0276503540974917,0.0111609449718833,0.011098871553526674,0.04908433303440551,0.0019139216254167235,0.06648799696226303,0.052780515875374495,0.014998950787805745,27.879901163542332,2.201009869229202,2.2010098692292237,27.87990116354233,0.0,0.0,0.01165289349103425,0.016174176655164706,0.0019139216254167235,0.04908433303440551,0.007379675384694279,0.0737855565104408,0.06598082990782361,,0.04908433303440555,0.04908433303440551,0.0,0.0,0.014998950787805743,0.014998950787805745,,0.014998950787805734,0.014998950787805745,0.5180444280603161,0.05702600998290923,0.029329014937670976,0.014998950787805745,,0.052780515875374495,0.014998950787805745,0.014998950787805745,0.0,0.0,0.014998950787805745,0.02362245547178845,0.01499895078780576
HOS,2,3.0276503540974917,0.0014977713113176812,0.004187234300899375,0.007052027645915408,0.009330002106026917,0.0031440600742258175,0.0066560259743797525,0.0048237518437955805,4.005551702879949,10.729502421930952,10.729502421930952,4.005551702879946,0.0,0.0,0.0022139159546409343,0.006274881047556748,0.009330002106026917,0.007052027645915408,0.005272550044117213,0.003493870162425093,0.030472188390342825,0.05729942301010242,0.007052027645915406,0.007052027645915408,0.0,0.0,0.004823751843795589,0.0048237518437955805,,0.004823751843795571,0.0048237518437955805,0.16661119704279523,0.007237366274329022,0.0036990134127445305,0.0048237518437955805,,0.0066560259743797525,0.0048237518437955805,0.0048237518437955805,0.0,0.0,0.0048237518437955805,0.003206019770869112,0.0048237518437956066
HOS,3,3.0276503540974917,0.0017831174985253576,0.0029478276262172964,0.011259349968534869,0.005561139810545929,0.0048697918855161405,0.007649946644248801,0.0033290819696588573,6.395310782127798,6.395310782127788,6.395310782127793,6.395310782127794,0.0,0.0,0.004707913208725803,0.007431524918987898,0.005561139810545929,0.011259349968534869,0.0025567084654701503,0.005417737277178568,0.2258157764636088,0.3176325289323938,0.011259349968534858,0.011259349968534869,0.0,0.0,0.003329081969658875,0.0033290819696588573,,0.0033290819696588517,0.0033290819696588573,0.11498374874389304,0.007653845781092565,0.006196379793901447,0.0033290819696588573,,0.007649946644248801,0.0033290819696588573,0.0033290819696588573,0.0,0.0,0.0033290819696588573,0.004542792265390127,0.0033290819696588573
HOS,4,3.0276503540974917,0.002247483294687542,0.0034889382617935105,0.016752613479989555,0.0013749033305079888,0.011495357299056905,0.013184765861136162,0.005570889925031594,9.515484456634056,1.5811388300841878,1.5811388300841898,9.515484456634056,0.0,0.0,0.005456528719607456,0.004859130477878847,0.0013749033305079888,0.016752613479989555,0.0033468672604312884,0.014319624759585071,0.07315050961818105,6.00108977909679,0.016752613479989537,0.016752613479989555,0.0,0.0,0.00557088992503164,0.005570889925031628,,0.005570889925031613,0.005570889925031594,0.19241180789529708,0.016179011296587394,0.011357632196385695,0.005570889925031594,,0.013184765861136162,0.005570889925031594,0.005570889925031594,0.0,0.0,0.005570889925031594,0.0083715154233185,0.005570889925031594
HOS,5,3.0276503540974917,0.001829105180938597,0.005167224711669026,0.0066808682961303455,0.008620447743746693,0.00354795103084426,0.007530071530378934,0.004823751843795564,3.7947331922020484,9.913514905308704,9.9135149053087,3.794733192202061,0.0,0.0,0.0024521118064112055,0.007086885870508023,0.008620447743746693,0.0066808682961303455,0.004863647115850632,0.004207334528388577,0.041173257251269586,0.07773132035117142,0.006680868296130346,0.0066808682961303455,0.0,0.0,0.004823751843795557,0.004823751843795564,,0.004823751843795572,0.004823751843795564,0.16661077021457643,0.00803593197409928,0.004602034804571916,0.004823751843795564,,0.007530071530378934,0.004823751843795564,0.004823751843795564,0.0,0.0,0.004823751843795564,0.0035911500469435484,0.004823751843795564
HOS,6,3.0276503540974917,0.0016168468101309343,0.003632141104583283,0.015877639974728474,0.01083608369914552,0.00527055460292509,0.0056718429295665234,0.0031501286368028607,9.018499505645794,12.461496254017375,12.461496254017367,9.01849950564579,0.0,0.0,0.004140749977004597,0.005814914770917884,0.01083608369914552,0.015877639974728474,0.004053933749926946,0.006181125649382511,0.043306177347508315,0.05763803492688694,0.01587763997472847,0.015877639974728474,0.0,0.0,0.0031501286368028542,0.0031501286368028607,,0.0031501286368028542,0.0031501286368028607,0.10880602815979565,0.005629695284188929,0.0028683109776462064,0.0031501286368028607,,0.0056718429295665234,0.0031501286368028607,0.0031501286368028607,0.0,0.0,0.0031501286368028607,0.0036093089513475523,0.0031501286368029
HOS,7,3.0276503540974917,0.0,0.0,0.053478189370073884,0.0019139216254167235,0.07823982322440896,0.06302016025919879,0.01652112298799161,30.375611562201964,2.201009869229202,2.2010098692292237,30.375611562201975,0.0,0.0,0.01264821941372454,0.016125977250708495,0.0019139216254167235,0.053478189370073884,0.008129273446908721,0.08240511039906238,0.0704909615082215,,0.05347818937007385,0.053478189370073884,0.0,0.0,0.01652112298799165,0.01652112298799165,,0.016521122987991646,0.01652112298799161,0.570618452576628,0.06301986554832784,0.03247391867927292,0.01652112298799161,,0.06302016025919879,0.01652112298799161,0.01652112298799161,0.0,0.0,0.01652112298799161,0.025869591732890097,0.01652112298799162
HOS,8,3.0276503540974917,0.001515006034261262,0.0031807127270845103,0.006953668189482925,0.0050612712957076806,0.003522679463453082,0.006493319766091858,0.003272628597872166,3.949683531626296,5.820461990063832,5.820461990063827,3.9496835316263006,0.0,0.0,0.002831501437011752,0.004013940147582398,0.0050612712957076806,0.006953668189482925,0.003119754487646987,0.004205807665954223,0.03167173840215793,0.03301933224106609,0.0069536681894829585,0.006953668189482925,0.0,0.0,0.0032726285978721525,0.003272628597872166,,0.0032726285978721447,0.003272628597872166,0.11303465229412642,0.006409527597563197,0.0030786836937202024,0.003272628597872166,,0.006493319766091858,0.003272628597872166,0.003272628597872166,0.0,0.0,0.003272628597872166,0.003413848542903749,0.00327262859787216
HOSbal,0,3.0276503540974917,0.0015255592732669094,0.002033719462322393,0.010827425028872108,0.006199583401992648,0.00412801547299537,0.00675542601098263,0.0036602033167869893,6.149977416399362,3.521363372331808,3.5213633723318,6.149977416399362,0.0,0.0,0.0059040860756565585,0.003794780943318293,0.006199583401992648,0.010827425028872108,0.002626651475158808,0.0056832232880916845,0.07645590511240997,0.07756425005191298,0.010827425028872103,0.010827425028872108,0.0,0.0,0.0036602033167870097,0.003660203316787007,,0.0036602033167870214,0.0036602033167869893,0.12641825552937885,0.007320406633574026,0.003173909314042738,0.0036602033167869893,,0.00675542601098263,0.0036602033167869893,0.0036602033167869893,0.0,0.0,0.0036602033167869893,0.003660203316787013,0.0036602033167870045
