id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,ber,bcr,max_iter,gamma,zero_one_loss,f1_score,hamming_loss,prec_score,log_loss,cohen_kappa_score,avg_prec_score,imb_spec_micro,matthews_corrcoef,accuracy,rec_score,probability,C,imb_sens_micro,roc_auc_score,fbeta_score
HOS,0,4.5,0.8309977801592161,0.7196533706843737,0.6911971830985915,0.8046086956521739,0.7457097076858495,0.4861681948609876,0.7671129220023283,392.6,925.3,224.7,175.4,1150.0,568.0,0.8406833866878138,0.6360423845545243,0.8046086956521739,0.6911971830985915,0.8222284061968539,0.6624170096172842,2.6079244597366156,0.3088028169014085,0.6911971830985915,-1.0,0.09999999999999999,0.23288707799767167,0.7671129220023283,0.23288707799767167,0.7671129220023283,8.043739292867478,0.48513782549119977,0.5417050348654013,0.7671129220023283,0.4861681948609876,0.7671129220023283,0.7671129220023283,True,0.09999999999999999,0.7671129220023283,0.7479029393753828,0.7671129220023283
HOS,1,4.5,0.9302588793631354,0.8835679271217847,0.1,0.9993043478260869,0.30962955682662274,0.25578598685218834,0.7019790454016298,56.8,1149.2,0.8,511.2,1150.0,568.0,0.6923118812605106,0.9934989648033128,0.9993043478260869,0.1,0.8178903671091582,0.17840792293248459,1.1135737654262192,0.9,0.1,-1.0,1.0,0.29802095459837025,0.7019790454016298,0.29802095459837025,0.7019790454016298,10.29327948420967,0.12764291436915548,0.3962118740008338,0.7019790454016298,0.25578598685218834,0.7019790454016298,0.7019790454016298,True,0.09999999999999999,0.7019790454016298,0.5496521739130434,0.7019790454016298
HOS,2,4.5,0.7480106399265156,0.5963757104176013,0.6644366197183098,0.7072173913043478,0.6854554592969022,0.35481644394796236,0.6930733410942957,377.4,813.3,336.7,190.6,1150.0,568.0,0.8101496260287467,0.5285945354018889,0.7072173913043478,0.6644366197183098,0.7551598443818667,0.5887321043322498,2.107997832249076,0.3355633802816902,0.6644366197183098,-1.0,0.009999999999999998,0.3069266589057043,0.6930733410942957,0.3069266589057043,0.6930733410942957,10.601027949645605,0.34896840926550887,0.4621406127126705,0.6930733410942957,0.35481644394796236,0.6930733410942957,0.6930733410942957,True,0.09999999999999999,0.6930733410942957,0.6858270055113288,0.6930733410942957
HOS,3,4.5,0.9134994641763624,0.8532435152344672,0.8005281690140844,0.8901739130434783,0.844129214753845,0.6868848757494643,0.860535506402794,454.7,1023.7,126.3,113.3,1150.0,568.0,0.9003879380515203,0.7827155244997211,0.8901739130434783,0.8005281690140844,0.895231555896261,0.7914519091588468,4.474042477972498,0.1994718309859155,0.8005281690140844,-1.0,0.09999999999999999,0.13946449359720609,0.860535506402794,0.13946449359720606,0.860535506402794,4.816991742360903,0.6867175821873129,0.6925058967017295,0.860535506402794,0.6868848757494643,0.860535506402794,0.860535506402794,True,1.0,0.860535506402794,0.8453510410287814,0.860535506402794
HOS,4,4.5,0.951872014696877,0.9190783243206877,0.5315140845070422,0.9882608695652175,0.7246755462443584,0.6315668865752395,0.8372526193247962,301.9,1136.5,13.5,266.1,1150.0,568.0,0.8103142398918969,0.9571891647729631,0.9882608695652175,0.5315140845070422,0.8904753165627721,0.6833580804508392,2.111829258147757,0.4684859154929578,0.5315140845070422,-1.0,1.0,0.16274738067520372,0.8372526193247962,0.16274738067520372,0.8372526193247962,5.621101673214397,0.5856155975562818,0.663665125633919,0.8372526193247962,0.6315668865752395,0.8372526193247962,0.8372526193247962,True,1.0,0.8372526193247962,0.7598874770361299,0.8372526193247962
HOS,5,4.5,0.786874081445193,0.6542100935147436,0.6887323943661972,0.7473913043478261,0.7174335935140292,0.41942142062459126,0.7279976717112923,391.2,859.5,290.5,176.8,1150.0,568.0,0.8294009836242496,0.5739611637542048,0.7473913043478261,0.6887323943661972,0.786237659874095,0.6260844913579497,2.4017888807695207,0.3112676056338028,0.6887323943661972,-1.0,0.009999999999999998,0.2720023282887078,0.7279976717112921,0.2720023282887078,0.7279976717112923,9.394762801161372,0.41512269513593425,0.4982012205693831,0.7279976717112923,0.41942142062459126,0.7279976717112923,0.7279976717112923,True,1.0,0.7279976717112923,0.7180618493570116,0.7279976717112923
HOS,6,4.5,0.7481347979179425,0.6140495775176893,0.5633802816901408,0.7728695652173911,0.6597360360160464,0.33443073422655795,0.7036088474970896,320.0,888.8,261.2,248.0,1150.0,568.0,0.7819060692124901,0.550737004482365,0.7728695652173911,0.5633802816901408,0.7773007098870485,0.5568264504022589,1.771507197244579,0.43661971830985913,0.5633802816901408,-1.0,0.09999999999999999,0.2963911525029103,0.7036088474970896,0.2963911525029103,0.7036088474970896,10.237109310324382,0.33427038072346393,0.4545747937756691,0.7036088474970896,0.33443073422655795,0.7036088474970896,0.7036088474970896,True,0.009999999999999998,0.7036088474970896,0.6681249234537661,0.7036088474970896
HOS,7,4.5,0.5,0.6653084982537835,0.09735915492957749,0.9993043478260869,0.3028169700488555,0.25013369347745595,0.701105937136205,55.3,1149.2,0.8,512.7,1150.0,568.0,0.6917195425758207,0.9935942028985508,0.9993043478260869,0.09735915492957749,0.8174673977776893,0.17338256326761758,1.1108415734893227,0.9026408450704224,0.09735915492957749,-1.0,1.0,0.2988940628637951,0.701105937136205,0.2988940628637951,0.701105937136205,10.323435575357731,0.12416213254107619,0.3944439695231333,0.701105937136205,0.25013369347745595,0.701105937136205,0.701105937136205,True,0.009999999999999998,0.701105937136205,0.5483317513778323,0.701105937136205
HOS,8,4.5,0.7169187844458051,0.5560651030995337,0.6242957746478874,0.697304347826087,0.6597732042251108,0.30773427150783633,0.6731664726426078,354.6,801.9,348.1,213.4,1150.0,568.0,0.789824831010066,0.5046422967031948,0.697304347826087,0.6242957746478874,0.7406757325546055,0.5581111384631849,1.8564775790427688,0.3757042253521126,0.6242957746478874,-1.0,0.009999999999999998,0.32683352735739224,0.6731664726426078,0.32683352735739224,0.6731664726426078,11.288592133648311,0.30339495865871363,0.4392674450200209,0.6731664726426078,0.30773427150783633,0.6731664726426078,0.6731664726426078,True,0.009999999999999998,0.6731664726426078,0.6608000612369872,0.6731664726426078
HOSbal,0,4.5,0.8315782458837532,0.8272456533665095,0.6911971830985915,0.8049295774647888,0.7458577506801185,0.4994194008211485,0.7480633802816901,392.6,457.2,110.8,175.4,568.0,568.0,0.7228013983870988,0.7799341100951662,0.8049295774647888,0.6911971830985915,0.7616226296200923,0.7328353605604715,2.608986934800692,0.3088028169014085,0.6911971830985915,-1.0,0.09999999999999999,0.25193661971830983,0.7480633802816901,0.25193661971830983,0.7480633802816901,8.701660563044635,0.4961267605633803,0.6934754094631518,0.7480633802816901,0.4994194008211485,0.7480633802816901,0.7480633802816901,True,0.09999999999999999,0.7480633802816901,0.7480633802816901,0.7480633802816901
