id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,fbeta_score,confusion_matrix,accuracy,y,cohen_kappa_score,bal_report,roc_auc_score,imb_report_0.3,pr_curve,rec_score,X,imb_spec,prec_score,f1_score,matthews_corrcoef,roc_curve,hamming_loss,imb_sens,imb_sens_micro,imb_report_0.1,imb_spec_micro,log_loss,avg_prec_score,imb_sens_spec_supp_micro,imb_sens_spec_supp,priors,hinge_loss,zero_one_loss
CVS,0,6,0.705069702136195,0.5341201520406936,0.6440677966101694,0.6420118343195266,0.6430389937848486,0.27278405020274077,0.6427184466019418,114,217,121,63,338,177,0.775,0.4851063829787234,0.6420118343195266,0.6440677966101694,0.7022653721682848,0.5533980582524272,1.8037475345167648,1.799131531026754,0.35593220338983056,0.6440677966101694,0.6427184466019418,"[[217 121]
 [ 63 114]]",0.6427184466019418,[0 1 1 ... 1 1 1],0.26536940848127755,"              precision    recall  f1-score   support

           0       0.78      0.64      0.70       338
           1       0.49      0.64      0.55       177

    accuracy                           0.64       515
   macro avg       0.63      0.64      0.63       515
weighted avg       0.68      0.64      0.65       515
",0.643039815464848,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.64      0.70      0.64      0.41       338
          1       0.49      0.64      0.64      0.55      0.64      0.41       177

avg / total       0.68      0.64      0.64      0.65      0.64      0.41       515
",,0.6427184466019418,"[[-0.965009   -0.70643434 -0.30950841 ...  0.3677984  -0.48805445
  -0.83562212]
 [-1.64453337  0.10435054 -0.43481821 ...  1.88327392 -0.2707516
  -0.34435408]
 [-0.28548464 -0.69938404 -0.43481821 ... -0.92590021 -0.77326444
  -0.65367099]
 ...
 [-0.28548464 -0.35908417 -0.36748989 ...  0.59177179  2.56828423
   3.16691445]
 [-1.47074421  0.20359888 -0.2691063  ... -0.83651917  0.56898159
   0.59076152]
 [-1.04880156  2.61060043  0.57871419 ... -0.15635139 -0.43270781
   0.60603316]]",[0.6440678  0.64201183],0.6427184466019418,0.6427184466019418,0.27278405020274077,"(array([0.        , 0.35798817, 1.        ]), array([0.       , 0.6440678, 1.       ]), array([2, 1, 0]))",0.3572815533980582,[0.64201183 0.6440678 ],0.6427184466019418,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.64      0.64      0.70      0.64      0.41       338
          1       0.49      0.64      0.64      0.55      0.64      0.41       177

avg / total       0.68      0.64      0.64      0.65      0.64      0.41       515
",0.6427184466019418,12.340255549422562,0.43477149629401407,"(0.6427184466019418, 0.6427184466019418, None)","(array([0.64201183, 0.6440678 ]), array([0.6440678 , 0.64201183]), array([338, 177]))",,,0.3572815533980582
CVSbal,0,6,0.712774107057359,0.7043458494493029,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.288135593220339,0.6440677966101694,114,114,63,63,177,177,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.6440677966101694,1.809523809523809,1.809523809523809,0.35593220338983056,0.6440677966101694,0.6440677966101694,"[[114  63]
 [ 63 114]]",0.6440677966101694,[0 1 1 ... 1 1 1],0.288135593220339,"              precision    recall  f1-score   support

           0       0.64      0.64      0.64       177
           1       0.64      0.64      0.64       177

    accuracy                           0.64       354
   macro avg       0.64      0.64      0.64       354
weighted avg       0.64      0.64      0.64       354
",0.6440677966101696,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.64      0.64      0.64      0.64      0.64      0.41       177
          1       0.64      0.64      0.64      0.64      0.64      0.41       177

avg / total       0.64      0.64      0.64      0.64      0.64      0.41       354
",,0.6440677966101694,"[[-0.965009   -0.70643434 -0.30950841 ...  0.3677984  -0.48805445
  -0.83562212]
 [-1.64453337  0.10435054 -0.43481821 ...  1.88327392 -0.2707516
  -0.34435408]
 [-0.28548464 -0.69938404 -0.43481821 ... -0.92590021 -0.77326444
  -0.65367099]
 ...
 [-0.28548464 -0.35908417 -0.36748989 ...  0.59177179  2.56828423
   3.16691445]
 [-1.47074421  0.20359888 -0.2691063  ... -0.83651917  0.56898159
   0.59076152]
 [-1.04880156  2.61060043  0.57871419 ... -0.15635139 -0.43270781
   0.60603316]]",[0.6440678 0.6440678],0.6440677966101694,0.6440677966101694,0.288135593220339,"(array([0.       , 0.3559322, 1.       ]), array([0.       , 0.6440678, 1.       ]), array([2, 1, 0]))",0.3559322033898305,[0.6440678 0.6440678],0.6440677966101694,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.64      0.64      0.64      0.64      0.64      0.41       177
          1       0.64      0.64      0.64      0.64      0.64      0.41       177

avg / total       0.64      0.64      0.64      0.64      0.64      0.41       354
",0.6440677966101694,12.293605085866805,0.5927894283251939,"(0.6440677966101694, 0.6440677966101694, None)","(array([0.6440678, 0.6440678]), array([0.6440678, 0.6440678]), array([177, 177]))",,,0.35593220338983056
