id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,fbeta_score,confusion_matrix,accuracy,y,cohen_kappa_score,bal_report,roc_auc_score,imb_report_0.3,pr_curve,rec_score,X,imb_spec,prec_score,f1_score,matthews_corrcoef,roc_curve,hamming_loss,imb_sens,imb_sens_micro,imb_report_0.1,imb_spec_micro,log_loss,avg_prec_score,imb_sens_spec_supp_micro,imb_sens_spec_supp,priors,hinge_loss,zero_one_loss
CVS,0,7,0.6815598569183967,0.4999262269176225,0.6949152542372882,0.5325443786982249,0.6083364302059475,0.21696427457320072,0.5883495145631068,123,180,158,54,338,177,0.7692307692307693,0.4377224199288256,0.5325443786982249,0.6949152542372882,0.6293706293706295,0.537117903930131,1.7455621301775153,1.4865908603304014,0.30508474576271183,0.6949152542372882,0.5883495145631068,"[[180 158]
 [ 54 123]]",0.5883495145631068,[0 1 1 ... 1 1 1],0.19953664330332266,"              precision    recall  f1-score   support

           0       0.77      0.53      0.63       338
           1       0.44      0.69      0.54       177

    accuracy                           0.59       515
   macro avg       0.60      0.61      0.58       515
weighted avg       0.66      0.59      0.60       515
",0.6137298164677565,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.53      0.69      0.63      0.61      0.35       338
          1       0.44      0.69      0.53      0.54      0.61      0.39       177

avg / total       0.66      0.59      0.64      0.60      0.61      0.36       515
",,0.5883495145631068,"[[-0.97862248 -0.69931709 -0.32387019 ...  0.36443851 -0.48210509
  -0.81804645]
 [-0.29493046 -0.69216373 -0.4627215  ... -0.92024645 -0.77078928
  -0.6407931 ]
 [-1.25209929 -0.08412823 -0.35164045 ...  0.07079623  0.46642869
   1.18491635]
 ...
 [-0.12256583 -0.06701692 -0.45146652 ...  0.06432878  1.53459173
   1.95392563]
 [-0.68411126  1.99253893 -0.4627215  ...  2.42558081  1.15324703
  -0.50103258]
 [ 0.10334102 -0.56625176 -0.31614137 ...  0.53014269 -0.02592457
  -0.19524625]]",[0.69491525 0.53254438],0.5883495145631068,0.5883495145631068,0.21696427457320072,"(array([0.        , 0.46745562, 1.        ]), array([0.        , 0.69491525, 1.        ]), array([2, 1, 0]))",0.4116504854368932,[0.53254438 0.69491525],0.5883495145631068,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.77      0.53      0.69      0.63      0.61      0.36       338
          1       0.44      0.69      0.53      0.54      0.61      0.38       177

avg / total       0.66      0.59      0.64      0.60      0.61      0.37       515
",0.5883495145631068,14.21814938274764,0.40903435566223967,"(0.5883495145631068, 0.5883495145631068, None)","(array([0.53254438, 0.69491525]), array([0.69491525, 0.53254438]), array([338, 177]))",,,0.4116504854368932
CVSbal,0,7,0.6633789779437582,0.6451915040853684,0.6949152542372882,0.4915254237288136,0.5844386321887006,0.19042088613053398,0.5932203389830508,123,87,90,54,177,177,0.6170212765957447,0.5774647887323944,0.4915254237288136,0.6949152542372882,0.5471698113207546,0.6307692307692307,1.6111111111111114,1.3666666666666667,0.30508474576271183,0.6949152542372882,0.5932203389830508,"[[ 87  90]
 [ 54 123]]",0.5932203389830508,[0 1 1 ... 1 1 1],0.18644067796610164,"              precision    recall  f1-score   support

           0       0.62      0.49      0.55       177
           1       0.58      0.69      0.63       177

    accuracy                           0.59       354
   macro avg       0.60      0.59      0.59       354
weighted avg       0.60      0.59      0.59       354
",0.5932203389830508,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.49      0.69      0.55      0.58      0.32       177
          1       0.58      0.69      0.49      0.63      0.58      0.36       177

avg / total       0.60      0.59      0.59      0.59      0.58      0.34       354
",,0.5932203389830508,"[[-0.97862248 -0.69931709 -0.32387019 ...  0.36443851 -0.48210509
  -0.81804645]
 [-0.29493046 -0.69216373 -0.4627215  ... -0.92024645 -0.77078928
  -0.6407931 ]
 [-1.25209929 -0.08412823 -0.35164045 ...  0.07079623  0.46642869
   1.18491635]
 ...
 [-0.12256583 -0.06701692 -0.45146652 ...  0.06432878  1.53459173
   1.95392563]
 [-0.68411126  1.99253893 -0.4627215  ...  2.42558081  1.15324703
  -0.50103258]
 [ 0.10334102 -0.56625176 -0.31614137 ...  0.53014269 -0.02592457
  -0.19524625]]",[0.69491525 0.49152542],0.5932203389830508,0.5932203389830508,0.19042088613053398,"(array([0.        , 0.50847458, 1.        ]), array([0.        , 0.69491525, 1.        ]), array([2, 1, 0]))",0.4067796610169492,[0.49152542 0.69491525],0.5932203389830508,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.49      0.69      0.55      0.58      0.33       177
          1       0.58      0.69      0.49      0.63      0.58      0.35       177

avg / total       0.60      0.59      0.59      0.59      0.58      0.34       354
",0.5932203389830508,14.049875041344226,0.5538314633564096,"(0.5932203389830508, 0.5932203389830508, None)","(array([0.49152542, 0.69491525]), array([0.69491525, 0.49152542]), array([177, 177]))",,,0.4067796610169492
