id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,fbeta_score,confusion_matrix,accuracy,y,cohen_kappa_score,bal_report,roc_auc_score,imb_report_0.3,pr_curve,rec_score,X,imb_spec,prec_score,f1_score,matthews_corrcoef,roc_curve,hamming_loss,imb_sens,imb_sens_micro,imb_report_0.1,imb_spec_micro,log_loss,avg_prec_score,imb_sens_spec_supp_micro,imb_sens_spec_supp,priors,hinge_loss,zero_one_loss
CVS,0,5,0.6908451175074383,0.5033859628499004,0.7062146892655368,0.5502958579881657,0.6233995655702884,0.24435534742509124,0.6038834951456311,125,186,152,52,338,177,0.7815126050420168,0.45126353790613716,0.5502958579881657,0.7062146892655368,0.6458333333333334,0.5506607929515418,1.8731224396904875,1.5703984537615228,0.29378531073446323,0.7062146892655368,0.6038834951456311,"[[186 152]
 [ 52 125]]",0.6038834951456311,[0 1 1 ... 1 1 1],0.2260887500736637,"              precision    recall  f1-score   support

           0       0.78      0.55      0.65       338
           1       0.45      0.71      0.55       177

    accuracy                           0.60       515
   macro avg       0.62      0.63      0.60       515
weighted avg       0.67      0.60      0.61       515
",0.6282552736268512,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.55      0.71      0.65      0.62      0.37       338
          1       0.45      0.71      0.55      0.55      0.62      0.41       177

avg / total       0.67      0.60      0.65      0.61      0.62      0.38       515
",,0.6038834951456311,"[[-0.97219375 -0.71381814 -0.32931399 ...  0.36094466 -0.48132883
  -0.81449161]
 [-1.65327763  0.13121009 -0.46914558 ...  1.87244961 -0.25887647
  -0.34368963]
 [-0.29110987 -0.70647006 -0.46914558 ... -0.92936444 -0.77329755
  -0.64012051]
 ...
 [ 0.27357743  0.06619202 -0.2629332  ...  0.95307782  1.99069613
   0.70847316]
 [-0.34762277  0.38300004 -0.23341159 ...  0.37861769 -0.38531419
  -0.03388419]
 [ 0.72781244 -0.66339371  2.69632254 ... -0.59757067 -0.26653621
  -0.43764655]]",[0.70621469 0.55029586],0.6038834951456311,0.6038834951456311,0.24435534742509124,"(array([0.        , 0.44970414, 1.        ]), array([0.        , 0.70621469, 1.        ]), array([2, 1, 0]))",0.39611650485436894,[0.55029586 0.70621469],0.6038834951456311,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.78      0.55      0.71      0.65      0.62      0.38       338
          1       0.45      0.71      0.55      0.55      0.62      0.39       177

avg / total       0.67      0.60      0.65      0.61      0.62      0.39       515
",0.6038834951456311,13.681615385186737,0.41965981298565713,"(0.6038834951456311, 0.6038834951456311, None)","(array([0.55029586, 0.70621469]), array([0.70621469, 0.55029586]), array([338, 177]))",,,0.3961165048543689
CVSbal,0,5,0.6897602859969996,0.6481916444192315,0.7062146892655368,0.559322033898305,0.6284913972114968,0.2684487371860531,0.632768361581921,125,99,78,52,177,177,0.6556291390728477,0.6157635467980296,0.559322033898305,0.7062146892655368,0.603658536585366,0.6578947368421053,1.903846153846154,1.6025641025641024,0.29378531073446323,0.7062146892655368,0.6327683615819211,"[[ 99  78]
 [ 52 125]]",0.632768361581921,[0 1 1 ... 1 1 1],0.2655367231638418,"              precision    recall  f1-score   support

           0       0.66      0.56      0.60       177
           1       0.62      0.71      0.66       177

    accuracy                           0.63       354
   macro avg       0.64      0.63      0.63       354
weighted avg       0.64      0.63      0.63       354
",0.632768361581921,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.66      0.56      0.71      0.60      0.63      0.38       177
          1       0.62      0.71      0.56      0.66      0.63      0.41       177

avg / total       0.64      0.63      0.63      0.63      0.63      0.40       354
",,0.632768361581921,"[[-0.97219375 -0.71381814 -0.32931399 ...  0.36094466 -0.48132883
  -0.81449161]
 [-1.65327763  0.13121009 -0.46914558 ...  1.87244961 -0.25887647
  -0.34368963]
 [-0.29110987 -0.70647006 -0.46914558 ... -0.92936444 -0.77329755
  -0.64012051]
 ...
 [ 0.27357743  0.06619202 -0.2629332  ...  0.95307782  1.99069613
   0.70847316]
 [-0.34762277  0.38300004 -0.23341159 ...  0.37861769 -0.38531419
  -0.03388419]
 [ 0.72781244 -0.66339371  2.69632254 ... -0.59757067 -0.26653621
  -0.43764655]]",[0.70621469 0.55932203],0.632768361581921,0.632768361581921,0.2684487371860531,"(array([0.        , 0.44067797, 1.        ]), array([0.        , 0.70621469, 1.        ]), array([2, 1, 0]))",0.3672316384180791,[0.55932203 0.70621469],0.632768361581921,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.66      0.56      0.71      0.60      0.63      0.39       177
          1       0.62      0.71      0.56      0.66      0.63      0.40       177

avg / total       0.64      0.63      0.63      0.63      0.63      0.40       354
",0.632768361581921,12.683907626943345,0.5817539172302468,"(0.632768361581921, 0.632768361581921, None)","(array([0.55932203, 0.70621469]), array([0.70621469, 0.55932203]), array([177, 177]))",,,0.36723163841807904
