id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,pr_curve,alpha,cohen_kappa_score,imb_spec_micro,hamming_loss,rec_score,zero_one_loss,warm_start,momentum,accuracy,fbeta_score,max_iter,prec_score,avg_prec_score,learning_rate_init,f1_score,tol,imb_sens_micro,power_t,matthews_corrcoef,log_loss,hinge_loss,roc_auc_score
HOS,16,3.0276503540974917,0.01036317350878544,0.01680104896313163,0.017625184762536647,0.0059374319439162255,0.010459954053924633,0.018840556573485226,0.00799887568069583,10.011104945120792,6.828046735503657,6.828046735503662,10.011104945120806,0.0,0.0,0.00831974018209376,0.010101146963690383,0.0059374319439162255,0.017625184762536647,0.005910538105181203,0.012618910528270312,0.19384460442825152,0.15378261922181752,0.017625184762536633,0.017625184762536647,,0.0,0.01842820095904068,0.00799887568069583,0.007998875680695815,0.00799887568069583,0.007998875680695851,0.0,0.0,0.00799887568069583,0.007998875680695858,0.0,0.00799887568069583,0.011877447134405644,0.0,0.007998875680695816,0.0,0.00799887568069583,0.0,0.018840556573485226,0.27627366881910953,,0.010126685939874808
HOS,17,3.0276503540974917,0.007609801590437685,0.022554733015347536,0.02988985212300652,0.028656685591141227,0.007730830747987951,0.015614984131450916,0.011439359711437664,16.97743600586771,32.95518842981245,32.95518842981245,16.97743600586771,0.0,0.0,0.008706729825754789,0.023146255122615523,0.028656685591141227,0.02988985212300652,0.012538485371065828,0.009068439831743585,0.14999524622941093,0.3088165760684606,0.029889852123006523,0.02988985212300652,,0.0,0.016618544238288853,0.011439359711437664,0.01143935971143768,0.011439359711437664,0.011439359711437664,0.0,0.0,0.011439359711437664,0.011439359711437664,0.0,0.011439359711437664,0.01057151101306605,0.0,0.011439359711437743,0.0,0.011439359711437664,0.0,0.015614984131450916,0.3951155076541987,,0.007106111199948751
HOS,18,3.0276503540974917,0.0049802457383841085,0.009875522563837266,0.018031813562069548,0.034339692059563415,0.008396190347431868,0.019596179828784258,0.017309403814900676,10.242070103255497,39.4906458684979,39.490645868497914,10.242070103255493,0.0,0.0,0.002293763993842631,0.021501164358635073,0.034339692059563415,0.018031813562069548,0.019803285168100974,0.007576348279417711,0.03110728580957535,0.18854736879556278,0.01803181356206953,0.018031813562069548,,0.0,0.023036975597617686,0.017309403814900676,0.017309403814900686,0.017309403814900676,0.017309403814900686,0.0,0.0,0.017309403814900676,0.01730940381490069,0.0,0.017309403814900676,0.011270525291661377,0.0,0.017309403814900676,0.0,0.017309403814900676,0.0,0.019596179828784258,0.5978639312538588,,0.008804876768795414
HOS,19,3.0276503540974917,0.00435236188921408,0.00577185088024335,0.0172259528722604,0.012887635831287691,0.007779903410757275,0.014658818296267868,0.007489680525592757,9.784341231443905,14.820781205980868,14.820781205980879,9.784341231443912,0.0,0.0,0.007059300703400461,0.01159611280559422,0.012887635831287691,0.0172259528722604,0.0069101498409201885,0.00934971210974173,0.14791661266131817,0.15034878774647964,0.017225952872260416,0.0172259528722604,,0.0,0.014636834684277768,0.007489680525592757,0.007489680525592756,0.007489680525592757,0.007489680525592748,0.0,0.0,0.007489680525592757,0.00748968052559277,0.0,0.007489680525592757,0.009023184628405458,0.0,0.007489680525592753,0.0,0.007489680525592757,0.0,0.014658818296267868,0.2586896365482634,,0.007639667405860093
HOS,20,3.0276503540974917,0.002799939744350327,0.0026644532572617555,0.01481851089397804,0.008480923649728939,0.006559925575174121,0.011498711530718964,0.005194991914757853,8.416914187779536,9.753062197188221,9.753062197188244,8.416914187779536,0.0,0.0,0.006223514335168526,0.008651073326707347,0.008480923649728939,0.01481851089397804,0.004353340067907278,0.00773717301204426,0.1691413542612846,0.14982389002557683,0.014818510893978057,0.01481851089397804,,0.0,0.01126074910642121,0.005194991914757853,0.005194991914757917,0.005194991914757853,0.00519499191475789,0.0,0.0,0.005194991914757853,0.00519499191475785,0.0,0.005194991914757853,0.007604144569093928,0.0,0.005194991914757858,0.0,0.005194991914757853,0.0,0.011498711530718964,0.17943137412771548,,0.006312260313038017
HOS,21,3.0276503540974917,0.010748295084203954,0.014890528972446356,0.01896184791244543,0.014569362738390953,0.01093058352746552,0.020742131638740138,0.010456618806107227,10.77032961426901,16.754767149149583,16.754767149149576,10.770329614269007,0.0,0.0,0.008388292026616133,0.014388868042352385,0.014569362738390953,0.01896184791244543,0.009307484863979495,0.013145289336811366,0.14868828955995467,0.1682784125819616,0.018961847912445443,0.01896184791244543,,0.0,0.020856564655472008,0.010456618806107227,0.010456618806107208,0.010456618806107227,0.010456618806107218,0.0,0.0,0.010456618806107227,0.010456618806107227,0.0,0.010456618806107227,0.012312956535850919,0.0,0.010456618806107194,0.0,0.010456618806107227,0.0,0.020742131638740138,0.36116513317391047,,0.010706651911873465
HOS,22,3.0276503540974917,0.005699789063712415,0.007858413625062495,0.029203896945736732,0.01766190445974436,0.008481235265323859,0.011629183427521039,0.005222455892004205,16.587813465178453,20.311190128706002,20.31119012870601,16.587813465178453,0.0,0.0,0.010846949252431234,0.011996162553922657,0.01766190445974436,0.029203896945736732,0.005907777289742891,0.00925807856332291,0.25718973557691477,0.17927553945546268,0.029203896945736718,0.029203896945736732,,0.0,0.010664435708511562,0.005222455892004205,0.005222455892004179,0.005222455892004205,0.005222455892004198,0.0,0.0,0.005222455892004205,0.005222455892004205,0.0,0.005222455892004205,0.006737354836810627,0.0,0.005222455892004163,0.0,0.005222455892004205,0.0,0.011629183427521039,0.18038288783669426,,0.007668653747132129
HOS,23,3.0276503540974917,0.011248436102022873,0.010401282030999564,0.025955293016209975,0.022161311186515268,0.009231458772988789,0.0173685170654272,0.010319636112534687,14.742606433207271,25.4855078644925,25.485507864492547,14.742606433207271,0.0,0.0,0.009172623060368399,0.016909470733918998,0.022161311186515268,0.025955293016209975,0.010688562923026756,0.011008591227027919,0.16362889493267938,0.202355406390188,0.025955293016209975,0.025955293016209975,,0.0,0.017751557941523725,0.010319636112534687,0.010319636112534654,0.010319636112534687,0.010319636112534657,0.0,0.0,0.010319636112534687,0.010319636112534687,0.0,0.010319636112534687,0.010510868856194285,0.0,0.010319636112534706,0.0,0.010319636112534687,0.0,0.0173685170654272,0.35643740260497625,,0.008929082166799183
HOS,24,3.0276503540974917,0.004934422423680871,0.010641262024467331,0.04173727733814806,0.04952231383243103,0.010637030866851778,0.021639537218779575,0.021182327276910974,23.706773528068112,56.95066090729569,56.95066090729569,23.706773528068112,0.0,0.0,0.009025803403321373,0.02868130397437619,0.04952231383243103,0.04173727733814806,0.025550504321278224,0.010831205924562805,0.11314997118883793,0.2623238729051702,0.04173727733814808,0.04173727733814806,,0.0,0.025662907460301046,0.021182327276910974,0.021182327276910964,0.021182327276910974,0.02118232727691098,0.0,0.0,0.021182327276910974,0.02118232727691098,0.0,0.021182327276910974,0.012634265883801244,0.0,0.021182327276910974,0.0,0.021182327276910974,0.0,0.021639537218779575,0.7316372806238491,,0.00995155387239995
HOS,25,3.0276503540974917,0.010072500631147474,0.007722958448063919,0.012969350794893232,0.01621220338980373,0.00976491650978251,0.020625397439312926,0.011269441145086408,7.3665912514993455,18.64403389827428,18.644033898274273,7.366591251499341,0.0,0.0,0.00627630538077125,0.017687659458935065,0.01621220338980373,0.012969350794893232,0.010112721616758512,0.012140071464625875,0.12237810321288611,0.23806790628986532,0.012969350794893227,0.012969350794893232,,0.0,0.02124842385779131,0.011269441145086408,0.011269441145086408,0.011269441145086408,0.011269441145086408,0.0,0.0,0.011269441145086408,0.01126944114508644,0.0,0.011269441145086408,0.013232414051655091,0.0,0.011269441145086392,0.0,0.011269441145086408,0.0,0.020625397439312926,0.3892407390987944,,0.009870038144876815
