id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,min_samples_leaf,log_loss,rec_score,class_weight,hamming_loss,cohen_kappa_score,n_estimators,min_samples_split,zero_one_loss,matthews_corrcoef,pr_curve,max_features,avg_prec_score,fbeta_score,accuracy,roc_auc_score,hinge_loss,imb_sens_micro,f1_score,imb_spec_micro,prec_score
HOSbal,3,3.0276503540974917,0.0034123350743707676,0.0032483771134491015,0.008515289595220904,0.005141500277655265,0.005039880022342954,0.010787874595485488,0.005195528033897285,5.884065110297661,3.552776691859798,3.5527766918597843,5.884065110297661,0.0,0.0,0.007942122233210714,0.004062402491168214,0.005141500277655265,0.008515289595220904,0.005076966821275909,0.005440363544904853,0.1814024197808361,0.052984472672128836,0.008515289595220915,0.008515289595220904,0.0,0.17944837181289308,0.005195528033897285,,0.005195528033897242,0.010391056067794535,0.0,0.0,0.005195528033897288,0.010787874595485488,,,0.004716577965907416,0.005195528033897265,0.005195528033897285,0.0051955280338972605,,0.005195528033897285,0.005195528033897318,0.005195528033897285,0.005195528033897285
HOSbal,4,3.0276503540974917,0.00946886411966043,0.010464929565182444,0.01939734447405369,0.008796228909218754,0.010648638484860026,0.022656605365962642,0.011048793099818413,13.4035650315711,6.078194176270153,6.078194176270157,13.4035650315711,0.0,0.0,0.015632420103381877,0.008358709835495186,0.008796228909218754,0.01939734447405369,0.009623461296906485,0.012692754811188749,0.18756023099344415,0.08036780992587188,0.019397344474053693,0.01939734447405369,0.0,0.3816135078531819,0.011048793099818413,,0.011048793099818405,0.022097586199636834,0.0,0.0,0.011048793099818422,0.022656605365962642,,,0.009025691605628026,0.011048793099818424,0.011048793099818413,0.011048793099818459,,0.011048793099818413,0.011048793099818413,0.011048793099818413,0.011048793099818413
HOSbal,5,3.0276503540974917,0.005964897083999873,0.008401601628461736,0.01786807445967399,0.015439580024007542,0.006494754770891635,0.013439390704034517,0.00656302271356175,12.34683945163475,10.668749796589204,10.668749796589207,12.346839451634764,0.0,0.0,0.01151612585735699,0.007092275157707111,0.015439580024007542,0.01786807445967399,0.007679593632670001,0.008207747660558708,0.15126949617418256,0.07173544435832338,0.017868074459674043,0.01786807445967399,0.0,0.22668016609389044,0.00656302271356175,,0.0065630227135617366,0.01312604542712345,0.0,0.0,0.006563022713561743,0.013439390704034517,,,0.0056030402562623205,0.00656302271356175,0.00656302271356175,0.006563022713561744,,0.00656302271356175,0.006563022713561685,0.00656302271356175,0.00656302271356175
HOSbal,6,3.0276503540974917,0.007120320299394414,0.008978834916100504,0.01686581640784347,0.016464366330668993,0.009308707281375584,0.01867005673968223,0.009254210173530404,11.654279137819804,11.376877134492277,11.376877134492284,11.654279137819813,0.0,0.0,0.012730194056488441,0.009595298581240117,0.016464366330668993,0.01686581640784347,0.010612189445959081,0.009607884413329174,0.1839779232942851,0.10023481654585895,0.016865816407843445,0.01686581640784347,0.0,0.31963265124996193,0.009254210173530404,,0.009254210173530375,0.018508420347060763,0.0,0.0,0.009254210173530389,0.01867005673968223,,,0.00818522055424201,0.009254210173530399,0.009254210173530404,0.009254210173530363,,0.009254210173530404,0.009254210173530382,0.009254210173530404,0.009254210173530404
HOSbal,7,3.0276503540974917,0.0036444083802175133,0.005032821569098212,0.007181010734559929,0.0074482427653135815,0.004295505938257379,0.008592482766561237,0.004271286757583927,4.962078417580875,5.146735750831681,5.146735750831671,4.962078417580906,0.0,0.0,0.005638921647513727,0.004621689646275223,0.0074482427653135815,0.007181010734559929,0.004866628351416569,0.004290431870160259,0.08933640026548648,0.05410109133515315,0.007181010734559902,0.007181010734559929,0.0,0.14752681739429022,0.004271286757583927,,0.004271286757583934,0.008542573515167825,0.0,0.0,0.004271286757583923,0.008592482766561237,,,0.003959041069294421,0.004271286757583915,0.004271286757583927,0.00427128675758395,,0.004271286757583927,0.004271286757583927,0.004271286757583927,0.004271286757583927
HOSbal,8,3.0276503540974917,0.009949554415825288,0.013875858761339196,0.021356978587955107,0.021970854589468052,0.00862542280952554,0.01698818537632686,0.008507429273649668,14.75767220427696,15.181860521322449,15.181860521322442,14.757672204276963,0.0,0.0,0.011256661638867864,0.010343612485918263,0.021970854589468052,0.021356978587955107,0.0113873703717596,0.010301118574937958,0.10708577070735194,0.09106376947667716,0.021356978587955096,0.021356978587955107,0.0,0.2938399112313031,0.008507429273649668,,0.00850742927364969,0.01701485854729937,0.0,0.0,0.008507429273649676,0.01698818537632686,,,0.007149335981432609,0.008507429273649673,0.008507429273649668,0.008507429273649688,,0.008507429273649668,0.008507429273649668,0.008507429273649668,0.008507429273649668
HOSbal,9,3.0276503540974917,0.008834274652360193,0.010165228752813405,0.017218107378267924,0.012377861217535662,0.010129220543827982,0.020772827833390354,0.01027394463056372,11.89771219838316,8.553102101317133,8.553102101317133,11.897712198383166,0.0,0.0,0.01310315235334232,0.009098110298483921,0.012377861217535662,0.017218107378267924,0.010108142931066459,0.011446204737158419,0.13280082803114798,0.07888700100045373,0.017218107378267955,0.017218107378267924,0.0,0.35485219020330805,0.01027394463056372,,0.01027394463056374,0.020547889261127467,0.0,0.0,0.010273944630563745,0.020772827833390354,,,0.008270616712089176,0.010273944630563739,0.01027394463056372,0.010273944630563704,,0.01027394463056372,0.01027394463056372,0.01027394463056372,0.01027394463056372
HOSbal,10,3.0276503540974917,0.004953384956411203,0.00908023058227798,0.017003229599660562,0.016361576015976917,0.006348582448149677,0.012683752577249947,0.006315476256267485,11.749231653365433,11.305849027040036,11.305849027040042,11.749231653365447,0.0,0.0,0.009543957958354787,0.0076508659874918545,0.016361576015976917,0.017003229599660562,0.008074752093520968,0.00788490132298793,0.10396115053691705,0.07384095356327498,0.01700322959966054,0.017003229599660562,0.0,0.21813100843253522,0.006315476256267485,,0.006315476256267492,0.012630952512534994,0.0,0.0,0.006315476256267468,0.012683752577249947,,,0.005445761695982865,0.006315476256267465,0.006315476256267485,0.006315476256267524,,0.006315476256267485,0.006315476256267485,0.006315476256267485,0.006315476256267485
HOSbal,11,3.0276503540974917,0.0037417550379478105,0.004710493144086015,0.011957112115642803,0.012151125632233492,0.005402041924420864,0.010737592963792474,0.005344009460406471,8.262364471909152,8.39642781187334,8.39642781187333,8.262364471909157,0.0,0.0,0.007475480357629335,0.006092380219666385,0.012151125632233492,0.011957112115642803,0.006738727308789102,0.005948372320452996,0.08661373125142652,0.05699869614793337,0.01195711211564277,0.011957112115642803,0.0,0.18457777186448973,0.005344009460406471,,0.005344009460406431,0.010688018920812899,0.0,0.0,0.00534400946040646,0.010737592963792474,,,0.004581468127532714,0.005344009460406446,0.005344009460406471,0.005344009460406438,,0.005344009460406471,0.005344009460406471,0.005344009460406471,0.005344009460406471
HOSbal,12,3.0276503540974917,0.009064090896331669,0.011073089471314282,0.02351583854551002,0.021062945436199566,0.010147632772101789,0.0206443259883991,0.01019578870451522,16.249444434947446,14.554495296413865,14.554495296413863,16.249444434947442,0.0,0.0,0.01458705271809975,0.010283799990820757,0.021062945436199566,0.02351583854551002,0.01203395437608596,0.012174501261498688,0.15116095796036935,0.08636992487091179,0.023515838545510044,0.02351583854551002,0.0,0.35215307065365203,0.01019578870451522,,0.010195788704515226,0.02039157740903045,0.0,0.0,0.010195788704515232,0.0206443259883991,,,0.008186619352312411,0.01019578870451522,0.01019578870451522,0.010195788704515228,,0.01019578870451522,0.01019578870451522,0.01019578870451522,0.01019578870451522
