id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,prec_score,max_iter,roc_curve,imb_spec,pr_curve,hamming_loss,imb_sens_micro,rec_score,imb_report_0.3,imb_sens_spec_supp,matthews_corrcoef,alpha,learning_rate_init,tol,bal_report,log_loss,warm_start,cohen_kappa_score,solver,hinge_loss,momentum,f1_score,accuracy,batch_size,learning_rate,fbeta_score,power_t,activation,zero_one_loss,hidden_layer_sizes,X,confusion_matrix,imb_spec_micro,y,roc_auc_score,imb_report_0.1,avg_prec_score,imb_sens_spec_supp_micro,imb_sens
CVS,0,0,0.8401656314699794,0.7611459069135614,0.7159420289855073,0.8163265306122449,0.7644883731236405,0.522679005871101,0.7827352085354026,247,560,126,98,686,345,0.851063829787234,0.6621983914209115,0.8163265306122449,0.7159420289855073,0.8333333333333334,0.6880222841225627,2.8738025822573934,3.897906602254429,0.2840579710144927,0.7159420289855073,0.7827352085354026,1000,"(array([0.        , 0.18367347, 1.        ]), array([0.        , 0.71594203, 1.        ]), array([2., 1., 0.]))",[0.71594203 0.81632653],,0.21726479146459748,0.7827352085354026,0.7827352085354026,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.85      0.82      0.72      0.83      0.76      0.60       686
        1.0       0.66      0.72      0.82      0.69      0.76      0.57       345

avg / total       0.79      0.78      0.75      0.78      0.76      0.59      1031
","(array([0.81632653, 0.71594203]), array([0.71594203, 0.81632653]), array([686, 345]))",0.522679005871101,0.0001,0.001,0.0001,"              precision    recall  f1-score   support

         0.0       0.85      0.82      0.83       686
         1.0       0.66      0.72      0.69       345

    accuracy                           0.78      1031
   macro avg       0.76      0.77      0.76      1031
weighted avg       0.79      0.78      0.78      1031
",7.504157770840153,False,0.5217441725617534,adam,,0.9,0.7827352085354026,0.7827352085354026,auto,constant,0.7827352085354026,0.5,logistic,0.21726479146459743,"(10,)","[[-0.95678757 -0.38002868 -0.12554039 ... -0.03491865  1.324429
   0.24262751]
 [ 1.63435007 -0.27840747  0.14589382 ... -0.86218017  0.06102025
  -0.97134735]
 [-0.54766057  2.74845282  0.08831687 ... -0.68234071  1.13626174
  -0.02128006]
 ...
 [-0.51839611 -0.05118501 -0.14375599 ... -0.11588435 -0.24397379
   0.04033549]
 [-0.75148017  0.02891184 -0.14618157 ... -0.11179186  0.85145542
  -0.16929679]
 [-0.95678757 -0.42238786  0.21586653 ... -0.40641826 -0.3932439
   0.47935971]]","[[560 126]
 [ 98 247]]",0.7827352085354026,[1. 0. 1. ... 1. 1. 1.],0.7661342797988762,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.85      0.82      0.72      0.83      0.76      0.59       686
        1.0       0.66      0.72      0.82      0.69      0.76      0.58       345

avg / total       0.79      0.78      0.75      0.78      0.76      0.59      1031
",0.569149006210588,"(0.7827352085354026, 0.7827352085354026, None)",[0.81632653 0.71594203]
CVS,1,0,0.7753961211813918,0.6767729813995463,0.6811594202898551,0.7317784256559767,0.7060154164042368,0.3967103862175568,0.7148399612027158,235,502,184,110,686,345,0.8202614379084967,0.5608591885441527,0.7317784256559767,0.6811594202898551,0.773497688751926,0.6151832460732983,2.2951232441028364,2.5395400126023953,0.3188405797101449,0.6811594202898551,0.7148399612027158,1000,"(array([0.        , 0.26822157, 1.        ]), array([0.        , 0.68115942, 1.        ]), array([2., 1., 0.]))",[0.68115942 0.73177843],,0.2851600387972842,0.7148399612027158,0.7148399612027158,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.82      0.73      0.68      0.77      0.71      0.51       686
        1.0       0.56      0.68      0.73      0.62      0.71      0.49       345

avg / total       0.73      0.71      0.70      0.72      0.71      0.50      1031
","(array([0.73177843, 0.68115942]), array([0.68115942, 0.73177843]), array([686, 345]))",0.3967103862175568,0.0001,0.001,0.0001,"              precision    recall  f1-score   support

         0.0       0.82      0.73      0.77       686
         1.0       0.56      0.68      0.62       345

    accuracy                           0.71      1031
   macro avg       0.69      0.71      0.69      1031
weighted avg       0.73      0.71      0.72      1031
",9.849221518943644,False,0.39203809264020995,adam,,0.9,0.7148399612027158,0.7148399612027158,auto,constant,0.7148399612027158,0.5,logistic,0.28516003879728424,"(50,)","[[-0.95678757 -0.38002868 -0.12554039 ... -0.03491865  1.324429
   0.24262751]
 [ 1.63435007 -0.27840747  0.14589382 ... -0.86218017  0.06102025
  -0.97134735]
 [-0.54766057  2.74845282  0.08831687 ... -0.68234071  1.13626174
  -0.02128006]
 ...
 [-0.51839611 -0.05118501 -0.14375599 ... -0.11588435 -0.24397379
   0.04033549]
 [-0.75148017  0.02891184 -0.14618157 ... -0.11179186  0.85145542
  -0.16929679]
 [-0.95678757 -0.42238786  0.21586653 ... -0.40641826 -0.3932439
   0.47935971]]","[[502 184]
 [110 235]]",0.7148399612027158,[1. 0. 1. ... 1. 1. 1.],0.7064689229729159,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.82      0.73      0.68      0.77      0.71      0.50       686
        1.0       0.56      0.68      0.73      0.62      0.71      0.50       345

avg / total       0.73      0.71      0.70      0.72      0.71      0.50      1031
",0.488727051255767,"(0.7148399612027158, 0.7148399612027158, None)",[0.73177843 0.68115942]
CVSbal,0,0,0.8388993908842681,0.8510423284386305,0.7159420289855073,0.8028985507246377,0.7581746615888191,0.5208133646965685,0.7594202898550725,247,277,68,98,345,345,0.7386666666666667,0.7841269841269841,0.8028985507246377,0.7159420289855073,0.7694444444444444,0.7484848484848485,2.8265306122448983,3.6323529411764706,0.2840579710144927,0.7159420289855073,0.7594202898550725,1000,"(array([0.        , 0.19710145, 1.        ]), array([0.        , 0.71594203, 1.        ]), array([2., 1., 0.]))",[0.71594203 0.80289855],,0.24057971014492754,0.7594202898550725,0.7594202898550725,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.74      0.80      0.72      0.77      0.76      0.59       345
        1.0       0.78      0.72      0.80      0.75      0.76      0.56       345

avg / total       0.76      0.76      0.76      0.76      0.76      0.57       690
","(array([0.80289855, 0.71594203]), array([0.71594203, 0.80289855]), array([345, 345]))",0.5208133646965685,0.0001,0.001,0.0001,"              precision    recall  f1-score   support

         0.0       0.74      0.80      0.77       345
         1.0       0.78      0.72      0.75       345

    accuracy                           0.76       690
   macro avg       0.76      0.76      0.76       690
weighted avg       0.76      0.76      0.76       690
",8.309407614754242,False,0.518840579710145,adam,,0.9,0.7594202898550725,0.7594202898550725,auto,constant,0.7594202898550725,0.5,logistic,0.24057971014492752,"(10,)","[[-0.95678757 -0.38002868 -0.12554039 ... -0.03491865  1.324429
   0.24262751]
 [ 1.63435007 -0.27840747  0.14589382 ... -0.86218017  0.06102025
  -0.97134735]
 [-0.54766057  2.74845282  0.08831687 ... -0.68234071  1.13626174
  -0.02128006]
 ...
 [-0.51839611 -0.05118501 -0.14375599 ... -0.11588435 -0.24397379
   0.04033549]
 [-0.75148017  0.02891184 -0.14618157 ... -0.11179186  0.85145542
  -0.16929679]
 [-0.95678757 -0.42238786  0.21586653 ... -0.40641826 -0.3932439
   0.47935971]]","[[277  68]
 [ 98 247]]",0.7594202898550725,[1. 0. 1. ... 1. 1. 1.],0.7594202898550725,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.74      0.80      0.72      0.77      0.76      0.58       345
        1.0       0.78      0.72      0.80      0.75      0.76      0.57       345

avg / total       0.76      0.76      0.76      0.76      0.76      0.57       690
",0.7034184495054061,"(0.7594202898550725, 0.7594202898550725, None)",[0.80289855 0.71594203]
CVSbal,1,0,0.7749968494013864,0.7928099954124375,0.6811594202898551,0.7391304347826086,0.7095531399938346,0.42099786122616745,0.7101449275362319,235,255,90,110,345,345,0.6986301369863014,0.7230769230769231,0.7391304347826086,0.6811594202898551,0.7183098591549297,0.7014925373134329,2.3181818181818183,2.6111111111111107,0.3188405797101449,0.6811594202898551,0.7101449275362319,1000,"(array([0.        , 0.26086957, 1.        ]), array([0.        , 0.68115942, 1.        ]), array([2., 1., 0.]))",[0.68115942 0.73913043],,0.2898550724637681,0.7101449275362319,0.7101449275362319,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.70      0.74      0.68      0.72      0.71      0.51       345
        1.0       0.72      0.68      0.74      0.70      0.71      0.49       345

avg / total       0.71      0.71      0.71      0.71      0.71      0.50       690
","(array([0.73913043, 0.68115942]), array([0.68115942, 0.73913043]), array([345, 345]))",0.42099786122616745,0.0001,0.001,0.0001,"              precision    recall  f1-score   support

         0.0       0.70      0.74      0.72       345
         1.0       0.72      0.68      0.70       345

    accuracy                           0.71       690
   macro avg       0.71      0.71      0.71       690
weighted avg       0.71      0.71      0.71       690
",10.011343830073702,False,0.42028985507246375,adam,,0.9,0.7101449275362319,0.7101449275362319,auto,constant,0.7101449275362319,0.5,logistic,0.28985507246376807,"(50,)","[[-0.95678757 -0.38002868 -0.12554039 ... -0.03491865  1.324429
   0.24262751]
 [ 1.63435007 -0.27840747  0.14589382 ... -0.86218017  0.06102025
  -0.97134735]
 [-0.54766057  2.74845282  0.08831687 ... -0.68234071  1.13626174
  -0.02128006]
 ...
 [-0.51839611 -0.05118501 -0.14375599 ... -0.11588435 -0.24397379
   0.04033549]
 [-0.75148017  0.02891184 -0.14618157 ... -0.11179186  0.85145542
  -0.16929679]
 [-0.95678757 -0.42238786  0.21586653 ... -0.40641826 -0.3932439
   0.47935971]]","[[255  90]
 [110 235]]",0.7101449275362319,[1. 0. 1. ... 1. 1. 1.],0.7101449275362318,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.70      0.74      0.68      0.72      0.71      0.51       345
        1.0       0.72      0.68      0.74      0.70      0.71      0.50       345

avg / total       0.71      0.71      0.71      0.71      0.71      0.50       690
",0.6519509476031216,"(0.7101449275362319, 0.7101449275362319, None)",[0.73913043 0.68115942]
