id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens_spec_supp,imb_report_0.1,rec_score,f1_score,solver,log_loss,avg_prec_score,pr_curve,warm_start,tol,imb_sens_spec_supp_micro,hamming_loss,prec_score,activation,momentum,learning_rate_init,hidden_layer_sizes,learning_rate,imb_sens_micro,bal_report,confusion_matrix,imb_spec_micro,roc_auc_score,imb_report_0.3,zero_one_loss,hinge_loss,roc_curve,matthews_corrcoef,fbeta_score,imb_sens,power_t,batch_size,cohen_kappa_score,max_iter,y,imb_spec,accuracy,X,alpha
CVS,0,1,0.8166250520183103,0.7227390400766396,0.7134831460674157,0.7792592592592592,0.7456462619087285,0.48013623172915193,0.7565470417070805,254,526,149,102,675,356,0.8375796178343949,0.630272952853598,0.7792592592592592,0.7134831460674157,0.807367613200307,0.6693017127799736,2.7197676107480024,3.232222306010104,0.2865168539325843,0.7134831460674157,"(array([0.77925926, 0.71348315]), array([0.71348315, 0.77925926]), array([675, 356]))","                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.84      0.78      0.71      0.81      0.75      0.56       675
        1.0       0.63      0.71      0.78      0.67      0.75      0.55       356

avg / total       0.77      0.76      0.74      0.76      0.75      0.56      1031
",0.7565470417070805,0.7565470417070804,adam,8.408682846886208,0.5486222039679571,,False,0.0001,"(0.7565470417070805, 0.7565470417070805, None)",0.2434529582929195,0.7565470417070805,logistic,0.9,0.001,"(10,)",constant,0.7565470417070805,"              precision    recall  f1-score   support

         0.0       0.84      0.78      0.81       675
         1.0       0.63      0.71      0.67       356

    accuracy                           0.76      1031
   macro avg       0.73      0.75      0.74      1031
weighted avg       0.77      0.76      0.76      1031
","[[526 149]
 [102 254]]",0.7565470417070805,0.7463712026633375,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.84      0.78      0.71      0.81      0.75      0.57       675
        1.0       0.63      0.71      0.78      0.67      0.75      0.55       356

avg / total       0.77      0.76      0.74      0.76      0.75      0.56      1031
",0.24345295829291946,,"(array([0.        , 0.22074074, 1.        ]), array([0.        , 0.71348315, 1.        ]), array([2., 1., 0.]))",0.48013623172915193,0.7565470417070805,[0.77925926 0.71348315],0.5,auto,0.47783564336058026,1000,[0. 1. 1. ... 1. 1. 1.],[0.71348315 0.77925926],0.7565470417070805,"[[-0.97526261 -0.73282538 -0.33412609 ...  0.37330271 -0.49060952
  -0.82037156]
 [-1.65824353  0.1237957  -0.47701574 ...  1.92274633 -0.27014719
  -0.34124851]
 [-0.2922817  -0.7253765  -0.47701574 ... -0.94939305 -0.77996633
  -0.64291858]
 ...
 [-0.2662958   0.83862007  0.16053917 ... -0.56604085  0.78540852
   0.87072312]
 [-0.16580667 -0.32516078 -0.24862758 ...  0.25246168  0.51150637
  -0.87799028]
 [ 0.05378068 -0.33702222 -0.47701574 ...  0.12386455 -0.14890423
   0.4052419 ]]",0.0001
CVS,1,1,0.8976779026217226,0.8343064323714783,0.7331460674157303,0.882962962962963,0.8045749337196862,0.6230974551791252,0.8312318137730359,261,596,79,95,675,356,0.8625180897250362,0.7676470588235295,0.882962962962963,0.7331460674157303,0.8726207906295754,0.75,3.3087875243664713,6.264222727919214,0.2668539325842697,0.7331460674157303,"(array([0.88296296, 0.73314607]), array([0.73314607, 0.88296296]), array([675, 356]))","                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.86      0.88      0.73      0.87      0.80      0.66       675
        1.0       0.77      0.73      0.88      0.75      0.80      0.64       356

avg / total       0.83      0.83      0.78      0.83      0.80      0.65      1031
",0.8312318137730359,0.8312318137730359,adam,5.829107915530013,0.6549409722912258,,False,0.0001,"(0.8312318137730359, 0.8312318137730359, None)",0.1687681862269641,0.8312318137730359,logistic,0.9,0.001,"(50,)",constant,0.8312318137730359,"              precision    recall  f1-score   support

         0.0       0.86      0.88      0.87       675
         1.0       0.77      0.73      0.75       356

    accuracy                           0.83      1031
   macro avg       0.82      0.81      0.81      1031
weighted avg       0.83      0.83      0.83      1031
","[[596  79]
 [ 95 261]]",0.8312318137730359,0.8080545151893467,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.86      0.88      0.73      0.87      0.80      0.68       675
        1.0       0.77      0.73      0.88      0.75      0.80      0.62       356

avg / total       0.83      0.83      0.78      0.83      0.80      0.66      1031
",0.1687681862269641,,"(array([0.        , 0.11703704, 1.        ]), array([0.        , 0.73314607, 1.        ]), array([2., 1., 0.]))",0.6230974551791252,0.8312318137730359,[0.88296296 0.73314607],0.5,auto,0.6227223783165368,1000,[0. 1. 1. ... 1. 1. 1.],[0.73314607 0.88296296],0.8312318137730359,"[[-0.97526261 -0.73282538 -0.33412609 ...  0.37330271 -0.49060952
  -0.82037156]
 [-1.65824353  0.1237957  -0.47701574 ...  1.92274633 -0.27014719
  -0.34124851]
 [-0.2922817  -0.7253765  -0.47701574 ... -0.94939305 -0.77996633
  -0.64291858]
 ...
 [-0.2662958   0.83862007  0.16053917 ... -0.56604085  0.78540852
   0.87072312]
 [-0.16580667 -0.32516078 -0.24862758 ...  0.25246168  0.51150637
  -0.87799028]
 [ 0.05378068 -0.33702222 -0.47701574 ...  0.12386455 -0.14890423
   0.4052419 ]]",0.0001
CVSbal,0,1,0.8208875142027522,0.8232993235464525,0.7134831460674157,0.7808988764044944,0.7464302962082854,0.4955093201611032,0.7471910112359551,254,278,78,102,356,356,0.7315789473684211,0.7650602409638554,0.7808988764044944,0.7134831460674157,0.7554347826086958,0.7383720930232558,2.725490196078431,3.2564102564102564,0.2865168539325843,0.7134831460674157,"(array([0.78089888, 0.71348315]), array([0.71348315, 0.78089888]), array([356, 356]))","                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.73      0.78      0.71      0.76      0.75      0.56       356
        1.0       0.77      0.71      0.78      0.74      0.75      0.55       356

avg / total       0.75      0.75      0.75      0.75      0.75      0.56       712
",0.7471910112359551,0.7471910112359552,adam,8.731800729892525,0.6891160146202788,,False,0.0001,"(0.7471910112359551, 0.7471910112359551, None)",0.25280898876404495,0.7471910112359551,logistic,0.9,0.001,"(10,)",constant,0.7471910112359551,"              precision    recall  f1-score   support

         0.0       0.73      0.78      0.76       356
         1.0       0.77      0.71      0.74       356

    accuracy                           0.75       712
   macro avg       0.75      0.75      0.75       712
weighted avg       0.75      0.75      0.75       712
","[[278  78]
 [102 254]]",0.7471910112359551,0.747191011235955,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.73      0.78      0.71      0.76      0.75      0.57       356
        1.0       0.77      0.71      0.78      0.74      0.75      0.55       356

avg / total       0.75      0.75      0.75      0.75      0.75      0.56       712
",0.2528089887640449,,"(array([0.        , 0.21910112, 1.        ]), array([0.        , 0.71348315, 1.        ]), array([2., 1., 0.]))",0.4955093201611032,0.7471910112359551,[0.78089888 0.71348315],0.5,auto,0.4943820224719101,1000,[0. 1. 1. ... 1. 1. 1.],[0.71348315 0.78089888],0.7471910112359551,"[[-0.97526261 -0.73282538 -0.33412609 ...  0.37330271 -0.49060952
  -0.82037156]
 [-1.65824353  0.1237957  -0.47701574 ...  1.92274633 -0.27014719
  -0.34124851]
 [-0.2922817  -0.7253765  -0.47701574 ... -0.94939305 -0.77996633
  -0.64291858]
 ...
 [-0.2662958   0.83862007  0.16053917 ... -0.56604085  0.78540852
   0.87072312]
 [-0.16580667 -0.32516078 -0.24862758 ...  0.25246168  0.51150637
  -0.87799028]
 [ 0.05378068 -0.33702222 -0.47701574 ...  0.12386455 -0.14890423
   0.4052419 ]]",0.0001
CVSbal,1,1,0.8957517990152758,0.8924815880493161,0.7331460674157303,0.8876404494382022,0.8067032321645607,0.6283304616450234,0.8103932584269663,261,316,40,95,356,356,0.7688564476885644,0.867109634551495,0.8876404494382022,0.7331460674157303,0.8239895697522815,0.7945205479452054,3.3263157894736834,6.524999999999997,0.2668539325842697,0.7331460674157303,"(array([0.88764045, 0.73314607]), array([0.73314607, 0.88764045]), array([356, 356]))","                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.77      0.89      0.73      0.82      0.81      0.66       356
        1.0       0.87      0.73      0.89      0.79      0.81      0.64       356

avg / total       0.82      0.81      0.81      0.81      0.81      0.65       712
",0.8103932584269663,0.8103932584269663,adam,6.54882977136257,0.7691449848818546,,False,0.0001,"(0.8103932584269663, 0.8103932584269663, None)",0.1896067415730337,0.8103932584269663,logistic,0.9,0.001,"(50,)",constant,0.8103932584269663,"              precision    recall  f1-score   support

         0.0       0.77      0.89      0.82       356
         1.0       0.87      0.73      0.79       356

    accuracy                           0.81       712
   macro avg       0.82      0.81      0.81       712
weighted avg       0.82      0.81      0.81       712
","[[316  40]
 [ 95 261]]",0.8103932584269663,0.8103932584269663,"                   pre       rec       spe        f1       geo       iba       sup

        0.0       0.77      0.89      0.73      0.82      0.81      0.68       356
        1.0       0.87      0.73      0.89      0.79      0.81      0.62       356

avg / total       0.82      0.81      0.81      0.81      0.81      0.65       712
",0.1896067415730337,,"(array([0.        , 0.11235955, 1.        ]), array([0.        , 0.73314607, 1.        ]), array([2., 1., 0.]))",0.6283304616450234,0.8103932584269663,[0.88764045 0.73314607],0.5,auto,0.6207865168539326,1000,[0. 1. 1. ... 1. 1. 1.],[0.73314607 0.88764045],0.8103932584269663,"[[-0.97526261 -0.73282538 -0.33412609 ...  0.37330271 -0.49060952
  -0.82037156]
 [-1.65824353  0.1237957  -0.47701574 ...  1.92274633 -0.27014719
  -0.34124851]
 [-0.2922817  -0.7253765  -0.47701574 ... -0.94939305 -0.77996633
  -0.64291858]
 ...
 [-0.2662958   0.83862007  0.16053917 ... -0.56604085  0.78540852
   0.87072312]
 [-0.16580667 -0.32516078 -0.24862758 ...  0.25246168  0.51150637
  -0.87799028]
 [ 0.05378068 -0.33702222 -0.47701574 ...  0.12386455 -0.14890423
   0.4052419 ]]",0.0001
