id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens_micro,power_t,prec_score,learning_rate_init,imb_spec_micro,alpha,pr_curve,zero_one_loss,accuracy,max_iter,hinge_loss,matthews_corrcoef,avg_prec_score,log_loss,fbeta_score,momentum,warm_start,rec_score,tol,hamming_loss,roc_auc_score,cohen_kappa_score,f1_score
HOSbal,14,3.0276503540974917,0.008638531619035524,0.013793764497874204,0.014073608834171603,0.020716591237209727,0.011964606404904378,0.02319829382074072,0.011728360609723494,8.14861951498534,11.994906326344434,11.994906326344436,8.148619514985345,0.0,0.0,0.013081812668134808,0.014961543699631237,0.020716591237209727,0.014073608834171603,0.01354725410202288,0.01054944626568596,0.5323156615414356,0.3245370929397134,0.014073608834171601,0.014073608834171603,0.011728360609723494,0.0,0.011728360609723494,0.0,0.011728360609723494,0.0,,0.01172836060972352,0.011728360609723494,0.0,,0.02319829382074072,0.01343915333314818,0.4050898831284616,0.011728360609723494,0.0,0.0,0.011728360609723494,0.0,0.011728360609723524,0.011728360609723553,0.023456721219447044,0.011728360609723513
HOSbal,15,3.0276503540974917,0.017356523521903512,0.010368181256456579,0.050452607796948754,0.04438683658556687,0.01301543548911786,0.017536737481489706,0.009833021886208574,29.212059914433354,25.699978383043216,25.699978383043216,29.212059914433365,0.0,0.0,0.018855766997864436,0.022763089378188918,0.04438683658556687,0.050452607796948754,0.013374179116850899,0.022253315006899727,0.18319710986876195,0.309199815107876,0.05045260779694881,0.050452607796948754,0.009833021886208574,0.0,0.009833021886208574,0.0,0.009833021886208574,0.0,,0.009833021886208564,0.009833021886208574,0.0,,0.017536737481489706,0.008714166273085166,0.33961862841262375,0.009833021886208609,0.0,0.0,0.009833021886208574,0.0,0.009833021886208564,0.00983302188620853,0.01966604377241715,0.009833021886208599
HOSbal,16,3.0276503540974917,0.009771195550769215,0.013713495016521313,0.016058977484866104,0.013798923217279066,0.011288564903408637,0.02273947707212681,0.011331306573746234,9.298147963737486,7.9895765428045875,7.989576542804588,9.298147963737485,0.0,0.0,0.013351143381596315,0.01130688111526662,0.013798923217279066,0.016058977484866104,0.011358293458955086,0.011824287039963887,0.20538925235991123,0.15722074963420204,0.016058977484866118,0.016058977484866104,0.011331306573746234,0.0,0.011331306573746234,0.0,0.011331306573746234,0.0,,0.011331306573746232,0.011331306573746234,0.0,,0.02273947707212681,0.010798942646891945,0.3913733990509247,0.011331306573746222,0.0,0.0,0.011331306573746234,0.0,0.011331306573746265,0.01133130657374624,0.022662613147492475,0.011331306573746272
HOSbal,17,3.0276503540974917,0.019170831488077113,0.014241065348121038,0.03910390694598398,0.03431174245375343,0.010165226425427101,0.01572298498316887,0.008465510143801347,22.64116212172472,19.86649888072323,19.86649888072324,22.64116212172472,0.0,0.0,0.015757420186808955,0.01699964680775922,0.03431174245375343,0.03910390694598398,0.010930303695298854,0.017097087413882307,0.15811929555846926,0.22099811461714272,0.03910390694598397,0.03910390694598398,0.008465510143801347,0.0,0.008465510143801347,0.0,0.008465510143801347,0.0,,0.008465510143801352,0.008465510143801347,0.0,,0.01572298498316887,0.0076485679962847285,0.29238759291731325,0.008465510143801357,0.0,0.0,0.008465510143801347,0.0,0.00846551014380135,0.00846551014380131,0.016931020287602738,0.008465510143801347
HOSbal,18,3.0276503540974917,0.0137247563755727,0.008269911915252687,0.06645244650185178,0.08931209119791003,0.013799980983885015,0.023969731294914285,0.011742481812369625,38.47596652457219,51.7117008035899,51.7117008035899,38.47596652457219,0.0,0.0,0.012604326806913447,0.03691330251364798,0.08931209119791003,0.06645244650185178,0.03978606382852064,0.01657298703032714,0.1054512887982339,0.3348102884638852,0.06645244650185178,0.06645244650185178,0.011742481812369625,0.0,0.011742481812369625,0.0,0.011742481812369625,0.0,,0.011742481812369632,0.011742481812369625,0.0,,0.023969731294914285,0.013121723988164776,0.4056059564893656,0.011742481812369624,0.0,0.0,0.011742481812369625,0.0,0.01174248181236962,0.011742481812369638,0.023484963624739248,0.011742481812369625
HOSbal,19,3.0276503540974917,0.006048577234935369,0.008169947953020954,0.007245656982177202,0.009284753060943434,0.005841218270051982,0.011764515647580024,0.005863297131871488,4.195235392680614,5.375872022286249,5.375872022286246,4.195235392680597,0.0,0.0,0.005683275635895761,0.00727979640064018,0.009284753060943434,0.007245656982177202,0.006341328980580898,0.005767425770641454,0.07655172250783157,0.10748640575623572,0.0072456569821772124,0.007245656982177202,0.005863297131871488,0.0,0.005863297131871488,0.0,0.005863297131871488,0.0,,0.005863297131871487,0.005863297131871488,0.0,,0.011764515647580024,0.005943331345559505,0.2025140273199178,0.005863297131871488,0.0,0.0,0.005863297131871488,0.0,0.005863297131871479,0.005863297131871487,0.011726594263742974,0.005863297131871488
HOSbal,20,3.0276503540974917,0.005324076750798666,0.006829578852322621,0.016344351832560007,0.009626507756397718,0.007767905333617437,0.015456399681905252,0.007743181959053545,9.463379711052259,5.57374799095426,5.573747990954258,9.463379711052262,0.0,0.0,0.011692694804185305,0.006984966540968044,0.009626507756397718,0.016344351832560007,0.006765024783271694,0.009379594494588389,0.2104151380458128,0.12658404171672735,0.01634435183256003,0.016344351832560007,0.007743181959053545,0.0,0.007743181959053545,0.0,0.007743181959053545,0.0,,0.007743181959053523,0.007743181959053545,0.0,,0.015456399681905252,0.007303907720665559,0.26744087395862176,0.007743181959053545,0.0,0.0,0.007743181959053545,0.0,0.007743181959053504,0.007743181959053536,0.015486363918107031,0.0077431819590535285
HOSbal,21,3.0276503540974917,0.011950267344032492,0.011575717319702509,0.020680563051815294,0.014818120525312338,0.012727008974348293,0.025196355380286847,0.012642269451249383,11.974046007001043,8.579691784155834,8.579691784155832,11.974046007001052,0.0,0.0,0.014920151528620999,0.012214704860072756,0.014818120525312338,0.020680563051815294,0.011918264926981293,0.014411400803686083,0.1785665050543761,0.15143485477977192,0.020680563051815294,0.020680563051815294,0.012642269451249383,0.0,0.012642269451249383,0.0,0.012642269451249383,0.0,,0.012642269451249384,0.012642269451249383,0.0,,0.025196355380286847,0.011450836742057892,0.4366519267828883,0.012642269451249393,0.0,0.0,0.012642269451249383,0.0,0.012642269451249395,0.012642269451249456,0.025284538902498828,0.012642269451249383
HOSbal,22,3.0276503540974917,0.007500421585999751,0.008992585113808795,0.01664176546767734,0.014740752487579247,0.00758852693851772,0.015084068588965127,0.007552497961362191,9.635582205785205,8.534895690308373,8.53489569030837,9.6355822057852,0.0,0.0,0.010400948750890563,0.009881741628294931,0.014740752487579247,0.01664176546767734,0.007729678108930674,0.008923249018933122,0.1521079225444691,0.16108327820126042,0.016641765467677375,0.01664176546767734,0.007552497961362191,0.0,0.007552497961362191,0.0,0.007552497961362191,0.0,,0.007552497961362191,0.007552497961362191,0.0,,0.015084068588965127,0.007504657706199047,0.260856268325586,0.007552497961362191,0.0,0.0,0.007552497961362191,0.0,0.007552497961362179,0.007552497961362139,0.015104995922724318,0.007552497961362204
HOSbal,23,3.0276503540974917,0.009202975945085594,0.012209936674318272,0.02082191428715389,0.020026765475585243,0.011046510936668377,0.021857983303446404,0.010968657963878902,12.055888372262089,11.595497210363837,11.595497210363838,12.055888372262096,0.0,0.0,0.013357242382246321,0.013079096218574879,0.020026765475585243,0.02082191428715389,0.0118085459187388,0.012266713998523233,0.17165281148304898,0.17087039155554648,0.02082191428715387,0.02082191428715389,0.010968657963878902,0.0,0.010968657963878902,0.0,0.010968657963878902,0.0,,0.010968657963878893,0.010968657963878902,0.0,,0.021857983303446404,0.010448800345937587,0.378848114110032,0.010968657963878886,0.0,0.0,0.010968657963878902,0.0,0.010968657963878897,0.010968657963878945,0.0219373159277578,0.010968657963878843
