id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,pr_curve,accuracy,imb_spec_micro,log_loss,confusion_matrix,bal_report,y,fbeta_score,f1_score,hinge_loss,imb_spec,matthews_corrcoef,hamming_loss,imb_sens_spec_supp_micro,roc_curve,cohen_kappa_score,imb_report_0.3,X,imb_sens_spec_supp,rec_score,prec_score,priors,roc_auc_score,avg_prec_score,zero_one_loss,imb_report_0.1,imb_sens_micro,imb_sens
CVS,0,3,0.6568247126436781,0.7454953010600758,0.896551724137931,0.18636363636363637,0.40875988000100083,0.11799126222000754,0.6214788732394366,312,41,179,36,220,348,0.5324675324675324,0.6354378818737271,0.18636363636363637,0.896551724137931,0.2760942760942761,0.7437425506555424,1.8015151515151517,1.1019071469851667,0.10344827586206895,0.896551724137931,,0.6214788732394366,0.6214788732394366,13.07390854374261,"[[ 41 179]
 [ 36 312]]","              precision    recall  f1-score   support

           0       0.53      0.19      0.28       220
           1       0.64      0.90      0.74       348

    accuracy                           0.62       568
   macro avg       0.58      0.54      0.51       568
weighted avg       0.60      0.62      0.56       568
",[0 0 1 ... 0 0 0],0.6214788732394366,0.6214788732394366,,[0.89655172 0.18636364],0.11799126222000754,0.3785211267605634,"(0.6214788732394366, 0.6214788732394366, None)","(array([0.        , 0.81363636, 1.        ]), array([0.        , 0.89655172, 1.        ]), array([2, 1, 0]))",0.09417279848089244,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.53      0.19      0.90      0.28      0.41      0.13       220
          1       0.64      0.90      0.19      0.74      0.41      0.20       348

avg / total       0.60      0.62      0.46      0.56      0.41      0.18       568
","[[ 1.39850118 -0.12233932  0.11627491 -0.46865517  0.96886263  0.19729386]
 [ 1.17033817 -0.45885072 -0.24016773 -0.4015648  -0.42351651  0.70908724]
 [-0.1829045  -0.31463155 -0.11286679  3.50405305 -0.86599268 -0.122577  ]
 ...
 [-0.53336216  0.74509627 -0.10163587 -0.10691329  2.0053535  -0.4157606 ]
 [-0.72903486 -0.45885072 -0.19979605  2.28273622 -0.90519561 -0.7879084 ]
 [ 0.09655879 -0.32521546 -0.0058925  -0.43603717  1.66816293  1.44282255]]","(array([0.18636364, 0.89655172]), array([0.89655172, 0.18636364]), array([220, 348], dtype=int32))",0.6214788732394366,0.6214788732394366,,0.5414576802507837,0.6330832102665859,0.3785211267605634,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.53      0.19      0.90      0.28      0.41      0.16       220
          1       0.64      0.90      0.19      0.74      0.41      0.18       348

avg / total       0.60      0.62      0.46      0.56      0.41      0.17       568
",0.6214788732394366,[0.18636364 0.89655172]
CVSbal,0,3,0.6632334710743802,0.6523206526910822,0.8863636363636364,0.18636363636363637,0.4064307449163057,0.10183855156567344,0.5363636363636364,195,41,179,25,220,220,0.6212121212121212,0.5213903743315508,0.18636363636363637,0.8863636363636364,0.2867132867132867,0.6565656565656565,1.64,1.0893854748603353,0.11363636363636365,0.8863636363636364,,0.5363636363636364,0.5363636363636364,16.0137579829586,"[[ 41 179]
 [ 25 195]]","              precision    recall  f1-score   support

           0       0.62      0.19      0.29       220
           1       0.52      0.89      0.66       220

    accuracy                           0.54       440
   macro avg       0.57      0.54      0.47       440
weighted avg       0.57      0.54      0.47       440
",[0 0 1 ... 0 0 0],0.5363636363636364,0.5363636363636364,,[0.88636364 0.18636364],0.10183855156567344,0.4636363636363636,"(0.5363636363636364, 0.5363636363636364, None)","(array([0.        , 0.81363636, 1.        ]), array([0.        , 0.88636364, 1.        ]), array([2, 1, 0]))",0.07272727272727275,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.19      0.89      0.29      0.41      0.13       220
          1       0.52      0.89      0.19      0.66      0.41      0.20       220

avg / total       0.57      0.54      0.54      0.47      0.41      0.17       440
","[[ 1.39850118 -0.12233932  0.11627491 -0.46865517  0.96886263  0.19729386]
 [ 1.17033817 -0.45885072 -0.24016773 -0.4015648  -0.42351651  0.70908724]
 [-0.1829045  -0.31463155 -0.11286679  3.50405305 -0.86599268 -0.122577  ]
 ...
 [-0.53336216  0.74509627 -0.10163587 -0.10691329  2.0053535  -0.4157606 ]
 [-0.72903486 -0.45885072 -0.19979605  2.28273622 -0.90519561 -0.7879084 ]
 [ 0.09655879 -0.32521546 -0.0058925  -0.43603717  1.66816293  1.44282255]]","(array([0.18636364, 0.88636364]), array([0.88636364, 0.18636364]), array([220, 220], dtype=int32))",0.5363636363636364,0.5363636363636364,,0.5363636363636364,0.5189596499756928,0.4636363636363636,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.62      0.19      0.89      0.29      0.41      0.15       220
          1       0.52      0.89      0.19      0.66      0.41      0.18       220

avg / total       0.57      0.54      0.54      0.47      0.41      0.17       440
",0.5363636363636364,[0.18636364 0.88636364]
