id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,accuracy,max_iter,prec_score,cohen_kappa_score,avg_prec_score,rec_score,imb_sens_micro,hinge_loss,hamming_loss,zero_one_loss,fbeta_score,probability,roc_auc_score,gamma,imb_spec_micro,pr_curve,C,log_loss,matthews_corrcoef,f1_score
HOS,0,3.0276503540974917,0.002326100817340834,0.0019496088659655703,0.01150842632319053,0.015236080207550982,0.004941262057064963,0.008917619681692206,0.004908463578065026,13.108097582113968,8.821690440172011,8.82169044017201,13.108097582114004,0.0,0.0,0.007928994987761511,0.005922529920313223,0.015236080207550982,0.01150842632319053,0.005892002439219396,0.005247707199630256,0.09633766112047436,0.12361732319479035,0.011508426323190525,0.01150842632319053,0.004908463578065026,0.0,0.004908463578065026,0.008851042152698337,0.003563403037897671,0.004908463578065026,0.004908463578065026,,0.004908463578064995,0.004908463578065013,0.004908463578065018,0.0,0.004844173904902856,0.0,0.004908463578065026,,0.0,0.16953169436721915,0.008917619681692206,0.0049084635780650455
HOS,1,3.0276503540974917,0.012424299032827308,0.005455548110027206,0.000647818074954028,0.026198700228305703,0.03630664350857038,0.031047390533521603,0.008685692388668762,0.7378647873726083,15.16904743218901,15.16904743218901,0.7378647873726218,0.0,0.0,0.009707629821521471,0.006367366624151441,0.026198700228305703,0.000647818074954028,0.040786203464295616,0.0043675606876357,,0.03456183483817464,0.0006478180749540127,0.000647818074954028,0.008685692388668762,0.0,0.008685692388668762,0.03162003384787126,0.0063560673312986855,0.008685692388668762,0.008685692388668762,,0.008685692388668752,0.008685692388668774,0.008685692388668752,0.0,0.012987441117665784,0.0,0.008685692388668762,,0.0,0.30000023973822093,0.031047390533521603,0.008685692388668762
HOS,2,3.0276503540974917,0.0018589593103261314,0.0016162738103414856,0.00970801216925453,0.006882025792639493,0.00348209227467043,0.005820680914665521,0.004862616086548935,11.057425860780917,3.984692933938315,3.984692933938298,11.05742586078092,0.0,0.0,0.004694821317131826,0.0025196953817378364,0.006882025792639493,0.00970801216925453,0.0028789993537472235,0.006197552460629174,0.03560491593865377,0.038614612807025016,0.009708012169254543,0.00970801216925453,0.004862616086548935,0.0,0.004862616086548935,0.006613741897917593,0.0018586555201091275,0.004862616086548935,0.004862616086548935,,0.004862616086548974,0.004862616086548951,0.004862616086548972,0.0,0.003080472719883675,0.0,0.004862616086548935,,0.0,0.16794779017027542,0.005820680914665521,0.004862616086548935
HOS,3,3.0276503540974917,0.001986205701151475,0.0016459338343252656,0.004787381924888196,0.007245656982177202,0.003606223647003211,0.00679189884583119,0.003225704686165361,5.452828012447614,4.195235392680598,4.195235392680608,5.452828012447607,0.0,0.0,0.005822742037482868,0.0033057306352290857,0.007245656982177202,0.004787381924888196,0.004385169517493124,0.002665547960178507,0.15471620691090904,0.14949428401561798,0.004787381924888155,0.004787381924888196,0.003225704686165361,0.0,0.003225704686165361,0.006804974460295318,0.0027879571359216435,0.003225704686165361,0.003225704686165361,,0.003225704686165371,0.0032257046861653834,0.003225704686165361,0.0,0.0035430765343542293,0.0,0.003225704686165361,,0.0,0.11141267301092796,0.00679189884583119,0.0032257046861653713
HOS,4,3.0276503540974917,0.0034188228713603066,0.0020562985227028413,0.0029323909979222756,0.010714924696955066,0.006930049498324824,0.007972734060711533,0.003301831181402058,3.339993346633432,6.203941399536982,6.203941399536982,3.3399933466334266,0.0,0.0,0.00926243282305179,0.003406592334621015,0.010714924696955066,0.0029323909979222756,0.008349264194085776,0.0020435376252861638,6.352954202988283,0.04525986699951765,0.0029323909979222587,0.0029323909979222756,0.003301831181402058,0.0,0.003301831181402058,0.009359075492255231,0.0032530572093286162,0.003301831181402058,0.003301831181402058,,0.0033018311814020465,0.0033018311814020534,0.003301831181402058,0.0,0.004922475356669482,0.0,0.003301831181402058,,0.0,0.114043650274839,0.007972734060711533,0.0033018311814020365
HOS,5,3.0276503540974917,0.001419649395461174,0.0014276432133287296,0.010595947624725583,0.01049616596437843,0.0029435244701705963,0.00516154828287195,0.004349342602145914,12.068784344562443,6.077280093375122,6.077280093375108,12.068784344562445,0.0,0.0,0.005053443255406023,0.004113851295468642,0.01049616596437843,0.010595947624725583,0.003003558204426255,0.005707977993958883,0.045686762649416075,0.08942459646892086,0.010595947624725594,0.010595947624725583,0.004349342602145914,0.0,0.004349342602145914,0.005834673052444084,0.0019218149607980574,0.004349342602145914,0.004349342602145914,,0.00434934260214588,0.0043493426021458965,0.004349342602145944,0.0,0.0027494813569671384,0.0,0.004349342602145914,,0.0,0.1502193244575484,0.00516154828287195,0.004349342602145914
HOS,6,3.0276503540974917,0.0030696349661067796,0.002091969891503712,0.024522969832291262,0.02587473235952128,0.007102709609900318,0.007146342685160862,0.007918463913502326,27.93166263897978,14.981470036162822,14.981470036162822,27.93166263897977,0.0,0.0,0.0151550604227676,0.003915520271345588,0.02587473235952128,0.024522969832291262,0.008016594585269548,0.010108434032139289,0.13724584954589272,0.031915682737619085,0.02452296983229127,0.024522969832291262,0.007918463913502326,0.0,0.007918463913502326,0.006565739083690538,0.0015799639946212564,0.007918463913502326,0.007918463913502326,,0.007918463913502333,0.007918463913502325,0.007918463913502335,0.0,0.0026528167177134027,0.0,0.007918463913502326,,0.0,0.2734877138082952,0.007146342685160862,0.007918463913502326
HOS,7,3.0276503540974917,0.1294190427113071,0.11676784594508582,0.0007403635142331752,0.025893299144585612,0.03516133407601371,0.0296385358389526,0.0085160870575688,0.843274042711584,14.992220204715068,14.992220204715064,0.8432740427115677,0.0,0.0,0.01098952377677639,0.006299233083489277,0.025893299144585612,0.0007403635142331752,0.03985753796210104,0.00427944507959038,,0.034579002892877346,0.0007403635142331585,0.0007403635142331752,0.0085160870575688,0.0,0.0085160870575688,0.030987944670825003,0.0062855979727100214,0.0085160870575688,0.0085160870575688,,0.00851608705756879,0.00851608705756878,0.008516087057568792,0.0,0.012783691383811552,0.0,0.0085160870575688,,0.0,0.2941421951403107,0.0296385358389526,0.008516087057568822
HOS,8,3.0276503540974917,0.0023836358009421987,0.001966025383829697,0.013121885957965807,0.015787345078643746,0.004562247334751666,0.007414971364480603,0.0042702927884322095,14.94582810612305,9.140872800534721,9.140872800534732,14.945828106123045,0.0,0.0,0.0020600423589622607,0.00879077897064724,0.015787345078643746,0.013121885957965807,0.0037384684191263586,0.010044427658421062,0.011782703795183536,0.1338833868864102,0.013121885957965826,0.013121885957965807,0.0042702927884322095,0.0,0.0042702927884322095,0.004584445553897055,0.0022418716592663684,0.0042702927884322095,0.0042702927884322095,,0.004270292788432236,0.004270292788432181,0.0042702927884322095,0.0,0.0030667842732353423,0.0,0.0042702927884322095,,0.0,0.14748795984993793,0.007414971364480603,0.0042702927884322095
HOSbal,0,3.0276503540974917,0.0021453122889905103,0.003210430657616754,0.012956565843323959,0.015236080207550982,0.0045928186598985605,0.009024347051648151,0.0045413255321267425,7.501851623284604,8.821690440172011,8.82169044017201,7.501851623284595,0.0,0.0,0.006963912999797492,0.008445768773026817,0.015236080207550982,0.012956565843323959,0.006540224417626021,0.004906090223479919,0.10267907904444801,0.11699432426310352,0.012956565843324015,0.012956565843323959,0.0045413255321267425,0.0,0.0045413255321267425,0.009082651064253487,0.004932158629698297,0.0045413255321267425,0.0045413255321267425,,0.0045413255321267365,0.004541325532126728,0.0045413255321267425,0.0,0.004541325532126787,0.0,0.0045413255321267425,,0.0,0.1568550572070414,0.009024347051648151,0.004541325532126746
