alb,alp,alt,baso,bil,cl,cre,crp,egfr,eos,hct,hgb,k,ly,mch,mchc,mcv,mono,mpv,neut,nrbca,plt,rbc,rdw,sodium,urea,wbc,0
False,False,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,5
False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,5
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5
True,True,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,5
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,4
False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,4
True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,4
False,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,4
False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4
False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4
True,True,True,False,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,4
True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4
False,False,True,True,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,4
True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,4
True,True,False,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,4
True,True,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,4
True,True,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,4
True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4
False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
False,False,True,True,False,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,3
False,False,True,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
True,True,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,3
True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
True,True,True,False,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,3
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,3
False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,3
True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,3
True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3
True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,2
False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2
