baso,cl,cre,crp,egfr,eos,hct,hgb,k,ly,mch,mchc,mcv,mono,mpv,neut,nrbca,plt,rbc,rdw,sodium,urea,wbc,0
True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,True,True,True,True,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,1
True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,1
False,False,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,1
True,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,True,1
True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1
False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,False,1
True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,True,1
True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,1
True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,1
False,True,True,True,True,False,True,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,1
True,False,False,True,False,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,1
False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,1
False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1
False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,1
True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,1
False,True,True,False,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,1
False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,1
True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,1
False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1
True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1
True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,1
