id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_spec_micro,max_iter,log_loss,learning_rate_init,rec_score,prec_score,hamming_loss,roc_auc_score,pr_curve,matthews_corrcoef,tol,momentum,cohen_kappa_score,alpha,imb_sens_micro,f1_score,hinge_loss,avg_prec_score,accuracy,power_t,fbeta_score,zero_one_loss,warm_start
HOSbal,21,3.0276503540974917,0.009215107913492854,0.008704123419314602,0.027468926497023753,0.01870676261850633,0.010954757662717595,0.02078021997351774,0.010569898875511163,15.602350250309518,10.625441167311594,10.625441167311594,15.602350250309504,0.0,0.0,0.015637056312537752,0.01133963506813027,0.01870676261850633,0.027468926497023753,0.009207292859844689,0.014802460072268639,0.18365045740815328,0.15373990554721934,0.027468926497023795,0.027468926497023753,0.010569898875511163,0.0,0.365071773771387,0.0,0.010569898875511163,0.010569898875511163,0.010569898875511201,0.010569898875511227,,0.02078021997351774,0.0,0.0,0.02113979775102237,0.0,0.010569898875511163,0.0105698988755112,,0.00926938592221046,0.010569898875511163,0.0,0.010569898875511163,0.010569898875511225,0.0
HOSbal,22,3.0276503540974917,0.00811477555906598,0.013323199278379442,0.012788850023243453,0.019400843954535864,0.008106289417659658,0.017056648445114946,0.008328372523289555,7.264066813202269,11.019679366176376,11.019679366176373,7.264066813202279,0.0,0.0,0.007481555077442407,0.014104498651266178,0.019400843954535864,0.012788850023243453,0.01015457223758166,0.007642728006038125,0.10086053288433615,0.23716669374900984,0.01278885002324345,0.012788850023243453,0.008328372523289555,0.0,0.2876576803245104,0.0,0.008328372523289555,0.008328372523289555,0.008328372523289577,0.008328372523289598,,0.017056648445114946,0.0,0.0,0.01665674504657916,0.0,0.008328372523289555,0.008328372523289584,,0.009372603459131532,0.008328372523289555,0.0,0.008328372523289562,0.008328372523289558,0.0
HOSbal,23,3.0276503540974917,0.010954726144987886,0.014791462355773062,0.024296058150803334,0.019908988906358685,0.011890202558046962,0.02289980674889911,0.011540683575692361,13.800161029656303,11.308305698811726,11.308305698811727,13.8001610296563,0.0,0.0,0.013902149092054152,0.014307923575088357,0.019908988906358685,0.024296058150803334,0.01101661287443273,0.014594864694418959,0.15352784530323058,0.21563864881759576,0.024296058150803348,0.024296058150803334,0.011540683575692361,0.0,0.398604023921715,0.0,0.011540683575692361,0.011540683575692361,0.01154068357569239,0.011540683575692361,,0.02289980674889911,0.0,0.0,0.023081367151384775,0.0,0.011540683575692361,0.01154068357569237,,0.011058934877230937,0.011540683575692361,0.0,0.011540683575692361,0.011540683575692379,0.0
HOSbal,24,3.0276503540974917,0.004935446481508854,0.008735079639597864,0.056699070535736966,0.06410132584676811,0.00631189739714985,0.013339215847629178,0.006016331634443332,32.20507206429861,36.409553080964265,36.40955308096427,32.20507206429861,0.0,0.0,0.016052391062962506,0.029447148134449666,0.06410132584676811,0.056699070535736966,0.02252476469682171,0.017891625165670094,0.14713388922475354,0.32217800457324763,0.056699070535736966,0.056699070535736966,0.006016331634443332,0.0,0.20781399454618427,0.0,0.006016331634443332,0.006016331634443332,0.006016331634443326,0.006016331634443276,,0.013339215847629178,0.0,0.0,0.012032663268886658,0.0,0.006016331634443332,0.006016331634443332,,0.008626279011648329,0.006016331634443332,0.0,0.006016331634443348,0.006016331634443341,0.0
HOSbal,25,3.0276503540974917,0.00692457009552624,0.009354874578479097,0.011620607449265125,0.011259349968534836,0.007613730807325631,0.01509549568397811,0.007561090802068727,6.6005050311825775,6.395310782127803,6.395310782127793,6.600505031182586,0.0,0.0,0.008127548313251748,0.009047082623820297,0.011259349968534836,0.011620607449265125,0.007612828200822123,0.008210287120768515,0.11195809358140357,0.1510663471697414,0.011620607449265127,0.011620607449265125,0.007561090802068727,0.0,0.261153738189231,0.0,0.007561090802068727,0.007561090802068727,0.0075610908020687165,0.007561090802068691,,0.01509549568397811,0.0,0.0,0.01512218160413748,0.0,0.007561090802068727,0.007561090802068718,,0.007697328546762712,0.007561090802068727,0.0,0.00756109080206871,0.0075610908020687165,0.0
HOSbal,26,3.0276503540974917,0.007100056150949821,0.010472959353980607,0.023077636588228822,0.012985273883511094,0.011654304162594222,0.020832171945348917,0.01095706154249258,13.108097582113977,7.375635565834307,7.37563556583431,13.108097582113974,0.0,0.0,0.01528007226948649,0.011067609056028523,0.012985273883511094,0.023077636588228822,0.009260901813960254,0.01371502535274106,0.3103661212494388,0.44359922569719196,0.023077636588228825,0.023077636588228822,0.01095706154249258,0.0,0.3784445591929504,0.0,0.01095706154249258,0.01095706154249258,0.010957061542492569,0.010957061542492581,,0.020832171945348917,0.0,0.0,0.02191412308498515,0.0,0.01095706154249258,0.010957061542492574,,0.011432043053374441,0.01095706154249258,0.0,0.01095706154249258,0.010957061542492576,0.0
HOSbal,27,3.0276503540974917,0.008129829183725708,0.009816134881687193,0.02841793868541555,0.02950016447009204,0.011586583303033396,0.022524050523675055,0.011326443113626057,16.141389173316046,16.756093419012277,16.75609341901228,16.141389173316046,0.0,0.0,0.0142494520353007,0.01789238671681133,0.02950016447009204,0.02841793868541555,0.013532969226746756,0.0139789152273557,0.16161990720880595,0.24808712760254883,0.028417938685415565,0.02841793868541555,0.011326443113626057,0.0,0.39120656761428313,0.0,0.011326443113626057,0.011326443113626057,0.011326443113626026,0.01132644311362602,,0.022524050523675055,0.0,0.0,0.022652886227252114,0.0,0.011326443113626057,0.011326443113626065,,0.01138674933563787,0.011326443113626057,0.0,0.011326443113626057,0.011326443113626048,0.0
HOSbal,28,3.0276503540974917,0.010149012564861594,0.010984291057083609,0.023801271583584967,0.021130020614408627,0.013819548445033254,0.027204997370057916,0.013662811249077932,13.519122259476259,12.00185170898409,12.001851708984097,13.51912225947627,0.0,0.0,0.016136521480108194,0.01670482926308194,0.021130020614408627,0.023801271583584967,0.013366355060543239,0.015402566965708075,0.24378701700550043,0.3327189570128716,0.023801271583584988,0.023801271583584967,0.013662811249077932,0.0,0.47190136706443647,0.0,0.013662811249077932,0.013662811249077932,0.013662811249077957,0.013662811249077911,,0.027204997370057916,0.0,0.0,0.027325622498155903,0.0,0.013662811249077932,0.013662811249077929,,0.014263886954533796,0.013662811249077932,0.0,0.013662811249077932,0.013662811249077937,0.0
HOSbal,29,3.0276503540974917,0.013434078290703472,0.012262337533305218,0.05122671373031516,0.04538210463014781,0.01537636288064502,0.027142738482768252,0.014067686062638637,29.096773398819014,25.777035429923973,25.77703542992397,29.09677339881902,0.0,0.0,0.024274284572121746,0.024072700393552207,0.04538210463014781,0.05122671373031516,0.016354953348555506,0.022847368145865975,0.2849413417418192,0.35282556132712645,0.05122671373031518,0.05122671373031516,0.014067686062638637,0.0,0.4858822761668354,0.0,0.014067686062638637,0.014067686062638637,0.014067686062638628,0.014067686062638638,,0.027142738482768252,0.0,0.0,0.028135372125277273,0.0,0.014067686062638637,0.014067686062638635,,0.013678535310626709,0.014067686062638637,0.0,0.01406768606263861,0.014067686062638623,0.0
HOSbal,30,3.0276503540974917,0.005494428971380192,0.007041047106253027,0.039465253410040146,0.054258178081193584,0.007520415275772669,0.017814432235819414,0.008376306739994744,22.416263936902798,30.81864515011796,30.818645150117955,22.416263936902798,0.0,0.0,0.00977246977120896,0.02622451800873731,0.054258178081193584,0.039465253410040146,0.02218421558178001,0.008720571044995695,0.09434632351310195,0.276380318958777,0.03946525341004014,0.039465253410040146,0.008376306739994744,0.0,0.2893272781133357,0.0,0.008376306739994744,0.008376306739994744,0.008376306739994762,0.00837630673999481,,0.017814432235819414,0.0,0.0,0.016752613479989534,0.0,0.008376306739994744,0.008376306739994744,,0.010406027262331866,0.008376306739994744,0.0,0.00837630673999474,0.008376306739994756,0.0
