id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,pr_curve,accuracy,imb_spec_micro,log_loss,confusion_matrix,bal_report,y,fbeta_score,f1_score,hinge_loss,imb_spec,matthews_corrcoef,hamming_loss,imb_sens_spec_supp_micro,roc_curve,cohen_kappa_score,imb_report_0.3,X,imb_sens_spec_supp,rec_score,prec_score,priors,roc_auc_score,avg_prec_score,zero_one_loss,imb_report_0.1,imb_sens_micro,imb_sens
CVS,0,2,0.6640282131661441,0.7573493060941772,0.9195402298850575,0.15,0.3713906763541037,0.10941281384943151,0.6214788732394366,320,33,187,28,220,348,0.5409836065573771,0.631163708086785,0.15,0.9195402298850575,0.23487544483985764,0.7485380116959065,1.8642857142857139,1.0818120351588911,0.08045977011494254,0.9195402298850575,,0.6214788732394366,0.6214788732394366,13.073919805678246,"[[ 33 187]
 [ 28 320]]","              precision    recall  f1-score   support

           0       0.54      0.15      0.23       220
           1       0.63      0.92      0.75       348

    accuracy                           0.62       568
   macro avg       0.59      0.53      0.49       568
weighted avg       0.60      0.62      0.55       568
",[0 0 1 ... 0 0 0],0.6214788732394366,0.6214788732394366,,[0.91954023 0.15      ],0.10941281384943151,0.3785211267605634,"(0.6214788732394366, 0.6214788732394366, None)","(array([0.  , 0.85, 1.  ]), array([0.        , 0.91954023, 1.        ]), array([2, 1, 0]))",0.08020004820438653,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.54      0.15      0.92      0.23      0.37      0.11       220
          1       0.63      0.92      0.15      0.75      0.37      0.17       348

avg / total       0.60      0.62      0.45      0.55      0.37      0.15       568
","[[ 1.36655583 -0.12948977  0.1083137  -0.47408129  0.96538168  0.17826003]
 [ 1.14297201 -0.47007213 -0.24828559 -0.40625327 -0.42335627  0.66745543]
 [-0.22937007 -0.21706809 -0.22281422 -0.56128874 -0.86366313 -0.17640663]
 ...
 [ 1.17417404 -0.27494473 -0.09532412 -0.44983166 -0.23793428  0.14067494]
 [ 0.76552503 -0.1415027  -0.09545733 -0.52299346 -0.87594052 -0.72833417]
 [-0.54290188 -0.25923438 -0.19734402 -0.29320642 -0.16356017 -0.56367971]]","(array([0.15      , 0.91954023]), array([0.91954023, 0.15      ]), array([220, 348], dtype=int32))",0.6214788732394366,0.6214788732394366,,0.5347701149425287,0.629676195877115,0.3785211267605634,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.54      0.15      0.92      0.23      0.37      0.13       220
          1       0.63      0.92      0.15      0.75      0.37      0.15       348

avg / total       0.60      0.62      0.45      0.55      0.37      0.14       568
",0.6214788732394366,[0.15       0.91954023]
CVSbal,0,2,0.659504132231405,0.6643017767235846,0.9181818181818182,0.15,0.3711162523081854,0.10649552781421219,0.5340909090909091,202,33,187,18,220,220,0.6470588235294118,0.519280205655527,0.15,0.9181818181818182,0.24354243542435422,0.6633825944170771,1.833333333333334,1.0802139037433156,0.08181818181818179,0.9181818181818182,,0.5340909090909091,0.5340909090909091,16.092269740173037,"[[ 33 187]
 [ 18 202]]","              precision    recall  f1-score   support

           0       0.65      0.15      0.24       220
           1       0.52      0.92      0.66       220

    accuracy                           0.53       440
   macro avg       0.58      0.53      0.45       440
weighted avg       0.58      0.53      0.45       440
",[0 0 1 ... 0 0 0],0.5340909090909091,0.5340909090909091,,[0.91818182 0.15      ],0.10649552781421219,0.4659090909090909,"(0.5340909090909091, 0.5340909090909091, None)","(array([0.  , 0.85, 1.  ]), array([0.        , 0.91818182, 1.        ]), array([2, 1, 0]))",0.06818181818181823,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.65      0.15      0.92      0.24      0.37      0.11       220
          1       0.52      0.92      0.15      0.66      0.37      0.17       220

avg / total       0.58      0.53      0.53      0.45      0.37      0.14       440
","[[ 1.36655583 -0.12948977  0.1083137  -0.47408129  0.96538168  0.17826003]
 [ 1.14297201 -0.47007213 -0.24828559 -0.40625327 -0.42335627  0.66745543]
 [-0.22937007 -0.21706809 -0.22281422 -0.56128874 -0.86366313 -0.17640663]
 ...
 [ 1.17417404 -0.27494473 -0.09532412 -0.44983166 -0.23793428  0.14067494]
 [ 0.76552503 -0.1415027  -0.09545733 -0.52299346 -0.87594052 -0.72833417]
 [-0.54290188 -0.25923438 -0.19734402 -0.29320642 -0.16356017 -0.56367971]]","(array([0.15      , 0.91818182]), array([0.91818182, 0.15      ]), array([220, 220], dtype=int32))",0.5340909090909091,0.5340909090909091,,0.5340909090909092,0.5177027342837112,0.46590909090909094,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.65      0.15      0.92      0.24      0.37      0.13       220
          1       0.52      0.92      0.15      0.66      0.37      0.15       220

avg / total       0.58      0.53      0.53      0.45      0.37      0.14       440
",0.5340909090909091,[0.15       0.91818182]
