id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,max_iter,imb_spec_micro,cohen_kappa_score,accuracy,fbeta_score,roc_auc_score,f1_score,learning_rate_init,prec_score,imb_sens_micro,warm_start,power_t,alpha,hinge_loss,zero_one_loss,hamming_loss,tol,rec_score,log_loss,pr_curve,avg_prec_score,matthews_corrcoef,momentum
HOSbal,15,3.0276503540974917,0.007875991575673872,0.012607808945251075,0.021447101877240884,0.024485970515775984,0.008771257104170522,0.018465269436080668,0.008971870447261525,12.181953866272847,13.908031252960761,13.908031252960765,12.181953866272867,0.0,0.0,0.010616518897085288,0.01633365415069363,0.024485970515775984,0.021447101877240884,0.010929934787399415,0.010277668015808369,0.12392884664720859,0.25932702292637305,0.021447101877240905,0.021447101877240884,0.0,0.008971870447261525,0.017943740894523063,0.008971870447261525,0.008971870447261525,0.00897187044726149,0.008971870447261528,0.0,0.008971870447261525,0.008971870447261525,0.0,0.0,0.0,,0.008971870447261549,0.008971870447261533,0.0,0.008971870447261525,0.3098825692957908,,0.009746161191111375,0.018465269436080668,0.0
HOSbal,16,3.0276503540974917,0.007873596483855686,0.007876068466711196,0.024307395556063788,0.016931539391420936,0.01225018205337364,0.02335403937520024,0.011881447920620928,13.806600675844226,9.617114374327112,9.617114374327098,13.806600675844226,0.0,0.0,0.015594238849774502,0.01294593719095269,0.016931539391420936,0.024307395556063788,0.01066930055181484,0.014680293633980716,0.22669868669109428,0.2547146298791598,0.024307395556063774,0.024307395556063788,0.0,0.011881447920620928,0.023762895841241846,0.011881447920620928,0.011881447920620923,0.011881447920620906,0.011881447920620928,0.0,0.011881447920620928,0.011881447920620928,0.0,0.0,0.0,,0.011881447920620937,0.01188144792062093,0.0,0.011881447920620928,0.41037286444178583,,0.011753471247864326,0.02335403937520024,0.0
HOSbal,17,3.0276503540974917,0.012106174089918412,0.014032973190768681,0.02608698447287892,0.017437578189316048,0.012723530029611197,0.023884901458667233,0.012193657961178052,14.817407180595254,9.904544411531507,9.904544411531509,14.817407180595243,0.0,0.0,0.015624938291650091,0.012669099673264793,0.017437578189316048,0.02608698447287892,0.010723181938296395,0.015859783345901324,0.18605748766075844,0.19340811040788947,0.02608698447287894,0.02608698447287892,0.0,0.012193657961178052,0.024387315922356077,0.012193657961178052,0.012193657961178052,0.012193657961178049,0.012193657961178078,0.0,0.012193657961178052,0.012193657961178052,0.0,0.0,0.0,,0.012193657961178016,0.012193657961178021,0.0,0.012193657961178052,0.4211558150174715,,0.011307913961564017,0.023884901458667233,0.0
HOSbal,18,3.0276503540974917,0.005364869436667375,0.0074319174651718166,0.0183948685664994,0.03745768403106323,0.011279892597417907,0.02386411985247176,0.011687468466346482,10.448285345771659,21.275964529643925,21.275964529643932,10.448285345771653,0.0,0.0,0.006120327581014331,0.021881806004578386,0.03745768403106323,0.0183948685664994,0.01902476054448858,0.006571226701107439,0.06004515489468611,0.23454880124977645,0.018394868566499394,0.0183948685664994,0.0,0.011687468466346482,0.02337493693269299,0.011687468466346482,0.011687468466346504,0.011687468466346503,0.011687468466346482,0.0,0.011687468466346482,0.011687468466346482,0.0,0.0,0.0,,0.011687468466346496,0.011687468466346489,0.0,0.011687468466346482,0.40368463789133485,,0.012086598573523122,0.02386411985247176,0.0
HOSbal,19,3.0276503540974917,0.007116032017610026,0.007652885378756808,0.01873251938490057,0.01394196255906018,0.010840497788323019,0.021238165032906188,0.010695009958103035,10.640071010623526,7.919034733546204,7.919034733546201,10.640071010623522,0.0,0.0,0.012899976878784693,0.011247698254151006,0.01394196255906018,0.01873251938490057,0.010032366205987143,0.012390494338691774,0.18358543644469716,0.1888047473935378,0.018732519384900576,0.01873251938490057,0.0,0.010695009958103035,0.021390019916206107,0.010695009958103035,0.010695009958103035,0.010695009958103057,0.010695009958103045,0.0,0.010695009958103035,0.010695009958103035,0.0,0.0,0.0,,0.010695009958103048,0.010695009958103064,0.0,0.010695009958103035,0.36939537053328403,,0.010477909874736926,0.021238165032906188,0.0
HOSbal,20,3.0276503540974917,0.00237713150801972,0.004138909910036458,0.011142510296976264,0.014519163615820901,0.0034998023478656276,0.007932100363212197,0.0037301053009555695,6.328945848682505,8.246884933786276,8.246884933786282,6.328945848682509,0.0,0.0,0.005560839217176313,0.010164718944724514,0.014519163615820901,0.011142510296976264,0.005363831948661268,0.003570322548286449,0.09886494686300475,0.24072499028372865,0.01114251029697626,0.011142510296976264,0.0,0.0037301053009555695,0.007460210601911124,0.0037301053009555695,0.0037301053009555695,0.0037301053009556003,0.003730105300955598,0.0,0.0037301053009555695,0.0037301053009555695,0.0,0.0,0.0,,0.0037301053009555674,0.003730105300955563,0.0,0.0037301053009555695,0.1288370861220273,,0.005419240839012181,0.007932100363212197,0.0
HOSbal,21,3.0276503540974917,0.011314252516738121,0.010660302332214638,0.023357249860156467,0.022680235620275744,0.014340147966065383,0.028977750260180398,0.014412325927515068,13.26691792056886,12.8823738323166,12.882373832316604,13.266917920568856,0.0,0.0,0.016264101542628053,0.017331969530598644,0.022680235620275744,0.023357249860156467,0.014706253096144397,0.015641744449086524,0.21027091032224968,0.2542379239532705,0.02335724986015646,0.023357249860156467,0.0,0.014412325927515068,0.028824651855030074,0.014412325927515068,0.014412325927515061,0.014412325927515065,0.014412325927515084,0.0,0.014412325927515068,0.014412325927515068,0.0,0.0,0.0,,0.014412325927515067,0.014412325927515046,0.0,0.014412325927515068,0.49778964847135554,,0.01413843431037368,0.028977750260180398,0.0
HOSbal,22,3.0276503540974917,0.00918535883762629,0.009529339635190256,0.018205734992480068,0.012564717080819389,0.012404145106735617,0.024315751377588016,0.012246852555580522,10.340857475728658,7.136759301905412,7.136759301905404,10.340857475728662,0.0,0.0,0.01382537976680452,0.012031586178085314,0.012564717080819389,0.018205734992480068,0.011324205598872558,0.013718468443236202,0.20792432618157683,0.22277160103187563,0.018205734992480065,0.018205734992480068,0.0,0.012246852555580522,0.02449370511116104,0.012246852555580522,0.012246852555580513,0.012246852555580529,0.012246852555580506,0.0,0.012246852555580522,0.012246852555580522,0.0,0.0,0.0,,0.012246852555580525,0.012246852555580518,0.0,0.012246852555580522,0.4229947816467027,,0.01223252659863519,0.024315751377588016,0.0
HOSbal,23,3.0276503540974917,0.008518605466466272,0.013829525603665285,0.023783177533757794,0.01768760261088199,0.011678449006635573,0.0223475519630883,0.011332522793673954,13.508844839174404,10.04655828298096,10.046558282980953,13.508844839174397,0.0,0.0,0.014476299514207348,0.01265607303192246,0.01768760261088199,0.023783177533757794,0.010478629605953664,0.014239360798459062,0.1803941123843781,0.1966212033349794,0.023783177533757777,0.023783177533757794,0.0,0.011332522793673954,0.022665045587347894,0.011332522793673954,0.011332522793674006,0.011332522793673954,0.011332522793673966,0.0,0.011332522793673954,0.011332522793673954,0.0,0.0,0.0,,0.011332522793673938,0.011332522793673935,0.0,0.011332522793673954,0.39141377202451805,,0.010754158596181193,0.0223475519630883,0.0
HOSbal,24,3.0276503540974917,0.006238573208402294,0.0105996022549578,0.044144954108750405,0.059187989122643066,0.009230587801574841,0.022481600209864012,0.010309698410070955,25.07433393377024,33.61877782166124,33.618777821661254,25.074333933770244,0.0,0.0,0.010889631972968512,0.031074567174533843,0.059187989122643066,0.044144954108750405,0.023664750166414613,0.012416725979697845,0.10009764910034886,0.3477385438595125,0.04414495410875043,0.044144954108750405,0.0,0.010309698410070955,0.02061939682014186,0.010309698410070955,0.01030969841007092,0.010309698410070917,0.010309698410070955,0.0,0.010309698410070955,0.010309698410070955,0.0,0.0,0.0,,0.01030969841007095,0.010309698410070917,0.0,0.010309698410070955,0.35610356003464777,,0.01226773670048667,0.022481600209864012,0.0
