id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,zero_one_loss,imb_spec,hamming_loss,rec_score,accuracy,imb_report_0.3,fbeta_score,imb_sens,roc_auc_score,f1_score,imb_spec_micro,cohen_kappa_score,priors,roc_curve,log_loss,hinge_loss,prec_score,X,y,confusion_matrix,imb_sens_spec_supp_micro,pr_curve,imb_report_0.1,avg_prec_score,imb_sens_micro,imb_sens_spec_supp,matthews_corrcoef,bal_report
CVS,0,2,0.7320467309967835,0.5609596859574565,0.8305084745762712,0.5309734513274337,0.6640617073001913,0.34930331650684204,0.6337209302325582,147,180,159,30,339,177,0.8571428571428571,0.4803921568627451,0.5309734513274337,0.8305084745762712,0.6557377049180328,0.6086956521739131,3.132743362831859,1.770706747681484,0.1694915254237288,0.8305084745762712,0.36627906976744184,[0.83050847 0.53097345],0.36627906976744184,0.6337209302325582,0.6337209302325582,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.86      0.53      0.83      0.66      0.66      0.40       339
          1       0.48      0.83      0.53      0.61      0.66      0.48       177

avg / total       0.73      0.63      0.73      0.64      0.66      0.43       516
",0.6337209302325582,[0.53097345 0.83050847],0.6807409629518524,0.6337209302325582,0.6337209302325582,0.3078691875319366,,"(array([0.        , 0.46902655, 1.        ]), array([0.        , 0.83050847, 1.        ]), array([2, 1, 0]))",12.651077276413798,,0.6337209302325582,"[[-0.97617834 -0.70867215 -0.33049123 ...  0.50215253 -0.4873796
  -0.80690573]
 [-1.65467396  0.13455016 -0.46726504 ... -0.21575107 -0.27117887
  -0.33296901]
 [-0.29768271 -0.70133978 -0.46726504 ...  0.5819196  -0.77114307
  -0.63137361]
 ...
 [ 1.05719686 -0.60595053  0.04256257 ...  0.42114417 -0.6096654
   0.19056802]
 [ 2.7386445   0.79901717  4.52856568 ... -0.56874125  0.2466505
   0.11251276]
 [ 1.04132774 -0.30927821 -0.03420463 ... -0.05621693 -0.61843451
  -0.14071944]]",[0 1 1 ... 1 1 1],"[[180 159]
 [ 30 147]]","(0.6337209302325582, 0.6337209302325582, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.86      0.53      0.83      0.66      0.66      0.43       339
          1       0.48      0.83      0.53      0.61      0.66      0.45       177

avg / total       0.73      0.63      0.73      0.64      0.66      0.44       516
",0.4571092922782042,0.6337209302325582,"(array([0.53097345, 0.83050847]), array([0.83050847, 0.53097345]), array([339, 177]))",0.34930331650684204,"              precision    recall  f1-score   support

           0       0.86      0.53      0.66       339
           1       0.48      0.83      0.61       177

    accuracy                           0.63       516
   macro avg       0.67      0.68      0.63       516
weighted avg       0.73      0.63      0.64       516
"
CVSbal,0,2,0.7256854671390724,0.6929460034282263,0.8305084745762712,0.5254237288135594,0.6605822125391552,0.3737506905866115,0.6779661016949152,147,93,84,30,177,177,0.7560975609756098,0.6363636363636364,0.5254237288135594,0.8305084745762712,0.62,0.7205882352941178,3.1000000000000005,1.7500000000000002,0.1694915254237288,0.8305084745762712,0.3220338983050848,[0.83050847 0.52542373],0.3220338983050847,0.6779661016949152,0.6779661016949152,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.76      0.53      0.83      0.62      0.66      0.40       177
          1       0.64      0.83      0.53      0.72      0.66      0.48       177

avg / total       0.70      0.68      0.68      0.67      0.66      0.44       354
",0.6779661016949153,[0.52542373 0.83050847],0.6779661016949152,0.6779661016949152,0.6779661016949152,0.35593220338983056,,"(array([0.        , 0.47457627, 1.        ]), array([0.        , 0.83050847, 1.        ]), array([2, 1, 0]))",11.122846540124163,,0.6779661016949152,"[[-0.97617834 -0.70867215 -0.33049123 ...  0.50215253 -0.4873796
  -0.80690573]
 [-1.65467396  0.13455016 -0.46726504 ... -0.21575107 -0.27117887
  -0.33296901]
 [-0.29768271 -0.70133978 -0.46726504 ...  0.5819196  -0.77114307
  -0.63137361]
 ...
 [ 1.05719686 -0.60595053  0.04256257 ...  0.42114417 -0.6096654
   0.19056802]
 [ 2.7386445   0.79901717  4.52856568 ... -0.56874125  0.2466505
   0.11251276]
 [ 1.04132774 -0.30927821 -0.03420463 ... -0.05621693 -0.61843451
  -0.14071944]]",[0 1 1 ... 1 1 1],"[[ 93  84]
 [ 30 147]]","(0.6779661016949152, 0.6779661016949152, None)",,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.76      0.53      0.83      0.62      0.66      0.42       177
          1       0.64      0.83      0.53      0.72      0.66      0.45       177

avg / total       0.70      0.68      0.68      0.67      0.66      0.44       354
",0.613251155624037,0.6779661016949152,"(array([0.52542373, 0.83050847]), array([0.83050847, 0.52542373]), array([177, 177]))",0.3737506905866115,"              precision    recall  f1-score   support

           0       0.76      0.53      0.62       177
           1       0.64      0.83      0.72       177

    accuracy                           0.68       354
   macro avg       0.70      0.68      0.67       354
weighted avg       0.70      0.68      0.67       354
"
