id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens_micro,cohen_kappa_score,avg_prec_score,imb_spec_micro,hamming_loss,C,max_iter,log_loss,gamma,rec_score,accuracy,roc_auc_score,f1_score,zero_one_loss,prec_score,probability,matthews_corrcoef,fbeta_score
HOS,0,4.5,0.7163035417024013,0.5357165494898865,0.6909647779479327,0.6341659951651895,0.661829301380745,0.3094694153354704,0.6537486800422385,451.2,787.0,454.0,201.8,1241.0,653.0,0.7960074277006116,0.49855546787958066,0.6341659951651895,0.6909647779479327,0.7058241860631622,0.5790962467499929,2.0543544727501897,1.88978683529845,0.30903522205206746,0.6909647779479327,0.6537486800422385,0.29788986721328037,0.450985967942174,0.6537486800422385,0.34625131995776137,0.09999999999999999,-1.0,11.959288583429638,0.09999999999999999,0.6537486800422385,0.6537486800422385,0.662565386556561,0.6537486800422385,0.34625131995776137,0.6537486800422385,True,0.3094694153354704,0.6537486800422385
HOS,1,4.5,0.7312008174013694,0.568728906766054,0.7540581929555896,0.5985495568090251,0.6717701940168459,0.3355835363922604,0.6521647307286167,492.4,742.8,498.2,160.6,1241.0,653.0,0.8222805917315258,0.4971008335589239,0.5985495568090251,0.7540581929555896,0.6927536331009094,0.5991600939837587,2.4364437942644552,1.878732982860671,0.24594180704441043,0.7540581929555896,0.6521647307286167,0.3141358443850248,0.45963439508743376,0.6521647307286167,0.34783526927138336,0.09999999999999999,-1.0,12.014014914681564,1.0,0.6521647307286167,0.6521647307286167,0.6763038748823074,0.6521647307286167,0.34783526927138336,0.6521647307286167,True,0.3355835363922604,0.6521647307286167
HOS,2,4.5,0.6950992320820166,0.5197896172955458,0.6209800918836141,0.6705076551168412,0.6446723966059433,0.280288214920033,0.6534318901795142,405.5,832.1,408.9,247.5,1241.0,653.0,0.7710469335158411,0.49848623176852536,0.6705076551168412,0.6209800918836141,0.7168498281039988,0.5524834313044876,1.7738594291194265,1.8902575504463435,0.379019908116386,0.6209800918836141,0.6534318901795142,0.2754309392625295,0.4399777627528966,0.6534318901795142,0.3465681098204858,0.09999999999999999,-1.0,11.970211077618046,0.009999999999999998,0.6534318901795142,0.6534318901795142,0.6457438735002275,0.6534318901795142,0.3465681098204858,0.6534318901795142,True,0.280288214920033,0.6534318901795143
HOS,3,4.5,0.7336373497142674,0.5682377074157828,0.7257274119448699,0.6416599516518937,0.6823704708374564,0.34942227884267985,0.6706441393875396,473.9,796.3,444.7,179.1,1241.0,653.0,0.8163971512450541,0.5159385963266744,0.6416599516518937,0.7257274119448699,0.7185295185565177,0.6030833188474554,2.340866742566691,2.0260300142912566,0.2742725880551302,0.7257274119448699,0.6706441393875396,0.3351113974762444,0.4689948667868151,0.6706441393875396,0.3293558606124604,1.0,-1.0,11.375736164795402,0.09999999999999999,0.6706441393875396,0.6706441393875396,0.6836936817983817,0.6706441393875396,0.32935586061246036,0.6706441393875396,True,0.34942227884267985,0.6706441393875396
HOS,4,4.5,0.7643761576459236,0.6224225228912791,0.6860643185298623,0.7216760676873488,0.7035812627934038,0.39286612090725875,0.7093980992608235,448.0,895.6,345.4,205.0,1241.0,653.0,0.8137819327294251,0.5647558498811038,0.7216760676873488,0.6860643185298623,0.7649180391035199,0.6194540765257853,2.301009804615304,2.466864940496528,0.31393568147013784,0.6860643185298623,0.7093980992608235,0.3879885459890889,0.4956779065236875,0.7093980992608235,0.29060190073917636,1.0,-1.0,10.037179888443097,1.0,0.7093980992608235,0.7093980992608235,0.7038701931086055,0.7093980992608235,0.29060190073917636,0.7093980992608235,True,0.39286612090725875,0.7093980992608235
HOS,5,4.5,0.707862737282708,0.5278871731726404,0.6592649310872893,0.6460112812248187,0.6524759333843315,0.2912664052604631,0.6505807814149948,430.5,801.7,439.3,222.5,1241.0,653.0,0.7828213014185676,0.49507942598252175,0.6460112812248187,0.6592649310872893,0.7077629636164303,0.5653836700646808,1.8972074778020143,1.8638374939737026,0.34073506891271055,0.6592649310872893,0.6505807814149948,0.28304453013248515,0.4438116665054926,0.6505807814149948,0.34941921858500524,1.0,-1.0,12.068697719800939,0.009999999999999998,0.6505807814149948,0.6505807814149948,0.652638106156054,0.6505807814149948,0.34941921858500524,0.6505807814149948,True,0.2912664052604631,0.6505807814149948
HOS,6,4.5,0.6899443219357012,0.5053077446746967,0.6522205206738131,0.636986301369863,0.6442631194534473,0.27588096011644875,0.6422386483632525,425.9,790.5,450.5,227.1,1241.0,653.0,0.7770258082717294,0.48614526960238125,0.636986301369863,0.6522205206738131,0.6998519074971049,0.556838660966565,1.8352025833936163,1.7982639556945892,0.3477794793261869,0.6522205206738131,0.6422386483632525,0.267531177363161,0.43688925250594624,0.6422386483632525,0.3577613516367476,0.009999999999999998,-1.0,12.356829516279717,0.09999999999999999,0.6422386483632525,0.6422386483632525,0.6446034110218382,0.6422386483632525,0.3577613516367476,0.6422386483632525,True,0.27588096011644875,0.6422386483632525
HOS,7,4.5,0.6846159731382955,0.517512177811574,0.7594180704441043,0.5034649476228847,0.618026760915666,0.2539056661654836,0.5917106652587117,495.9,624.8,616.2,157.1,1241.0,653.0,0.7990045438512224,0.4462421071952699,0.5034649476228847,0.7594180704441043,0.617361345641664,0.5619988250244479,2.0929669612324338,1.5326085070814164,0.24058192955589588,0.7594180704441043,0.5917106652587117,0.22553932056453824,0.4217491953181418,0.5917106652587117,0.40828933474128826,0.009999999999999998,-1.0,14.102074180634066,1.0,0.5917106652587117,0.5917106652587117,0.6314415090334945,0.5917106652587117,0.40828933474128826,0.5917106652587117,True,0.2539056661654836,0.5917106652587117
HOS,8,4.5,0.688098258456291,0.5140189880529084,0.8321592649310873,0.4359387590652699,0.5977231365002128,0.27070868533915954,0.572544878563886,543.4,541.0,700.0,109.6,1241.0,653.0,0.8348934367470511,0.4390713898501022,0.4359387590652699,0.8321592649310873,0.5675172548080548,0.5733216920009371,2.7010827971785987,1.491784756612741,0.1678407350689127,0.8321592649310873,0.572544878563886,0.2220091466879613,0.42230528138362267,0.572544878563886,0.427455121436114,0.009999999999999998,-1.0,14.764072379894838,0.009999999999999998,0.572544878563886,0.572544878563886,0.6340490119981786,0.572544878563886,0.427455121436114,0.572544878563886,True,0.27070868533915954,0.572544878563886
HOSbal,0,4.5,0.7135300849653736,0.67685884580889,0.6909647779479327,0.6315467075038285,0.6604568193912201,0.32319673365614016,0.6612557427258805,451.2,412.4,240.6,201.8,653.0,653.0,0.6715833644018104,0.652300844566847,0.6315467075038285,0.6909647779479327,0.6508229275768659,0.6709724546035194,2.0458354568297374,1.8764915857063158,0.30903522205206746,0.6909647779479327,0.6612557427258805,0.3225114854517611,0.605192398370949,0.6612557427258805,0.3387442572741194,0.09999999999999999,-1.0,11.699959464203822,0.09999999999999999,0.6612557427258805,0.6612557427258805,0.6612557427258805,0.6612557427258805,0.3387442572741194,0.6612557427258805,True,0.32319673365614016,0.6612557427258805
