id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,imb_sens_micro,cohen_kappa_score,avg_prec_score,imb_spec_micro,hamming_loss,C,max_iter,log_loss,gamma,rec_score,accuracy,roc_auc_score,f1_score,hinge_loss,zero_one_loss,prec_score,probability,pr_curve,matthews_corrcoef,fbeta_score
HOS,0,3.0276503540974917,0.0012766088539797483,0.003811888765714901,0.014362116881500396,0.013354609610159586,0.0021653615562228002,0.004203969732129845,0.004323877547082566,9.378462323619773,16.573070526208074,16.573070526208067,9.378462323619772,0.0,0.0,0.004424896294583438,0.004513742017595883,0.013354609610159586,0.014362116881500396,0.00684546588910067,0.0033038669927658703,0.05602653873946213,0.03417860194752416,0.014362116881500405,0.014362116881500396,0.004323877547082566,0.0044104413769314905,0.001964719030619489,0.004323877547082566,0.00432387754708256,0.0,0.0,0.14934798104187172,0.0,0.004323877547082566,0.004323877547082566,0.002230501426352892,0.004323877547082566,,0.004323877547082566,0.004323877547082566,0.0,,0.004203969732129845,0.004323877547082566
HOS,1,3.0276503540974917,0.0013922270118155928,0.005582480012835773,0.010214393824016984,0.00838102712791032,0.0035646673118358233,0.00696602012256203,0.0038942109640096524,6.669999167083071,10.400854665736736,10.400854665736741,6.669999167083074,0.0,0.0,0.004768965686687446,0.003711067854063982,0.00838102712791032,0.010214393824016984,0.005049099004088123,0.004056956544090027,0.07663008458447418,0.027932600563977415,0.010214393824016982,0.010214393824016984,0.0038942109640096524,0.006493575111120035,0.003078483935515208,0.0038942109640096524,0.003894210964009663,0.0,0.0,0.1345046613941437,0.0,0.0038942109640096524,0.0038942109640096524,0.003650836357597745,0.0038942109640096524,,0.0038942109640096386,0.0038942109640096524,0.0,,0.00696602012256203,0.0038942109640096524
HOS,2,3.0276503540974917,0.0017277957676004388,0.0027682629348119697,0.02995039389832765,0.028604260484347426,0.002684534434173455,0.004185588332246533,0.008654915611326523,19.55760721560795,35.497887261075135,35.49788726107513,19.557607215607945,0.0,0.0,0.006733548730403003,0.009711966251856248,0.028604260484347426,0.02995039389832765,0.013816138737225645,0.006304933640385656,0.06840639760046846,0.0729202464024368,0.029950393898327647,0.02995039389832765,0.008654915611326523,0.005657869572988574,0.0022945869575325445,0.008654915611326523,0.008654915611326508,0.0,0.0,0.2989449562087456,0.0,0.008654915611326523,0.008654915611326523,0.0022277455941603144,0.008654915611326523,,0.008654915611326516,0.008654915611326523,0.0,,0.004185588332246533,0.008654915611326523
HOS,3,3.0276503540974917,0.0012884253472265593,0.0029386621571917616,0.007756709565586685,0.008209253179172898,0.0044059324443455825,0.008319721780610264,0.004939143274526163,5.065131346328112,10.18768319535355,10.187683195353546,5.065131346328103,0.0,0.0,0.003863136622465412,0.005255014802073143,0.008209253179172898,0.007756709565586685,0.005425450564315996,0.004615490918211351,0.06068980103676636,0.042831936668446445,0.007756709565586682,0.007756709565586685,0.004939143274526163,0.008434952084868042,0.004126246420899475,0.004939143274526163,0.00493914327452618,0.0,0.0,0.1705957028739593,0.0,0.004939143274526163,0.004939143274526163,0.004353523351941037,0.004939143274526163,,0.00493914327452616,0.004939143274526163,0.0,,0.008319721780610264,0.004939143274526163
HOS,4,3.0276503540974917,0.003201742992077317,0.005807253662645681,0.011751775837898265,0.010008391059617868,0.0045823384630154645,0.008627909266377385,0.004891250475931841,7.673909622147563,12.420413304985738,12.42041330498573,7.673909622147558,0.0,0.0,0.004555295567743985,0.006647287539212178,0.010008391059617868,0.011751775837898265,0.005261932063953331,0.0054484879726860065,0.06999686640742117,0.06569607144068206,0.011751775837898245,0.011751775837898265,0.004891250475931841,0.008709209030050312,0.0046911531154432045,0.004891250475931841,0.004891250475931857,0.0,0.0,0.1689419352715488,0.0,0.004891250475931841,0.004891250475931841,0.004503965972439498,0.004891250475931854,,0.004891250475931856,0.004891250475931841,0.0,,0.008627909266377385,0.004891250475931856
HOS,5,3.0276503540974917,0.0013217644296791486,0.002811129015915152,0.013394223341911092,0.01433456705960043,0.002478776194449857,0.004930172872980102,0.005302076800842837,8.746427842267952,17.789197720964143,17.789197720964136,8.74642784226795,0.0,0.0,0.0034535991652820145,0.005618769431002102,0.01433456705960043,0.013394223341911092,0.007657973008341741,0.0030254705978423925,0.039075113257337236,0.04183493662996943,0.013394223341911097,0.013394223341911092,0.005302076800842837,0.0057209270826629344,0.002464368657176515,0.005302076800842837,0.005302076800842815,0.0,0.0,0.18313440872767958,0.0,0.005302076800842837,0.005302076800842837,0.002470830946220274,0.005302076800842837,,0.0053020768008428315,0.005302076800842837,0.0,,0.004930172872980102,0.005302076800842851
HOS,6,3.0276503540974917,0.001867813124538123,0.0035446274161453177,0.022162039327877248,0.019073479074560477,0.0018341998311586106,0.0032247205159256806,0.005003938034490932,14.471811681103834,23.670187531529567,23.670187531529567,14.471811681103832,0.0,0.0,0.005969491585599344,0.004769520385728694,0.019073479074560477,0.022162039327877248,0.00923296963176194,0.005207874657595184,0.06343024789098971,0.03426537257932086,0.02216203932787723,0.022162039327877248,0.005003938034490932,0.002479298703115878,0.0010711277514450976,0.005003938034490932,0.00500393803449093,0.0,0.0,0.17283971163833567,0.0,0.005003938034490932,0.005003938034490932,0.00199818285463901,0.005003938034490932,,0.005003938034490933,0.005003938034490932,0.0,,0.0032247205159256806,0.005003938034490938
HOS,7,3.0276503540974917,0.0012414116298720195,0.0033652977846598494,0.011605632923927365,0.026953370018288392,0.01268719561612078,0.015929111250349338,0.014429499087576878,7.578478299324561,33.449132192695885,33.449132192695885,7.578478299324566,0.0,0.0,0.00461810205687609,0.010574968369074558,0.026953370018288392,0.011605632923927365,0.020797628802742444,0.006358253175811906,0.06011806712367768,0.0661081017082672,0.011605632923927354,0.011605632923927365,0.014429499087576878,0.018246574372841672,0.00715455191880543,0.014429499087576878,0.01442949908757687,0.0,0.0,0.4983912094874017,0.0,0.014429499087576878,0.014429499087576878,0.00910113787595006,0.014429499087576878,,0.014429499087576866,0.014429499087576878,0.0,,0.015929111250349338,0.014429499087576878
HOS,8,3.0276503540974917,0.0016877713993538586,0.0024318985425115067,0.05708627712223853,0.08378960884596397,0.0398714620569392,0.024685847197066277,0.03687760306365519,37.27733896082176,103.98290457784128,103.98290457784128,37.27733896082176,0.0,0.0,0.020528342718943406,0.020921926314101367,0.08378960884596397,0.05708627712223853,0.06888230859447031,0.010134981568922476,0.3621412374651486,0.12471187227999976,0.057086277122238537,0.05708627712223853,0.03687760306365519,0.036056584048673665,0.01324746515914737,0.03687760306365519,0.03687760306365517,0.0,0.0,1.2737505072665702,0.0,0.03687760306365519,0.03687760306365519,0.017622972076169717,0.03687760306365519,,0.03687760306365516,0.03687760306365519,0.0,,0.024685847197066277,0.03687760306365519
HOSbal,0,3.0276503540974917,0.0012792010813889607,0.0025703224375895487,0.014362116881500396,0.013889888805730992,0.0026648534120740732,0.005409622623254531,0.002657358873878629,9.378462323619773,9.070097390142326,9.07009739014233,9.378462323619772,0.0,0.0,0.0060167381573629185,0.004537841895630306,0.013889888805730992,0.014362116881500396,0.005461554323474337,0.005331565621290547,0.05597639557398367,0.03763566088297502,0.014362116881500405,0.014362116881500396,0.002657358873878629,0.005314717747757148,0.00217690313108939,0.002657358873878629,0.0026573588738785796,0.0,0.0,0.09178248471899071,0.0,0.002657358873878629,0.002657358873878629,0.0026573588738785727,0.002657358873878629,,0.002657358873878591,0.002657358873878629,0.0,,0.005409622623254531,0.002657358873878616
