id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,pr_curve,zero_one_loss,gamma,max_iter,avg_prec_score,hamming_loss,prec_score,cohen_kappa_score,roc_auc_score,log_loss,hinge_loss,matthews_corrcoef,f1_score,probability,rec_score,imb_spec_micro,accuracy,imb_sens_micro,C,fbeta_score
HOS,0,3.0276503540974917,0.0015279844230324682,0.0012767636023549812,0.008454115789086518,0.014190871391089625,0.004484974712090941,0.006689245180111778,0.0028784958460462756,9.629237883769504,8.216514535440865,8.216514535440869,9.629237883769528,0.0,0.0,0.0055991331146088025,0.005333940886164991,0.014190871391089625,0.008454115789086518,0.005185501519051073,0.003044393863504871,0.07632434981168704,0.10600424177599457,0.00845411578908651,0.008454115789086518,,0.0028784958460462765,0.0,0.0,0.0031349931030590934,0.0028784958460462908,0.0028784958460462756,0.00624032381611801,0.0040916713509909775,0.09941968889920705,,0.006689245180111778,0.0028784958460462834,0.0,0.0028784958460462756,0.0028784958460462756,0.0028784958460462756,0.0028784958460462756,0.0,0.0028784958460462413
HOS,1,3.0276503540974917,0.07109777047574352,0.025371350405493685,0.0004240964807196421,0.034349876546174545,0.04739969839925599,0.04065519491871689,0.011439359711437683,0.48304589153962857,19.888578520235065,19.888578520235072,0.48304589153964794,0.0,0.0,0.006132801043104253,0.008390821590248178,0.034349876546174545,0.0004240964807196421,0.05324092454476165,0.005770789899712359,,0.04595794732882021,0.000424096480719644,0.0004240964807196421,,0.01143935971143769,0.0,0.0,0.008380864437132981,0.011439359711437662,0.011439359711437683,0.041482022956086564,0.017070474276229736,0.3951107416797407,,0.04065519491871689,0.011439359711437684,0.0,0.011439359711437683,0.011439359711437683,0.011439359711437683,0.011439359711437683,0.0,0.011439359711437684
HOS,2,3.0276503540974917,0.0029976430277789726,0.0019036769375376738,0.009191397596700556,0.009600650852979144,0.003571464091190413,0.006811675060518356,0.004424854684056203,10.469001862641914,5.5587768438749166,5.558776843874918,10.469001862641921,0.0,0.0,0.00467964029982965,0.0038530421056720905,0.009600650852979144,0.009191397596700556,0.003955916727592222,0.005376336004123292,0.03720627039593354,0.057041579697937474,0.009191397596700554,0.009191397596700556,,0.004424854684056183,0.0,0.0,0.002325247155273961,0.004424854684056183,0.004424854684056203,0.006879888798940714,0.0035789592314604077,0.15282842639579136,,0.006811675060518356,0.004424854684056203,0.0,0.004424854684056203,0.004424854684056203,0.004424854684056203,0.004424854684056203,0.0,0.004424854684056185
HOS,3,3.0276503540974917,0.0023813499795462046,0.0017659125333632046,0.008733171385061,0.009852804541253405,0.004240430335609656,0.008801639737253448,0.004617609555496564,9.947082207584511,5.7047738293857355,5.70477382938574,9.947082207584518,0.0,0.0,0.0106974805248611,0.004200281054920028,0.009852804541253405,0.008733171385061,0.005517549406041338,0.004042419047743159,0.3476925906394439,0.213727274355041,0.008733171385061038,0.008733171385061,,0.004617609555496607,0.0,0.0,0.0032507799572258477,0.004617609555496627,0.004617609555496564,0.009126325491305824,0.004165100251172253,0.15948648224562947,,0.008801639737253448,0.004617609555496617,0.0,0.004617609555496564,0.004617609555496564,0.004617609555496564,0.004617609555496564,0.0,0.004617609555496564
HOS,4,3.0276503540974917,0.002057640338488764,0.001471600210220947,0.0020693789323574705,0.009218477329302515,0.006672726239197409,0.007291161664691638,0.0029322678288417033,2.3570226039551763,5.337498373666159,5.337498373666157,2.357022603955158,0.0,0.0,0.00831504885537199,0.0027616053324809662,0.009218477329302515,0.0020693789323574705,0.00834286070106195,0.0017354056457000826,13.898344118163685,0.028601531107622757,0.0020693789323574584,0.0020693789323574705,,0.0029322678288416946,0.0,0.0,0.002692646686501361,0.0029322678288416885,0.0029322678288417033,0.008745427000275788,0.004362367653915707,0.10127917458985962,,0.007291161664691638,0.0029322678288417215,0.0,0.0029322678288417033,0.0029322678288417033,0.0029322678288417033,0.0029322678288417033,0.0,0.0029322678288417033
HOS,5,3.0276503540974917,0.0015264762699941541,0.0008475275638213773,0.0070535168708189605,0.016063104695801633,0.005244569449037091,0.01037790724723382,0.0033851499398625117,8.033955715862788,9.30053761886914,9.300537618869138,8.033955715862787,0.0,0.0,0.00360145520696768,0.007646420952480286,0.016063104695801633,0.0070535168708189605,0.0066617209295050705,0.0030099162121339862,0.03568311921723077,0.17773024934107182,0.007053516870818964,0.0070535168708189605,,0.0033851499398625104,0.0,0.0,0.004390197518745897,0.0033851499398625255,0.0033851499398625117,0.008615550373422843,0.005701452218427766,0.11692116881369383,,0.01037790724723382,0.0033851499398625637,0.0,0.0033851499398625117,0.0033851499398625117,0.0033851499398625117,0.0033851499398625117,0.0,0.0033851499398625737
HOS,6,3.0276503540974917,0.00217542059394603,0.00173325764050337,0.01201095770259785,0.013373225016220711,0.006103769074279906,0.0063751627631127026,0.0041140421515556335,13.680480823258943,7.743097284391791,7.743097284391797,13.680480823258938,0.0,0.0,0.011787237534789469,0.0020292175518685975,0.013373225016220711,0.01201095770259785,0.006446724242105845,0.004563606885657866,0.1255650708400625,0.014743383907313385,0.012010957702597847,0.01201095770259785,,0.004114042151555634,0.0,0.0,0.0013637610918556795,0.004114042151555616,0.0041140421515556335,0.0053548275128027685,0.0024571643063660974,0.14209143869817756,,0.0063751627631127026,0.0041140421515556335,0.0,0.0041140421515556335,0.0041140421515556335,0.0041140421515556335,0.0041140421515556335,0.0,0.004114042151555664
HOS,7,3.0276503540974917,0.0,0.0,0.0004240964807196421,0.03824043774897911,0.050779458788189576,0.04382136867079582,0.012737793994699155,0.48304589153962857,22.141213456658903,22.1412134566589,0.48304589153964794,0.0,0.0,0.005861839159000745,0.00942908900360559,0.03824043774897911,0.0004240964807196421,0.058036142103291076,0.006461205970405754,,0.05282796247933853,0.000424096480719644,0.0004240964807196421,,0.012737793994699152,0.0,0.0,0.009417105854124206,0.012737793994699135,0.012737793994699155,0.04582785849169565,0.019006282146968353,0.43995812181143323,,0.04382136867079582,0.012737793994699124,0.0,0.012737793994699155,0.012737793994699155,0.012737793994699155,0.012737793994699155,0.0,0.01273779399469917
HOS,8,3.0276503540974917,0.0019196040628540036,0.002280789483303328,0.018490569504163088,0.022735619628549225,0.002865609808794482,0.006956583503398938,0.005276598346419883,21.060758665241764,13.16392376493001,13.16392376493,21.060758665241757,0.0,0.0,0.0034166293737774092,0.0078038699587384425,0.022735619628549225,0.018490569504163088,0.005718547139095653,0.010437120302613088,0.022163259252057255,0.0904249248118119,0.01849056950416309,0.018490569504163088,,0.005276598346419904,0.0,0.0,0.0024428889347704857,0.00527659834641987,0.005276598346419883,0.005006072489100159,0.003466663203667111,0.18224242204135233,,0.006956583503398938,0.005276598346419883,0.0,0.005276598346419883,0.005276598346419883,0.005276598346419883,0.005276598346419883,0.0,0.005276598346419883
HOSbal,0,3.0276503540974917,0.0019053284438542682,0.0024606918990242844,0.008963270215787465,0.014190871391089625,0.004996475384960516,0.00898462811574442,0.004680593350415149,5.1897334549409555,8.216514535440865,8.216514535440869,5.189733454940948,0.0,0.0,0.005124461846998597,0.008038990440009611,0.014190871391089625,0.008963270215787465,0.00707061312895465,0.0036389843054724104,0.08763439814653882,0.10734303806051325,0.008963270215787474,0.008963270215787465,,0.004680593350415157,0.0,0.0,0.005186822817258091,0.004680593350415164,0.004680593350415149,0.009361186700830325,0.004680593350415129,0.16166642316765595,,0.00898462811574442,0.004680593350415184,0.0,0.004680593350415149,0.004680593350415149,0.004680593350415149,0.004680593350415149,0.0,0.004680593350415114
