id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,hinge_loss,hamming_loss,imb_report_0.3,pr_curve,imb_sens_micro,imb_spec,accuracy,imb_sens_spec_supp,X,confusion_matrix,roc_curve,bal_report,zero_one_loss,log_loss,rec_score,imb_sens_spec_supp_micro,priors,matthews_corrcoef,prec_score,roc_auc_score,imb_sens,avg_prec_score,y,imb_report_0.1,f1_score,imb_spec_micro,cohen_kappa_score,fbeta_score
CVS,0,4,0.698629680258727,0.8060102128009694,0.7774480712166172,0.48314606741573035,0.6128792525679534,0.267346821892722,0.6757281553398058,262,86,92,75,178,337,0.5341614906832298,0.7401129943502824,0.48314606741573035,0.7774480712166172,0.5073746312684366,0.7583212735166426,2.170936329588015,1.50419300735389,0.2225519287833828,0.7774480712166172,,0.32427184466019415,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.53      0.48      0.78      0.51      0.61      0.34       178
          1       0.74      0.78      0.48      0.76      0.61      0.41       337

avg / total       0.67      0.68      0.58      0.67      0.61      0.39       515
",,0.6757281553398058,[0.77744807 0.48314607],0.6757281553398058,"(array([0.48314607, 0.77744807]), array([0.77744807, 0.48314607]), array([178, 337], dtype=int32))","[[-1.00892236e+00 -7.03069507e-01 -3.00125045e-01 ...  4.72923665e-01
  -4.50567558e-01 -7.29691154e-01]
 [-1.53227394e+00  7.47886955e-01  3.81028950e-01 ...  2.79235435e-02
   2.50506177e-03 -4.18727153e-01]
 [-3.54732883e-01 -6.95590350e-01 -4.36355844e-01 ...  5.36495111e-01
  -7.38886498e-01 -5.56933376e-01]
 ...
 [-6.39903427e-01 -6.78956756e-02 -4.36355844e-01 ... -2.14946622e-01
   3.34432710e-01  3.29428422e+00]
 [ 1.36171862e-01 -3.98218792e-01 -2.87628106e-01 ... -4.96413275e-01
  -8.76622188e-01 -6.04060301e-01]
 [ 4.25885180e-01  2.26779417e+00  1.61590535e-01 ...  9.08522717e-02
   6.20658793e-03  5.86644738e-01]]","[[ 86  92]
 [ 75 262]]","(array([0.        , 0.51685393, 1.        ]), array([0.        , 0.77744807, 1.        ]), array([2, 1, 0]))","              precision    recall  f1-score   support

           0       0.53      0.48      0.51       178
           1       0.74      0.78      0.76       337

    accuracy                           0.68       515
   macro avg       0.64      0.63      0.63       515
weighted avg       0.67      0.68      0.67       515
",0.3242718446601942,11.200095574589636,0.6757281553398058,"(0.6757281553398058, 0.6757281553398058, None)",,0.267346821892722,0.6757281553398058,0.6302970693161738,[0.48314607 0.77744807],0.7210304879011473,[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.53      0.48      0.78      0.51      0.61      0.36       178
          1       0.74      0.78      0.48      0.76      0.61      0.39       337

avg / total       0.67      0.68      0.58      0.67      0.61      0.38       515
",0.6757281553398058,0.6757281553398058,0.2666007214182776,0.6757281553398058
CVSbal,0,4,0.6858666834995581,0.6969106186440035,0.7415730337078652,0.48314606741573035,0.5985717124434698,0.2326210525996177,0.6123595505617978,132,86,92,46,178,178,0.6515151515151515,0.5892857142857143,0.48314606741573035,0.7415730337078652,0.5548387096774193,0.6567164179104478,1.8695652173913047,1.4347826086956523,0.2584269662921348,0.7415730337078652,,0.38764044943820225,"                   pre       rec       spe        f1       geo       iba       sup

          0       0.65      0.48      0.74      0.55      0.60      0.33       178
          1       0.59      0.74      0.48      0.66      0.60      0.39       178

avg / total       0.62      0.61      0.61      0.61      0.60      0.36       356
",,0.6123595505617978,[0.74157303 0.48314607],0.6123595505617978,"(array([0.48314607, 0.74157303]), array([0.74157303, 0.48314607]), array([178, 178], dtype=int32))","[[-1.00892236e+00 -7.03069507e-01 -3.00125045e-01 ...  4.72923665e-01
  -4.50567558e-01 -7.29691154e-01]
 [-1.53227394e+00  7.47886955e-01  3.81028950e-01 ...  2.79235435e-02
   2.50506177e-03 -4.18727153e-01]
 [-3.54732883e-01 -6.95590350e-01 -4.36355844e-01 ...  5.36495111e-01
  -7.38886498e-01 -5.56933376e-01]
 ...
 [-6.39903427e-01 -6.78956756e-02 -4.36355844e-01 ... -2.14946622e-01
   3.34432710e-01  3.29428422e+00]
 [ 1.36171862e-01 -3.98218792e-01 -2.87628106e-01 ... -4.96413275e-01
  -8.76622188e-01 -6.04060301e-01]
 [ 4.25885180e-01  2.26779417e+00  1.61590535e-01 ...  9.08522717e-02
   6.20658793e-03  5.86644738e-01]]","[[ 86  92]
 [ 46 132]]","(array([0.        , 0.51685393, 1.        ]), array([0.        , 0.74157303, 1.        ]), array([2, 1, 0]))","              precision    recall  f1-score   support

           0       0.65      0.48      0.55       178
           1       0.59      0.74      0.66       178

    accuracy                           0.61       356
   macro avg       0.62      0.61      0.61       356
weighted avg       0.62      0.61      0.61       356
",0.3876404494382022,13.388833442306886,0.6123595505617978,"(0.6123595505617978, 0.6123595505617978, None)",,0.2326210525996177,0.6123595505617978,0.6123595505617978,[0.48314607 0.74157303],0.5662118780096308,[1 1 1 ... 0 0 0],"                   pre       rec       spe        f1       geo       iba       sup

          0       0.65      0.48      0.74      0.55      0.60      0.35       178
          1       0.59      0.74      0.48      0.66      0.60      0.37       178

avg / total       0.62      0.61      0.61      0.61      0.60      0.36       356
",0.6123595505617978,0.6123595505617978,0.2247191011235955,0.6123595505617978
