id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,ber,bcr,C,roc_auc_score,matthews_corrcoef,rec_score,avg_prec_score,fbeta_score,prec_score,zero_one_loss,imb_spec_micro,accuracy,probability,cohen_kappa_score,hamming_loss,f1_score,gamma,log_loss,max_iter,imb_sens_micro
HOS,0,4.5,0.7043650793650793,0.7602316589339553,0.5392857142857143,0.7833333333333333,0.6487669105997808,0.3212247558542789,0.6347826086956522,15.1,14.1,3.9,12.9,18.0,28.0,0.5217339901477832,0.7981474407944995,0.7833333333333333,0.5392857142857143,0.6256931384773822,0.6424262545597949,1.6994301994301992,0.46071428571428574,0.5392857142857143,0.09999999999999999,0.6613095238095237,0.3212247558542789,0.6347826086956522,0.7101709952755806,0.6347826086956522,0.6347826086956522,0.36521739130434777,0.6347826086956522,0.6347826086956522,True,0.2956888444020638,0.36521739130434777,0.6347826086956522,0.09999999999999999,12.614229605749502,-1.0,0.6347826086956522
HOS,1,4.5,0.5297619047619048,0.6760841420192556,0.44642857142857145,0.8222222222222222,0.5584064302060855,0.3176955855915621,0.5934782608695652,12.5,14.8,3.2,15.5,18.0,28.0,0.5109421804585288,0.8751838979985532,0.8222222222222222,0.44642857142857145,0.6081354667961766,0.5322723606238998,1.6949272537220668,0.5535714285714286,0.44642857142857145,0.09999999999999999,0.6343253968253968,0.3176955855915621,0.5934782608695652,0.6991936585247587,0.5934782608695652,0.5934782608695652,0.40652173913043477,0.5934782608695652,0.5934782608695652,True,0.24491503289836572,0.40652173913043477,0.5934782608695652,1.0,14.040819071665357,-1.0,0.5934782608695652
HOS,2,4.5,0.31388888888888883,0.5091569266277166,0.37500000000000006,0.8333333333333333,0.5566848098229238,0.22425339278936646,0.5543478260869565,10.5,15.0,3.0,17.5,18.0,28.0,0.4624317062248096,0.779423191187897,0.8333333333333333,0.37500000000000006,0.5941399267542179,0.5036379621321299,1.3405068226120858,0.6249999999999998,0.37500000000000006,0.09999999999999999,0.6041666666666666,0.22425339278936646,0.5543478260869565,0.6722604406108241,0.5543478260869565,0.5543478260869565,0.44565217391304346,0.5543478260869565,0.5543478260869565,True,0.18257051917720665,0.44565217391304346,0.5543478260869565,0.009999999999999998,15.392332932346942,-1.0,0.5543478260869565
HOS,3,4.5,0.7009920634920634,0.7891925984290322,0.575,0.7555555555555556,0.6575515742373985,0.32588971934388866,0.6456521739130435,16.1,13.6,4.4,11.9,18.0,28.0,0.5342121952121952,0.7871010860484545,0.7555555555555556,0.575,0.6248654390211519,0.6629563687710907,1.7893783993783994,0.425,0.575,1.0,0.6652777777777777,0.32588971934388866,0.6456521739130435,0.7107934562078072,0.6456521739130435,0.6456521739130435,0.35434782608695653,0.6456521739130435,0.6456521739130435,True,0.3077423035241885,0.35434782608695653,0.6456521739130435,0.09999999999999999,12.23881681447254,-1.0,0.6456521739130435
HOS,4,4.5,0.7476190476190476,0.8008154670962581,0.6607142857142858,0.6444444444444445,0.6519136222890397,0.2992431968944459,0.6543478260869566,18.5,11.6,6.4,9.5,18.0,28.0,0.549949494949495,0.7435054945054944,0.6444444444444445,0.6607142857142858,0.5929374718848403,0.6992735426697692,1.9038271604938273,0.3392857142857143,0.6607142857142858,1.0,0.6525793650793651,0.2992431968944459,0.6543478260869566,0.6976300593816122,0.6543478260869566,0.6543478260869566,0.3456521739130435,0.6543478260869566,0.6543478260869566,True,0.2959585943003952,0.3456521739130435,0.6543478260869566,1.0,11.938514393535502,-1.0,0.6543478260869566
HOS,5,4.5,0.7231150793650793,0.781639082691619,0.5392857142857143,0.7944444444444444,0.6543284672672671,0.33168395557921315,0.6391304347826088,15.1,14.3,3.7,12.9,18.0,28.0,0.5255392755392755,0.8041228070175437,0.7944444444444444,0.5392857142857143,0.632485726833553,0.6453553808202283,1.7250712250712255,0.46071428571428574,0.5392857142857143,1.0,0.6668650793650793,0.33168395557921315,0.6391304347826088,0.7140720006538086,0.6391304347826088,0.6391304347826088,0.3608695652173913,0.6391304347826088,0.6391304347826088,True,0.30566442596647664,0.3608695652173913,0.6391304347826088,0.009999999999999998,12.464057536217588,-1.0,0.6391304347826088
HOS,6,4.5,0.3010912698412698,0.4749151811931041,0.5392857142857143,0.7833333333333333,0.6487669105997808,0.3212247558542789,0.6347826086956522,15.1,14.1,3.9,12.9,18.0,28.0,0.5217339901477832,0.7981474407944995,0.7833333333333333,0.5392857142857143,0.6256931384773822,0.6424262545597949,1.6994301994301992,0.46071428571428574,0.5392857142857143,0.009999999999999998,0.6613095238095237,0.3212247558542789,0.6347826086956522,0.7101709952755806,0.6347826086956522,0.6347826086956522,0.36521739130434777,0.6347826086956522,0.6347826086956522,True,0.2956888444020638,0.36521739130434777,0.6347826086956522,0.09999999999999999,12.614229605749502,-1.0,0.6347826086956522
HOS,7,4.5,0.24285714285714288,0.46465001065298595,0.44642857142857145,0.8222222222222222,0.5584064302060855,0.3176955855915621,0.5934782608695652,12.5,14.8,3.2,15.5,18.0,28.0,0.5109421804585288,0.8751838979985532,0.8222222222222222,0.44642857142857145,0.6081354667961766,0.5322723606238998,1.6949272537220668,0.5535714285714286,0.44642857142857145,0.009999999999999998,0.6343253968253968,0.3176955855915621,0.5934782608695652,0.6991936585247587,0.5934782608695652,0.5934782608695652,0.40652173913043477,0.5934782608695652,0.5934782608695652,True,0.24491503289836572,0.40652173913043477,0.5934782608695652,1.0,14.040819071665357,-1.0,0.5934782608695652
HOS,8,4.5,0.32678571428571423,0.5391609849643869,0.37500000000000006,0.8333333333333333,0.5566848098229238,0.22425339278936646,0.5543478260869565,10.5,15.0,3.0,17.5,18.0,28.0,0.4624317062248096,0.779423191187897,0.8333333333333333,0.37500000000000006,0.5941399267542179,0.5036379621321299,1.3405068226120858,0.6249999999999998,0.37500000000000006,0.009999999999999998,0.6041666666666666,0.22425339278936646,0.5543478260869565,0.6722604406108241,0.5543478260869565,0.5543478260869565,0.44565217391304346,0.5543478260869565,0.5543478260869565,True,0.18257051917720665,0.44565217391304346,0.5543478260869565,0.009999999999999998,15.392332932346942,-1.0,0.5543478260869565
HOSbal,0,4.5,0.6805555555555556,0.6662501851933003,0.5166666666666667,0.7833333333333333,0.6344939735905112,0.3138039350022628,0.65,9.3,14.1,3.9,8.7,18.0,18.0,0.6182142857142857,0.7102272727272727,0.7833333333333333,0.5166666666666667,0.6900681937401645,0.59581412502305,1.6208333333333331,0.4833333333333333,0.5166666666666667,0.09999999999999999,0.65,0.3138039350022628,0.65,0.6073232323232324,0.65,0.65,0.35000000000000003,0.65,0.65,True,0.30000000000000004,0.35,0.65,0.09999999999999999,12.088658361273676,-1.0,0.65
