id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,f1_score,tol,matthews_corrcoef,pr_curve,roc_auc_score,accuracy,momentum,learning_rate_init,alpha,imb_sens_micro,power_t,rec_score,fbeta_score,imb_spec_micro,warm_start,hinge_loss,cohen_kappa_score,avg_prec_score,max_iter,hamming_loss,zero_one_loss,prec_score,log_loss
HOS,21,3.0276503540974917,0.0061154306787490065,0.014498776423466338,0.020414607764725066,0.01504596332550211,0.010617983366595703,0.02003395702022247,0.0100473743625501,11.595497210363842,17.302857824327436,17.302857824327425,11.595497210363842,0.0,0.0,0.008787832941618662,0.013847955414945145,0.01504596332550211,0.020414607764725066,0.009103022812711008,0.012715979493707612,0.14857567202881333,0.15284014582968727,0.020414607764725052,0.020414607764725066,0.010047374362550073,0.0,0.02003395702022247,,0.010429544201991681,0.0100473743625501,0.0,0.0,0.0,0.0100473743625501,0.0,0.0100473743625501,0.010047374362550087,0.0100473743625501,0.0,,0.019948268359960327,0.011361672684006542,0.0,0.010047374362550097,0.010047374362550097,0.0100473743625501,0.3470302569993858
HOS,22,3.0276503540974917,0.007728033171453794,0.010855718370379625,0.011884346188238283,0.015608096822175876,0.005598709229104873,0.013058195061282562,0.008297563138100792,6.7503086349193415,17.94931134550231,17.949311345502306,6.750308634919346,0.0,0.0,0.004041548355898814,0.014438772635087836,0.015608096822175876,0.011884346188238283,0.008180493981665735,0.007246531839239563,0.08005938519534654,0.19983069241882875,0.011884346188238314,0.011884346188238283,0.008297563138100776,0.0,0.013058195061282562,,0.005765462477015376,0.008297563138100792,0.0,0.0,0.0,0.008297563138100792,0.0,0.008297563138100792,0.008297563138100792,0.008297563138100792,0.0,,0.013991173236155945,0.009063786381676125,0.0,0.008297563138100785,0.008297563138100782,0.008297563138100792,0.2865955108054436
HOS,23,3.0276503540974917,0.011254537406631043,0.01559821649051144,0.024954083999861994,0.019273945681842326,0.012096298226493992,0.023468897856958555,0.0117804723669879,14.173919711921616,22.16503753411866,22.165037534118664,14.173919711921608,0.0,0.0,0.010048091066882843,0.019261296504165814,0.019273945681842326,0.024954083999861994,0.010552580421451954,0.01480213756119601,0.16990211268774177,0.24808751506834173,0.024954083999861987,0.024954083999861994,0.011780472366987892,0.0,0.023468897856958555,,0.011848902869268563,0.0117804723669879,0.0,0.0,0.0,0.0117804723669879,0.0,0.0117804723669879,0.0117804723669879,0.0117804723669879,0.0,,0.02328285499937488,0.013915886616316273,0.0,0.011780472366987864,0.011780472366987886,0.0117804723669879,0.4068911497475338
HOS,24,3.0276503540974917,0.0041055052418732816,0.0053292628467964225,0.02667187345848028,0.03579493040415224,0.006063828508592623,0.013941186671688461,0.015614296353066416,15.149624124416777,41.16416996477506,41.16416996477505,15.149624124416793,0.0,0.0,0.005282362310821056,0.018928747274661456,0.03579493040415224,0.02667187345848028,0.01941667121369017,0.00495187680370249,0.07225971420294448,0.16276490636288235,0.026671873458480273,0.02667187345848028,0.015614296353066416,0.0,0.013941186671688461,,0.006099594118277014,0.015614296353066416,0.0,0.0,0.0,0.015614296353066416,0.0,0.015614296353066416,0.015614296353066437,0.015614296353066416,0.0,,0.017914216065089104,0.008508711637938713,0.0,0.015614296353066449,0.015614296353066449,0.015614296353066416,0.5393176416604734
HOS,25,3.0276503540974917,0.005309427060003105,0.010398610373770776,0.013591731736351234,0.010083041052490261,0.008139980458289878,0.015748716428204176,0.007736914625474381,7.720103626247513,11.59549721036383,11.59549721036383,7.720103626247513,0.0,0.0,0.006323127238233924,0.011178485299258903,0.010083041052490261,0.013591731736351234,0.00662377239482173,0.009906470772941474,0.13358698132707625,0.14914598920103941,0.013591731736351247,0.013591731736351234,0.007736914625474379,0.0,0.015748716428204176,,0.008059137975018681,0.007736914625474381,0.0,0.0,0.0,0.007736914625474381,0.0,0.007736914625474381,0.007736914625474381,0.007736914625474381,0.0,,0.01575991628343963,0.009815369852469601,0.0,0.007736914625474392,0.007736914625474372,0.007736914625474381,0.26722796800561127
HOS,26,3.0276503540974917,0.006218120406423428,0.014279455201118925,0.011513420462969505,0.013472493701480882,0.00613179630166892,0.014467846318601566,0.007785419361291117,6.539622822966692,15.493367756703007,15.493367756703007,6.539622822966677,0.0,0.0,0.004605992046828165,0.016992477698753436,0.013472493701480882,0.011513420462969505,0.006839038328293965,0.008589933473756545,0.16868290424758442,0.4370358081020735,0.011513420462969487,0.011513420462969505,0.007785419361291177,0.0,0.014467846318601566,,0.006224685793728985,0.007785419361291117,0.0,0.0,0.0,0.007785419361291117,0.0,0.007785419361291117,0.007785419361291117,0.007785419361291117,0.0,,0.01490173640464336,0.012058044768556073,0.0,0.007785419361291125,0.007785419361291121,0.007785419361291117,0.26890540342528463
HOS,27,3.0276503540974917,0.009848177872334192,0.01358294540149088,0.02917853123001022,0.025854844998024578,0.011233273783098758,0.021240322492827375,0.012591548548200899,16.573405738645807,29.733071747728243,29.733071747728243,16.573405738645807,0.0,0.0,0.010024308817670665,0.020558406987223273,0.025854844998024578,0.02917853123001022,0.012797937076706869,0.013415032215860127,0.16829700767363473,0.24290134247983486,0.02917853123001023,0.02917853123001022,0.012591548548200916,0.0,0.021240322492827375,,0.01075094120588,0.012591548548200899,0.0,0.0,0.0,0.012591548548200899,0.0,0.012591548548200899,0.012591548548200899,0.012591548548200899,0.0,,0.021845607174093503,0.012903139032836672,0.0,0.012591548548200918,0.012591548548200916,0.012591548548200899,0.43490826937316507
HOS,28,3.0276503540974917,0.007213634705122022,0.016120562104860542,0.026195016485363667,0.014283709764248228,0.011249586793618174,0.01990284206813112,0.008694356423130802,14.87876936368656,16.426266228885435,16.426266228885442,14.87876936368656,0.0,0.0,0.011200665220928944,0.013407123502140766,0.014283709764248228,0.026195016485363667,0.007324800365487738,0.013381123275417607,0.29446186974849814,0.20869126498734525,0.026195016485363667,0.026195016485363667,0.008694356423130772,0.0,0.01990284206813112,,0.010951933131467589,0.008694356423130802,0.0,0.0,0.0,0.008694356423130802,0.0,0.008694356423130802,0.008694356423130802,0.008694356423130802,0.0,,0.01914449838434178,0.012456587818164295,0.0,0.008694356423130802,0.008694356423130805,0.008694356423130802,0.3002966632035938
HOS,29,3.0276503540974917,0.008264516927931858,0.012974853368519943,0.01770414536169262,0.02282983636102924,0.011111099138514281,0.023084499790748,0.013933170150980018,10.055954565441423,26.254311815183584,26.254311815183605,10.055954565441425,0.0,0.0,0.0074960013348388576,0.02004325835621723,0.02282983636102924,0.01770414536169262,0.013584259242002966,0.013222416278810224,0.14032198817522648,0.22840060446249183,0.01770414536169263,0.01770414536169262,0.013933170150980022,0.0,0.023084499790748,,0.011200235997555324,0.013933170150980018,0.0,0.0,0.0,0.013933170150980018,0.0,0.013933170150980018,0.01393317015098004,0.013933170150980018,0.0,,0.024333675233541432,0.014248599664157058,0.0,0.013933170150980022,0.013933170150980017,0.013933170150980018,0.48124593682152006
HOS,30,3.0276503540974917,0.004279796634736043,0.004033903112443686,0.033054027202753244,0.04003107383653073,0.005970751635538755,0.01454575203859628,0.016632287369039368,18.774687451163842,46.03573491201034,46.03573491201036,18.774687451163842,0.0,0.0,0.007655451378521025,0.020523037846271564,0.04003107383653073,0.033054027202753244,0.021101543653075462,0.005737981833447545,0.10683988844571685,0.1772130142811553,0.03305402720275324,0.033054027202753244,0.016632287369039368,0.0,0.01454575203859628,,0.006342968090130411,0.016632287369039368,0.0,0.0,0.0,0.016632287369039368,0.0,0.016632287369039368,0.016632287369039368,0.016632287369039368,0.0,,0.018370674861449717,0.008689384092844133,0.0,0.01663228736903937,0.016632287369039378,0.016632287369039368,0.5744798929523828
