id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,ber,bcr,prec_score,imb_sens_micro,roc_auc_score,alpha,max_iter,cohen_kappa_score,learning_rate_init,fbeta_score,imb_spec_micro,warm_start,momentum,avg_prec_score,accuracy,tol,rec_score,matthews_corrcoef,zero_one_loss,f1_score,hamming_loss,power_t,log_loss
HOS,0,4.5,0.6707451102104844,0.7461720703259196,0.5757273482959268,0.6625180897250362,0.6173855082306143,0.6073917634635692,692.6,457.8,233.2,510.4,691.0,1203.0,0.47296470463892115,0.7482175333643795,0.6625180897250362,0.5757273482959268,0.5517806859283634,0.6505584371946077,0.42427265170407324,0.5757273482959268,0.6073917634635692,0.6073917634635692,0.6191227190104815,1.0,1000.0,0.21953274676295367,0.0010000000000000002,0.6073917634635692,0.6073917634635692,False,0.9000000000000001,0.7002033626875741,0.6073917634635692,0.00010000000000000002,0.6073917634635692,0.22955528651606438,0.3926082365364308,0.6073917634635692,0.39260823653643084,0.5,13.560306543493297
HOS,1,4.5,0.6715846659280406,0.7553754472057677,0.5452202826267664,0.6868306801736614,0.6119091377366016,0.5968848996832101,655.9,474.6,216.4,547.1,691.0,1203.0,0.4645537489052778,0.7519185096367553,0.6868306801736614,0.5452202826267664,0.5542165792243186,0.6320686748823222,0.45477971737323364,0.5452202826267664,0.5968848996832101,0.5968848996832101,0.616025481400214,1.0,1000.0,0.21061657153010288,0.0010000000000000002,0.5968848996832101,0.5968848996832101,False,0.9000000000000001,0.6988231256544019,0.5968848996832101,0.00010000000000000002,0.5968848996832101,0.22412616375148367,0.40311510031678993,0.5968848996832101,0.4031151003167898,0.5,13.923193669692822
HOS,2,4.5,0.6702736646083778,0.757794251545474,0.5213632585203658,0.7044862518089724,0.6049377203651756,0.5881731784582894,627.2,486.8,204.2,575.8,691.0,1203.0,0.4588236310799595,0.7547968785247272,0.7044862518089724,0.5213632585203658,0.5551308698734397,0.6156730454380589,0.47863674147963425,0.5213632585203658,0.5881731784582894,0.5881731784582894,0.612924755164669,1.0,1000.0,0.2029133334615464,0.0010000000000000002,0.5881731784582894,0.5881731784582894,False,0.9000000000000001,0.6973450843035176,0.5881731784582894,0.00010000000000000002,0.5881731784582894,0.2196398165387996,0.4118268215417107,0.5881731784582894,0.4118268215417108,0.5,14.224080710573165
HOS,3,4.5,0.668337597876991,0.7556431361043714,0.3709891936824605,0.7402315484804631,0.3219193580512316,0.5057022175290391,446.3,511.5,179.5,756.7,691.0,1203.0,0.3813291351308406,0.5735211208717285,0.7402315484804631,0.3709891936824605,0.4859605292031978,0.39372042465218215,0.6290108063175395,0.3709891936824605,0.5057022175290391,0.5057022175290391,0.5556103710814618,1.0,1000.0,0.1011917329268068,0.0010000000000000002,0.5057022175290391,0.5057022175290391,False,0.9000000000000001,0.6658040841306985,0.5057022175290391,0.00010000000000000002,0.5057022175290391,0.11855667910761611,0.4942977824709609,0.5057022175290391,0.4942977824709609,0.5,17.072516361485796
HOS,4,4.5,0.6682063533881167,0.7561825725002841,0.49858686616791353,0.6028943560057887,0.32955004937595433,0.5366420274551215,599.8,416.6,274.4,603.2,691.0,1203.0,0.4492598974359477,0.6629310707750692,0.6028943560057887,0.49858686616791353,0.3950909892739621,0.5005720827822596,0.5014131338320864,0.49858686616791353,0.5366420274551215,0.5366420274551215,0.5507406110868511,1.0,1000.0,0.08708281071072457,0.0010000000000000002,0.5366420274551215,0.5366420274551215,False,0.9000000000000001,0.6638386170408689,0.5366420274551215,0.00010000000000000002,0.5366420274551215,0.12323182944012614,0.46335797254487854,0.5366420274551215,0.46335797254487865,0.5,16.003933249054093
HOS,5,4.5,0.5391094141154591,0.6648314519110986,0.5,0.5,0.0,0.5000000000000001,601.5,345.5,345.5,601.5,691.0,1203.0,0.1824181626187962,0.3175818373812038,0.5,0.5,0.26731141199226305,0.38844042621892155,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,1.0,1000.0,0.0,0.0010000000000000002,0.5000000000000001,0.5000000000000001,False,0.9000000000000001,0.6351636747624078,0.5000000000000001,0.00010000000000000002,0.5000000000000001,0.0,0.5,0.5000000000000001,0.5,0.5,17.269534058549386
HOS,6,4.5,0.6658309604666578,0.733761324877938,0.6562759767248545,0.6014471780028943,0.6278163128345531,0.636272439281943,789.5,415.6,275.4,413.5,691.0,1203.0,0.5019318143500127,0.7414647850473794,0.6014471780028943,0.6562759767248545,0.5467486061750001,0.6959446898155198,0.34372402327514545,0.6562759767248545,0.636272439281943,0.636272439281943,0.6288615773638744,0.09999999999999999,1000.0,0.24734648904618517,0.0010000000000000002,0.636272439281943,0.636272439281943,False,0.9000000000000001,0.7048789605217064,0.636272439281943,0.00010000000000000002,0.636272439281943,0.25045032802001693,0.36372756071805706,0.636272439281943,0.36372756071805706,0.5,12.562821155008576
HOS,7,4.5,0.6953230767750185,0.7778096959792996,0.6666666666666667,0.6099855282199711,0.6376126947852042,0.6459873284054909,802.0,421.5,269.5,401.0,691.0,1203.0,0.5126842270097342,0.7484577462370818,0.6099855282199711,0.6666666666666667,0.5570230948701047,0.7051252378030886,0.33333333333333337,0.6666666666666667,0.6459873284054909,0.6459873284054909,0.6383260974433189,0.09999999999999999,1000.0,0.2659491691394761,0.0010000000000000002,0.6459873284054909,0.6459873284054909,False,0.9000000000000001,0.7107320308158591,0.6459873284054909,0.00010000000000000002,0.6459873284054909,0.2687841318075317,0.35401267159450894,0.6459873284054909,0.35401267159450894,0.5,12.227278281042793
HOS,8,4.5,0.6964476170884895,0.7773494463557225,0.6794679966749793,0.6031837916063676,0.6398094729021588,0.6516367476240761,817.4,416.8,274.2,385.6,691.0,1203.0,0.5200332512986832,0.7489139970745713,0.6031837916063676,0.6794679966749793,0.5581242377925353,0.7122253914476356,0.32053200332502074,0.6794679966749793,0.6516367476240761,0.6516367476240761,0.6413258941406733,0.09999999999999999,1000.0,0.2733791679766713,0.0010000000000000002,0.6516367476240761,0.6516367476240761,False,0.9000000000000001,0.7123940247241837,0.6516367476240761,0.00010000000000000002,0.6516367476240761,0.27570684569828247,0.348363252375924,0.6516367476240761,0.348363252375924,0.5,12.032156238108461
HOS,9,4.5,0.6803827382821288,0.7539968401268301,0.6681629260182876,0.5992764109985529,0.6325848726881704,0.6430306230200633,803.8,414.1,276.9,399.2,691.0,1203.0,0.5095993718725127,0.7437497379859984,0.5992764109985529,0.6681629260182876,0.5506001708343987,0.7037695841126717,0.33183707398171236,0.6681629260182876,0.6430306230200633,0.6430306230200633,0.6337196685084202,0.09999999999999999,1000.0,0.25785157764161637,0.0010000000000000002,0.6430306230200633,0.6430306230200633,False,0.9000000000000001,0.7077597301115821,0.6430306230200633,0.00010000000000000002,0.6430306230200633,0.2602965674680721,0.35696937697993664,0.6430306230200633,0.3569693769799367,0.5,12.329402391302816
