id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,prec_score,imb_sens_micro,roc_auc_score,alpha,max_iter,cohen_kappa_score,pr_curve,learning_rate_init,hinge_loss,fbeta_score,imb_spec_micro,warm_start,momentum,avg_prec_score,accuracy,tol,rec_score,matthews_corrcoef,zero_one_loss,f1_score,hamming_loss,power_t,log_loss
HOSbal,19,3.0276503540974917,0.004156263953717077,0.005681871816525222,0.019050540904384954,0.010220579027075816,0.0058669141507875396,0.013241257218592983,0.0063910201785270645,13.163923764929999,7.06242010770938,7.06242010770938,13.163923764930002,0.0,0.0,0.01072083025897025,0.004253604259587599,0.010220579027075816,0.019050540904384954,0.004543664993893644,0.01005391059806675,0.08948816812758272,0.03175669200280131,0.01905054090438496,0.019050540904384954,0.0063910201785270645,0.0063910201785270645,0.0063910201785270845,0.0,0.0,0.012782040357054101,,0.0,,0.0063910201785270316,0.0063910201785270645,0.0,0.0,0.004553103083170075,0.0063910201785270645,0.0,0.0063910201785270645,0.013241257218592983,0.006391020178527052,0.0063910201785270645,0.006391020178527051,0.0,0.220736529914309
HOSbal,20,3.0276503540974917,0.0024415708685486736,0.005040901412343066,0.01617634600782171,0.008327388568081111,0.004465412711650566,0.010408443617706596,0.00498115688086429,11.177855091404806,5.754225500544033,5.754225500544033,11.177855091404803,0.0,0.0,0.008945298745534245,0.0028049467672834924,0.008327388568081111,0.01617634600782171,0.0030279466944428115,0.008321062109653353,0.0760466649171107,0.02111819658477515,0.016176346007821717,0.01617634600782171,0.00498115688086429,0.00498115688086429,0.004981156880864336,0.0,0.0,0.009962313761728604,,0.0,,0.004981156880864265,0.00498115688086429,0.0,0.0,0.0034934205626209573,0.00498115688086429,0.0,0.00498115688086429,0.010408443617706596,0.0049811568808642995,0.00498115688086429,0.004981156880864317,0.0,0.17204119599477583
HOSbal,21,3.0276503540974917,0.005799409154898507,0.006648997792202701,0.026478480356704536,0.0287806963140022,0.006503187241299465,0.009627428865960389,0.004978820503211912,18.29662992648281,19.88746115297553,19.88746115297553,18.29662992648282,0.0,0.0,0.010849984533680967,0.008458153541666638,0.0287806963140022,0.026478480356704536,0.01341036088082982,0.008674667632692338,0.1004763093096229,0.06278200073397433,0.026478480356704522,0.026478480356704536,0.004978820503211912,0.004978820503211912,0.004978820503211904,0.0,0.0,0.009957641006423825,,0.0,,0.004978820503211919,0.004978820503211912,0.0,0.0,0.004154572304664376,0.004978820503211912,0.0,0.004978820503211912,0.009627428865960389,0.004978820503211903,0.004978820503211912,0.004978820503211913,0.0,0.17196691283069102
HOSbal,22,3.0276503540974917,0.004721334076615398,0.008229066160457875,0.01814527569690287,0.014865210069859273,0.00612357012669015,0.012830859918113406,0.006290093334007409,12.538385506559894,10.271860158272744,10.271860158272744,12.538385506559887,0.0,0.0,0.009703559172739169,0.006058576797163054,0.014865210069859273,0.01814527569690287,0.007484009094271653,0.008909455248377813,0.08247575992637031,0.04599926758573903,0.01814527569690288,0.01814527569690287,0.006290093334007409,0.006290093334007409,0.00629009333400746,0.0,0.0,0.012580186668014855,,0.0,,0.006290093334007409,0.006290093334007409,0.0,0.0,0.00473694088738912,0.006290093334007409,0.0,0.006290093334007409,0.012830859918113406,0.006290093334007436,0.006290093334007409,0.006290093334007429,0.0,0.2172529215012893
HOSbal,23,3.0276503540974917,0.015648519460852772,0.011439145778032924,0.044207017830742136,0.04521771941005302,0.009520810574615717,0.016433376416832252,0.008163703155352116,30.54704932104281,31.245444112346647,31.245444112346647,30.547049321042813,0.0,0.0,0.017500715870962223,0.013086241697048346,0.04521771941005302,0.044207017830742136,0.020261808023628612,0.016045732271086195,0.15010324045361512,0.09455052188200515,0.04420701783074215,0.044207017830742136,0.008163703155352116,0.008163703155352116,0.008163703155352121,0.0,0.0,0.016327406310704253,,0.0,,0.008163703155352097,0.008163703155352116,0.0,0.0,0.0062886345526414825,0.008163703155352116,0.0,0.008163703155352116,0.016433376416832252,0.0081637031553521,0.008163703155352116,0.008163703155352116,0.0,0.2819686887804283
HOSbal,24,3.0276503540974917,0.05275037297626555,0.05705579502776404,0.17372325637590716,0.09852437726721566,0.11979002299756059,0.08991576947927792,0.040892275918313396,120.04277015575184,68.080344691646,68.08034469164602,120.04277015575184,0.0,0.0,0.041194814049342984,0.07019085371595656,0.09852437726721566,0.17372325637590716,0.019833695794801962,0.15751812691896777,0.23011459879442364,0.33167546118422264,0.17372325637590716,0.17372325637590716,0.040892275918313396,0.040892275918313396,0.040892275918313396,0.0,0.0,0.08178455183662683,,0.0,,0.040892275918313396,0.040892275918313396,0.0,0.0,0.02491570203650248,0.040892275918313396,0.0,0.040892275918313396,0.08991576947927792,0.04089227591831339,0.040892275918313396,0.04089227591831342,0.0,1.4123354832443114
HOSbal,25,3.0276503540974917,0.008319025689516273,0.010492164462154863,0.01537993108242148,0.01785830425510157,0.009136226784774675,0.01789886591215585,0.008979503361787879,10.62753237795324,12.34008824027518,12.34008824027518,10.627532377953239,0.0,0.0,0.009856431826692547,0.009831052956963382,0.01785830425510157,0.01537993108242148,0.01133964395270926,0.009232185005224464,0.08508698943745328,0.0769035844148384,0.015379931082421484,0.01537993108242148,0.008979503361787879,0.008979503361787879,0.00897950336178789,0.0,0.0,0.01795900672357576,,0.0,,0.008979503361787875,0.008979503361787879,0.0,0.0,0.00715810732269797,0.008979503361787879,0.0,0.008979503361787879,0.01789886591215585,0.008979503361787886,0.008979503361787879,0.00897950336178788,0.0,0.31014556571833146
HOSbal,26,3.0276503540974917,0.00675484740584927,0.006679613181944627,0.027194712826062357,0.021203887832291598,0.00945685400158712,0.020245147981271822,0.00986254138941672,18.791546562809096,14.651886492113492,14.65188649211349,18.79154656280909,0.0,0.0,0.016246490334985833,0.010297979104331847,0.021203887832291598,0.027194712826062357,0.010196992969978162,0.013318346855864397,0.18376995749267042,0.10039662923566652,0.02719471282606238,0.027194712826062357,0.00986254138941672,0.00986254138941672,0.009862541389416725,0.0,0.0,0.019725082778833426,,0.0,,0.00986254138941672,0.00986254138941672,0.0,0.0,0.008079563014024045,0.00986254138941672,0.0,0.00986254138941672,0.020245147981271822,0.00986254138941672,0.00986254138941672,0.009862541389416715,0.0,0.3406411164626413
HOSbal,27,3.0276503540974917,0.008007505071023773,0.014430372479591468,0.0453541471230741,0.052242034607736784,0.011043681708739986,0.016473472270136635,0.008684407893620889,31.339715662044185,36.09924591394612,36.09924591394612,31.339715662044192,0.0,0.0,0.016718936186366665,0.016950978281404155,0.052242034607736784,0.0453541471230741,0.024069883826314947,0.014266805471599413,0.15119023080500935,0.13033653151769292,0.04535414712307409,0.0453541471230741,0.008684407893620889,0.008684407893620889,0.008684407893620951,0.0,0.0,0.01736881578724179,,0.0,,0.008684407893620889,0.008684407893620889,0.0,0.0,0.007655926416425742,0.008684407893620889,0.0,0.008684407893620889,0.016473472270136635,0.0086844078936209,0.008684407893620889,0.008684407893620901,0.0,0.2999600316694896
HOSbal,28,3.0276503540974917,0.011183451104856305,0.013201632423588763,0.03046950336330075,0.01914071859934356,0.012780169353971957,0.027242554167186767,0.013306519966298277,21.054426824040803,13.2262365521464,13.226236552146391,21.0544268240408,0.0,0.0,0.02015597314021146,0.011304788578174548,0.01914071859934356,0.03046950336330075,0.01187038476657188,0.0170387423620186,0.21939667909199106,0.10577476661272033,0.030469503363300753,0.03046950336330075,0.013306519966298277,0.013306519966298277,0.013306519966298275,0.0,0.0,0.026613039932596453,,0.0,,0.013306519966298275,0.013306519966298277,0.0,0.0,0.01064391440658868,0.013306519966298277,0.0,0.013306519966298277,0.027242554167186767,0.013306519966298214,0.013306519966298277,0.01330651996629822,0.0,0.45959201615751066
