id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,ber,bcr,max_iter,accuracy,power_t,warm_start,imb_sens_micro,imb_spec_micro,tol,hamming_loss,roc_auc_score,log_loss,fbeta_score,cohen_kappa_score,avg_prec_score,zero_one_loss,f1_score,prec_score,momentum,rec_score,alpha,matthews_corrcoef,learning_rate_init
HOS,0,4.5,0.6894731191685802,0.4904702954214607,0.6551301684532925,0.6393231265108784,0.6471050875456231,0.6447729672650475,427.8,793.4,447.6,225.2,1241.0,653.0,0.7789385463037901,0.48878001448506475,0.6393231265108784,0.6551301684532925,0.7021980401191793,0.5597963833109898,0.3448698315467075,0.6551301684532925,1000.0,0.6447729672650475,0.5,False,0.6447729672650475,0.6447729672650475,0.00010000000000000002,0.3552270327349525,0.6472266474820854,12.26929601811281,0.6447729672650475,0.27249271036366596,0.43909387593272287,0.3552270327349525,0.6447729672650475,0.6447729672650475,0.9000000000000001,0.6447729672650475,1.0,0.28076764139014104,0.0010000000000000002
HOS,1,4.5,0.6893157842129487,0.4898594159302993,0.6500765696784073,0.6410153102336824,0.6454522809476358,0.6441393875395988,424.5,795.5,445.5,228.5,1241.0,653.0,0.7768882626520262,0.4880130307836173,0.6410153102336824,0.6500765696784073,0.7023809146733322,0.5574391546060875,0.3499234303215927,0.6500765696784073,1000.0,0.6441393875395988,0.5,False,0.6441393875395988,0.6441393875395988,0.00010000000000000002,0.3558606124604013,0.6455459399560449,12.291178200013174,0.6441393875395988,0.26986571547224003,0.43786811440995016,0.35586061246040124,0.6441393875395988,0.6441393875395988,0.9000000000000001,0.6441393875395988,1.0,0.27768755645786714,0.0010000000000000002
HOS,2,4.5,0.6871140820338288,0.4868642268627215,0.6566615620214395,0.6298146655922643,0.6425774204580746,0.6390707497360084,428.8,781.6,459.4,224.2,1241.0,653.0,0.7774180618872442,0.4830990743431204,0.6298146655922643,0.6566615620214395,0.6955116265044443,0.5562370097239915,0.3433384379785605,0.6566615620214395,1000.0,0.6390707497360084,0.5,False,0.6390707497360084,0.6390707497360084,0.00010000000000000002,0.36092925026399153,0.6432381138068519,12.466248615955845,0.6390707497360084,0.2639593959547451,0.4354493236215945,0.3609292502639916,0.6390707497360084,0.6390707497360084,0.9000000000000001,0.6390707497360084,1.0,0.2731837829139704,0.0010000000000000002
HOS,3,4.5,0.6809148379820157,0.4809084324276385,0.6205206738131699,0.4356970185334408,0.18066006567374643,0.4994192185850054,405.2,540.7,700.3,247.8,1241.0,653.0,0.7214435359927254,0.26926240279396446,0.4356970185334408,0.6205206738131699,0.3974602114445148,0.35938039994616555,0.37947932618683,0.6205206738131699,1000.0,0.4994192185850054,0.5,False,0.4994192185850054,0.4994192185850054,0.00010000000000000002,0.5005807814149946,0.5281088461733053,17.289743325287844,0.4994192185850054,0.048682654347313226,0.36084353016778137,0.5005807814149946,0.4994192185850054,0.4994192185850054,0.9000000000000001,0.4994192185850054,1.0,0.07717610751504125,0.0010000000000000002
HOS,4,4.5,0.6839172825353265,0.4830161533908327,0.695865237366003,0.3942788074133763,0.2636168963213709,0.4982576557550158,454.4,489.3,751.7,198.6,1241.0,653.0,0.6366547948820866,0.32625018703160874,0.3942788074133763,0.695865237366003,0.3930177026432584,0.4210586457489479,0.3041347626339969,0.695865237366003,1000.0,0.4982576557550158,0.5,False,0.4982576557550158,0.4982576557550158,0.00010000000000000002,0.5017423442449842,0.5450720223896897,17.32988398388168,0.4982576557550158,0.07814595057493971,0.37128535494216636,0.5017423442449842,0.4982576557550158,0.4982576557550158,0.9000000000000001,0.4982576557550158,1.0,0.1042329786805732,0.0010000000000000002
HOS,5,4.5,0.5054381130664521,0.35874696264261074,0.5,0.5,0.0,0.5,326.5,620.5,620.5,326.5,1241.0,653.0,0.32761351636747627,0.17238648363252376,0.5,0.5,0.39585326953748007,0.2563800549666274,0.5,0.5,1000.0,0.5,0.5,False,0.5,0.5,0.00010000000000000002,0.5,0.5,17.269650156381125,0.5,0.0,0.3447729672650475,0.5,0.5,0.5,0.9000000000000001,0.5,1.0,0.0,0.0010000000000000002
HOS,6,4.5,0.6915240265902246,0.49582580526201425,0.6664624808575805,0.6360999194198228,0.6510521221114323,0.6465681098204858,435.2,789.4,451.6,217.8,1241.0,653.0,0.7837819906161492,0.4908076848141788,0.6360999194198228,0.6664624808575805,0.7022179062840833,0.5652606916020696,0.3335375191424196,0.6664624808575805,1000.0,0.6465681098204858,0.5,False,0.6465681098204858,0.6465681098204858,0.00010000000000000002,0.35343189017951426,0.6512812001387016,12.207295679489274,0.6465681098204856,0.2789177382460311,0.4420828649941172,0.3534318901795143,0.6465681098204858,0.6465681098204858,0.9000000000000001,0.6465681098204858,0.09999999999999999,0.2882367468690878,0.0010000000000000002
HOS,7,4.5,0.7046045463015179,0.5384644851763786,0.6626339969372127,0.6456083803384367,0.6540144095852467,0.6514783526927138,432.7,801.2,439.8,220.3,1241.0,653.0,0.7843793756947897,0.4959514941303779,0.6456083803384367,0.6626339969372127,0.7082243897193743,0.5672635847291319,0.33736600306278713,0.6626339969372127,1000.0,0.6514783526927138,0.5,False,0.6514783526927138,0.6514783526927138,0.00010000000000000002,0.3485216473072862,0.6541211886378248,12.037696917228267,0.6514783526927139,0.28550107460357926,0.4449516857049723,0.3485216473072862,0.6514783526927138,0.6514783526927138,0.9000000000000001,0.6514783526927138,0.09999999999999999,0.2939553113738361,0.0010000000000000002
HOS,8,4.5,0.7162626346139371,0.5490602528006377,0.6692189892802449,0.6619661563255439,0.6653102155341498,0.664466737064414,437.0,821.5,419.5,216.0,1241.0,653.0,0.7920535722406784,0.5103408487687273,0.6619661563255439,0.6692189892802449,0.7209954395746843,0.5788573743239047,0.33078101071975496,0.6692189892802449,1000.0,0.664466737064414,0.5,False,0.664466737064414,0.664466737064414,0.00010000000000000002,0.3355332629355861,0.6655925728028945,11.589085443552111,0.664466737064414,0.30838245841735573,0.45554361105450986,0.33553326293558616,0.664466737064414,0.664466737064414,0.9000000000000001,0.664466737064414,0.09999999999999999,0.3164608904312939,0.0010000000000000002
HOS,9,4.5,0.6942108140325505,0.5013734861344893,0.6643185298621745,0.6397260273972603,0.6518461289878681,0.6482048574445618,433.8,793.9,447.1,219.2,1241.0,653.0,0.7836636033461961,0.492515127911907,0.6397260273972603,0.6643185298621745,0.7043681095092846,0.5656076534813498,0.33568147013782546,0.6643185298621745,1000.0,0.6482048574445618,0.5,False,0.6482048574445618,0.6482048574445618,0.00010000000000000002,0.35179514255543826,0.6520222786297174,12.150762519503711,0.6482048574445618,0.28083972046527034,0.4428971344100658,0.3517951425554382,0.6482048574445618,0.6482048574445618,0.9000000000000001,0.6482048574445618,0.09999999999999999,0.2897766329469825,0.0010000000000000002
