id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,probability,f1_score,hinge_loss,pr_curve,zero_one_loss,imb_sens_micro,C,avg_prec_score,hamming_loss,max_iter,roc_auc_score,prec_score,rec_score,cohen_kappa_score,fbeta_score,matthews_corrcoef,log_loss,gamma,imb_spec_micro,accuracy
HOS,0,3.0276503540974917,0.0017905248124746895,0.002005764988015055,0.015361612003332683,0.010152045091211669,0.003389259683183987,0.007535629964404355,0.006497267781883352,18.480019240009234,7.015063158027239,7.015063158027238,18.480019240009224,0.0,0.0,0.007551514993647026,0.0019812522810322484,0.010152045091211669,0.015361612003332683,0.0026315518249352553,0.008724786951710362,0.05514083537691256,0.01865420422228471,0.015361612003332695,0.015361612003332683,0.0,0.006497267781883352,,,0.006497267781883408,0.006497267781883352,0.0,0.0020561306874251808,0.00649726778188341,0.0,0.0035771767911292342,0.006497267781883352,0.006497267781883352,0.008461642514613387,0.006497267781883392,0.007535629964404355,0.2244052627580042,0.0,0.006497267781883352,0.006497267781883352
HOS,1,3.0276503540974917,0.0025625136315292818,0.0037373481455863144,0.012943165102938945,0.010356286394172225,0.00523586633656135,0.011838637949801835,0.006694498197065792,15.57062761883555,7.156193898373008,7.156193898373008,15.570627618835552,0.0,0.0,0.011396502890330019,0.0036068709663128052,0.010356286394172225,0.012943165102938945,0.006349430915862949,0.00687029879939895,0.1173323656967585,0.03611012948980988,0.012943165102938935,0.012943165102938945,0.0,0.006694498197065792,,,0.006694498197065792,0.006694498197065792,0.0,0.0033686860604376662,0.006694498197065779,0.0,0.005359950594663949,0.006694498197065792,0.006694498197065792,0.011792477108331431,0.006694498197065783,0.011838637949801835,0.23121926911312746,0.0,0.006694498197065792,0.006694498197065792
HOS,2,3.0276503540974917,0.0010707081834649282,0.0010621939296934116,0.006134165219092361,0.00974504828457461,0.0017860109806287921,0.0056545353370349586,0.0017099553398790982,7.379400758568118,6.733828364641045,6.733828364641054,7.379400758568118,0.0,0.0,0.0013809829061737975,0.005353769617407772,0.00974504828457461,0.006134165219092361,0.00330294861600645,0.0039087325592314995,0.007717817190832033,0.05729848892737853,0.006134165219092368,0.006134165219092361,0.0,0.0017099553398790982,,,0.001709955339879073,0.0017099553398790982,0.0,0.001793793071779058,0.0017099553398790697,0.0,0.0025077372057467837,0.0017099553398790982,0.0017099553398790982,0.003906112301166621,0.0017099553398790982,0.0056545353370349586,0.05905985499761937,0.0,0.0017099553398790982,0.0017099553398790982
HOS,3,3.0276503540974917,0.0030844754873751486,0.0049021954395253795,0.009109737784071452,0.008084935648283866,0.0041687450531879755,0.00841620954449152,0.004913994723770862,10.95901455423798,5.58669053296414,5.586690532964144,10.959014554237989,0.0,0.0,0.006382129032497896,0.0034096549233003123,0.008084935648283866,0.009109737784071452,0.0046956835808624284,0.005340361752684617,0.05460725058765478,0.03799521864613019,0.009109737784071469,0.009109737784071452,0.0,0.004913994723770862,,,0.00491399472377085,0.004913994723770862,0.0,0.0027300757739914775,0.00491399472377086,0.0,0.004199239228856894,0.004913994723770862,0.004913994723770862,0.008611726100422677,0.004913994723770861,0.00841620954449152,0.16972331357803372,0.0,0.004913994723770862,0.004913994723770862
HOS,4,3.0276503540974917,0.0022919778108742564,0.0029176385655070823,0.013847601617410218,0.014977496089011114,0.004325873078804761,0.008287069981752436,0.005225580727883319,16.658664745744517,10.349449797506681,10.34944979750668,16.65866474574451,0.0,0.0,0.008587040432254285,0.0053987172306932535,0.014977496089011114,0.013847601617410218,0.005303271911994738,0.006377480609592491,0.09256938733851346,0.08196778248988389,0.013847601617410226,0.013847601617410218,0.0,0.00522558072788332,,,0.005225580727883316,0.005225580727883319,0.0,0.003101321876311301,0.005225580727883313,0.0,0.004219859181565625,0.005225580727883319,0.005225580727883319,0.008587277141225256,0.005225580727883314,0.008287069981752436,0.18048361925663753,0.0,0.005225580727883319,0.005225580727883319
HOS,5,3.0276503540974917,0.001366496004618543,0.0020662898202330506,0.01589536338399188,0.012690686696609962,0.0032317669273761104,0.0042230004916453,0.005687641340131893,19.12212215094224,8.769264507357502,8.769264507357503,19.122122150942236,0.0,0.0,0.00480974726730936,0.00245718773759886,0.012690686696609962,0.01589536338399188,0.00201634401472474,0.00958891574187198,0.03035922027215836,0.023050569228675096,0.0158953633839919,0.01589536338399188,0.0,0.005687641340131893,,,0.005687641340131909,0.005687641340131893,0.0,0.0012405931922776778,0.0056876413401319055,0.0,0.00228755613724605,0.005687641340131893,0.005687641340131893,0.005610436079305403,0.005687641340131893,0.0042230004916453,0.19644078816180346,0.0,0.005687641340131893,0.005687641340131893
HOS,6,3.0276503540974917,0.0011610172271750493,0.0007887149584208653,0.0164162086222932,0.011526055843801123,0.005099397907424286,0.006950581472323216,0.006812596275908423,19.748698972618715,7.964504588066576,7.964504588066566,19.748698972618715,0.0,0.0,0.005199627445232003,0.0028704934167881166,0.011526055843801123,0.0164162086222932,0.0027566123769533317,0.011084876205270332,0.030652270367553736,0.025186287054350158,0.016416208622293222,0.0164162086222932,0.0,0.006812596275908423,,,0.006812596275908453,0.006812596275908423,0.0,0.002171428764130451,0.006812596275908451,0.0,0.003779607431782094,0.006812596275908423,0.006812596275908423,0.007951150275814695,0.006812596275908423,0.006950581472323216,0.23529612048511717,0.0,0.006812596275908423,0.006812596275908423
HOS,7,3.0276503540974917,0.0022392922193604638,0.0025024828877889,0.009274695669415564,0.01027960551844192,0.004080816840870757,0.004316617068638262,0.0027943782572897938,11.15745889030691,7.103207413243368,7.103207413243368,11.15745889030692,0.0,0.0,0.0064320070981209254,0.0017498236933563178,0.01027960551844192,0.009274695669415564,0.004976701657273816,0.0035891633597914694,0.05664416503681366,0.011997911699972504,0.009274695669415559,0.009274695669415564,0.0,0.0027943782572897938,,,0.0027943782572897925,0.0027943782572897938,0.0,0.0011291409317035772,0.0027943782572898038,0.0,0.0019321785200609766,0.0027943782572897938,0.0027943782572897938,0.004002894556135238,0.0027943782572897933,0.004316617068638262,0.09651257028053736,0.0,0.0027943782572897938,0.0027943782572897938
HOS,8,3.0276503540974917,0.0010796425502486691,0.0019526564418131536,0.00738108015107672,0.005459781501947295,0.007239930813036436,0.006155114699119179,0.003576195168038727,8.879439421745293,3.7727090178455756,3.7727090178455756,8.879439421745293,0.0,0.0,0.0015601300034094976,0.007698375132187166,0.005459781501947295,0.00738108015107672,0.0017510071150227116,0.009522011266252326,0.0074639658314598414,0.12522440484753855,0.007381080151076702,0.00738108015107672,0.0,0.003576195168038726,,,0.003576195168038723,0.003576195168038727,0.0,0.001761483178221508,0.0035761951680387412,0.0,0.0026224594574876586,0.003576195168038727,0.003576195168038727,0.004223190997951352,0.003576195168038731,0.006155114699119179,0.12351682144728207,0.0,0.003576195168038727,0.003576195168038727
HOSbal,0,3.0276503540974917,0.001961852164290894,0.003095233762560624,0.01662750916345165,0.010152045091211669,0.004569499019733339,0.009499094523371674,0.0046993068511172655,11.489608831945105,7.015063158027239,7.015063158027238,11.489608831945109,0.0,0.0,0.007835691955849745,0.003240131808924171,0.010152045091211669,0.01662750916345165,0.0036028627784353844,0.008602142605495116,0.060406792510283115,0.024024793216202725,0.016627509163451685,0.01662750916345165,0.0,0.0046993068511172655,,,0.00469930685111725,0.0046993068511172655,0.0,0.0032885882872568913,0.004699306851117268,0.0,0.0046993068511172326,0.0046993068511172655,0.0046993068511172655,0.009398613702234477,0.004699306851117306,0.009499094523371674,0.16230649909666373,0.0,0.0046993068511172655,0.0046993068511172655
