id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,momentum,hinge_loss,avg_prec_score,max_iter,matthews_corrcoef,accuracy,pr_curve,prec_score,power_t,learning_rate_init,f1_score,tol,fbeta_score,imb_sens_micro,hamming_loss,warm_start,log_loss,zero_one_loss,alpha,imb_spec_micro,roc_auc_score,cohen_kappa_score,rec_score
HOSbal,10,3.0276503540974917,0.00282353279136922,0.010011677290309917,0.012596171093966225,0.01309518111569579,0.001922426620882499,0.004033736592761039,0.0019835997169704578,8.225299724359928,8.55115326854935,8.551153268549353,8.22529972435993,0.0,0.0,0.004355027507036528,0.004468413401182344,0.01309518111569579,0.012596171093966225,0.005129323723291192,0.004482053714771149,0.03714489356596785,0.0366706014929652,0.012596171093966173,0.012596171093966225,0.0,,0.0017602780937305466,0.0,0.004033736592761039,0.0019835997169704578,,0.0019835997169704578,0.0,0.0,0.0019835997169704578,0.0,0.0019835997169704673,0.0019835997169704578,0.0019835997169704495,0.0,0.0685125462937193,0.0019835997169704474,0.0,0.0019835997169704578,0.001983599716970493,0.003967199433940871,0.0019835997169704578
HOSbal,11,3.0276503540974917,0.006454841568516536,0.006829095982639784,0.4130096813508466,0.3989550164828087,0.29885599843693184,0.1535220650234402,0.07480804896651368,269.69532192210283,260.51762576327405,260.51762576327405,269.69532192210283,0.0,0.0,0.14435926845719735,0.2703847240703897,0.3989550164828087,0.4130096813508466,0.2880717902732598,0.3180096487317797,3.6672641000947936,0.7783071498789815,0.41300968135084654,0.4130096813508466,0.0,,0.04837268017043772,0.0,0.1535220650234402,0.07480804896651368,,0.07480804896651368,0.0,0.0,0.07480804896651368,0.0,0.07480804896651368,0.07480804896651368,0.07480804896651364,0.0,2.583793141615609,0.07480804896651366,0.0,0.07480804896651368,0.07480804896651366,0.1496160979330273,0.07480804896651368
HOSbal,12,3.0276503540974917,0.043599730911311634,0.026759625807337806,0.10251940011699893,0.19824144575953134,0.17420923338915556,0.09305856358648244,0.048527768349661854,66.94516827640032,129.45166408097398,129.45166408097398,66.94516827640032,0.0,0.0,0.025329942979632366,0.04704478077827136,0.19824144575953134,0.10251940011699893,0.1983467475986615,0.007892936373761858,0.1829946976775406,0.26956412817411235,0.10251940011699893,0.10251940011699893,0.0,,0.03163597284808818,0.0,0.09305856358648244,0.048527768349661854,,0.048527768349661854,0.0,0.0,0.048527768349661854,0.0,0.048527768349661854,0.048527768349661854,0.04852776834966183,0.0,1.676168437195973,0.04852776834966184,0.0,0.048527768349661854,0.048527768349661854,0.09705553669932368,0.048527768349661854
HOSbal,13,3.0276503540974917,0.005049497021053787,0.012035403443871827,0.008449691351325615,0.010234781855928245,0.003120955988882796,0.005919834891568985,0.0029983001849083007,5.517648452415623,6.683312551921139,6.6833125519211345,5.517648452415614,0.0,0.0,0.003857308047591505,0.004537092681280199,0.010234781855928245,0.008449691351325615,0.004993502144180199,0.003338973750952384,0.037570543939351594,0.039683134187748235,0.00844969135132559,0.008449691351325615,0.0,,0.002647924466594866,0.0,0.005919834891568985,0.0029983001849083007,,0.0029983001849083007,0.0,0.0,0.0029983001849083007,0.0,0.0029983001849083293,0.0029983001849083007,0.002998300184908293,0.0,0.10355993027603394,0.002998300184908299,0.0,0.0029983001849083007,0.0029983001849083254,0.005996600369816597,0.0029983001849083007
HOSbal,14,3.0276503540974917,0.00624398797573024,0.005263436077691478,0.012849112994427609,0.010372608955995958,0.005020347693008509,0.009927751346699966,0.004981281151158893,8.390470785361211,6.773313648265353,6.773313648265356,8.390470785361211,0.0,0.0,0.0070658369438474046,0.005620666241001619,0.010372608955995958,0.012849112994427609,0.0051021384645902135,0.006729922791785008,0.07314584600743126,0.06085716577967063,0.012849112994427585,0.012849112994427609,0.0,,0.004292678787490792,0.0,0.009927751346699966,0.004981281151158893,,0.004981281151158893,0.0,0.0,0.004981281151158893,0.0,0.004981281151158874,0.004981281151158893,0.004981281151158916,0.0,0.17204819348283035,0.004981281151158925,0.0,0.004981281151158893,0.004981281151158906,0.00996256230231786,0.004981281151158893
HOSbal,15,3.0276503540974917,0.005372834108114367,0.013956052927280008,0.011000480855171794,0.011409767081938572,0.006582158939751414,0.01322027542498302,0.006594680085643088,7.18331399842719,7.450577904505878,7.450577904505865,7.183313998427187,0.0,0.0,0.007471731076581187,0.007061318575987143,0.011409767081938572,0.011000480855171794,0.0075209322738504815,0.006997031327745729,0.06832648768391437,0.06021443881089867,0.01100048085517181,0.011000480855171794,0.0,,0.005403912091006147,0.0,0.01322027542498302,0.006594680085643088,,0.006594680085643088,0.0,0.0,0.006594680085643088,0.0,0.006594680085643087,0.006594680085643088,0.006594680085643154,0.0,0.2277749564623258,0.006594680085643133,0.0,0.006594680085643088,0.006594680085643124,0.013189360171286309,0.006594680085643088
HOSbal,16,3.0276503540974917,0.010832952722794583,0.02069792222537324,0.009313704646267228,0.01029064066838523,0.0052900209226081395,0.01046171872244701,0.0052462493085999005,6.0818491340125265,6.719788356455543,6.719788356455551,6.081849134012528,0.0,0.0,0.005750100932651492,0.00596049547819323,0.01029064066838523,0.009313704646267228,0.006317205288902372,0.005610708973146239,0.052081596553213476,0.05119411673658987,0.009313704646267249,0.009313704646267228,0.0,,0.00435523867501426,0.0,0.01046171872244701,0.0052462493085999005,,0.0052462493085999005,0.0,0.0,0.0052462493085999005,0.0,0.005246249308599928,0.0052462493085999005,0.00524624930859991,0.0,0.1812014941361396,0.005246249308599893,0.0,0.0052462493085999005,0.005246249308599858,0.01049249861719983,0.0052462493085999005
HOSbal,17,3.0276503540974917,0.009588743225321833,0.01603614177647864,0.09573135759943104,0.2014554560679838,0.2108171804220157,,0.05323437713792818,62.51257651242847,131.55041281239338,131.55041281239338,62.51257651242846,0.0,0.0,0.2145441041855703,0.05027525315883311,0.2014554560679838,0.09573135759943104,0.20772586438995355,0.006571219127911988,,0.29669222827897473,0.09573135759943104,0.09573135759943104,0.0,,0.03515503855947047,0.0,0.1066678444184983,0.05323437713792818,,0.05323437713792818,0.0,0.0,0.05323437713792818,0.0,0.05323437713792821,0.05323437713792818,0.05323437713792821,0.0,1.8387305234864404,0.05323437713792819,0.0,0.05323437713792818,0.053234377137928196,0.10646875427585642,0.05323437713792818
HOSbal,18,3.0276503540974917,0.07590992335962884,0.05938307498068348,0.2716181677403114,0.14625142645628975,0.23424422907661493,,0.06339344618258981,177.36666353442334,95.50218147595722,95.50218147595722,177.36666353442334,0.0,0.0,0.06595297120250805,0.20379115665955924,0.14625142645628975,0.2716181677403114,0.012017996962932452,0.25869980400437265,0.3872784068960292,,0.2716181677403114,0.2716181677403114,0.0,,0.04127903708550323,0.0,0.12430197550559677,0.06339344618258981,,0.06339344618258981,0.0,0.0,0.06339344618258981,0.0,0.06339344618258981,0.06339344618258981,0.06339344618258977,0.0,2.1894748110381252,0.06339344618258977,0.0,0.06339344618258981,0.06339344618258984,0.12678689236517957,0.06339344618258981
HOSbal,19,3.0276503540974917,0.007097934050181772,0.009188530623698454,0.015053078607915509,0.009787083990776402,0.007966483148587859,0.016081258183161255,0.008014455573306569,9.829660330968833,6.390965845976985,6.390965845976995,9.829660330968828,0.0,0.0,0.010103974615305758,0.007140104205728663,0.009787083990776402,0.015053078607915509,0.007375832255807063,0.009715231292962784,0.09363833484803241,0.06294159490668301,0.015053078607915521,0.015053078607915509,0.0,,0.006421080394904412,0.0,0.016081258183161255,0.008014455573306569,,0.008014455573306569,0.0,0.0,0.008014455573306569,0.0,0.00801445557330658,0.008014455573306569,0.00801445557330658,0.0,0.27681106183411,0.008014455573306569,0.0,0.008014455573306569,0.008014455573306597,0.016028911146613152,0.008014455573306569
