id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,ber,bcr,max_iter,rec_score,prec_score,warm_start,matthews_corrcoef,roc_auc_score,momentum,fbeta_score,accuracy,log_loss,learning_rate_init,f1_score,cohen_kappa_score,hamming_loss,power_t,tol,zero_one_loss,avg_prec_score,alpha,imb_spec_micro,imb_sens_micro
HOS,0,4.5,0.5655677655677656,0.8859002886551011,0.6076923076923076,0.37142857142857144,0.08633745175023987,0.5717391304347826,23.7,2.6,4.4,15.3,7.0,39.0,0.07465217391304349,0.5853416149068322,0.37142857142857144,0.6076923076923076,0.12027789171452008,0.5870843989769821,0.39230769230769236,0.6076923076923076,1000.0,0.5717391304347826,0.5717391304347826,False,-0.014184634301310197,0.4895604395604396,0.9000000000000001,0.5717391304347826,0.5717391304347826,14.791682895835503,0.0010000000000000002,0.5717391304347826,-0.005728465356057399,0.42826086956521736,0.5,0.00010000000000000002,0.42826086956521736,0.8463019589106544,1.0,0.5717391304347826,0.5717391304347826
HOS,1,4.5,0.5926739926739927,0.8860474118270207,0.5923076923076923,0.48571428571428577,0.2716779137065891,0.576086956521739,23.1,3.4,3.6,15.9,7.0,39.0,0.11868064397476163,0.894080063327034,0.48571428571428577,0.5923076923076923,0.18629904953434365,0.6231256220876947,0.4076923076923077,0.5923076923076923,1000.0,0.576086956521739,0.576086956521739,False,0.055597560385450995,0.5390109890109891,0.9000000000000001,0.576086956521739,0.576086956521739,14.641500396771892,0.0010000000000000002,0.576086956521739,0.03429099129178649,0.4239130434782609,0.5,0.00010000000000000002,0.4239130434782609,0.8591125480097632,1.0,0.576086956521739,0.576086956521739
HOS,2,4.5,0.6304029304029305,0.8930297806652551,0.5692307692307692,0.5285714285714286,0.23197933095728507,0.5630434782608695,22.2,3.7,3.3,16.8,7.0,39.0,0.11784897025171623,0.8166233122754862,0.5285714285714286,0.5692307692307692,0.18824013204701326,0.5842400163203607,0.43076923076923074,0.5692307692307692,1000.0,0.5630434782608695,0.5630434782608695,False,0.08305379916999392,0.548901098901099,0.9000000000000001,0.5630434782608695,0.5630434782608695,15.092000961070093,0.0010000000000000002,0.5630434782608695,0.05148862897159227,0.43695652173913047,0.5,0.00010000000000000002,0.43695652173913047,0.8617150552490574,1.0,0.5630434782608695,0.5630434782608695
HOS,3,4.5,0.48461538461538456,0.8499478165016179,0.8,0.2,0.0,0.708695652173913,31.2,1.4,5.6,7.8,7.0,39.0,0.030434782608695653,0.6782608695652173,0.2,0.8,0.052830188679245285,0.7341176470588235,0.2,0.8,1000.0,0.708695652173913,0.708695652173913,False,0.0,0.5,0.9000000000000001,0.708695652173913,0.708695652173913,10.06139307472635,0.0010000000000000002,0.7086956521739131,0.0,0.29130434782608694,0.5,0.00010000000000000002,0.29130434782608694,0.8478260869565217,1.0,0.708695652173913,0.708695652173913
HOS,4,4.5,0.5663003663003663,0.8713087065216223,0.5076923076923078,0.5,0.11699475430982549,0.5065217391304347,19.8,3.5,3.5,19.2,7.0,39.0,0.11325051759834368,0.5103248940640245,0.5,0.5076923076923078,0.17173180592991913,0.5031084451324389,0.49230769230769234,0.5076923076923078,1000.0,0.5065217391304347,0.5065217391304347,False,0.008057186362689633,0.5038461538461538,0.9000000000000001,0.5065217391304347,0.5065217391304347,17.04419614685822,0.0010000000000000002,0.5065217391304349,0.007373585330008403,0.49347826086956526,0.5,0.00010000000000000002,0.49347826086956526,0.8493731840688362,1.0,0.5065217391304347,0.5065217391304347
HOS,5,4.5,0.550915750915751,0.88016123164539,0.3333333333333333,0.7,0.057735026918962574,0.38913043478260867,13.0,4.9,2.1,26.0,7.0,39.0,0.11251646903820818,0.35434782608695653,0.7,0.3333333333333333,0.19349056603773582,0.3252941176470588,0.6666666666666667,0.3333333333333333,1000.0,0.38913043478260867,0.38913043478260867,False,0.026590801173915525,0.5166666666666666,0.9000000000000001,0.38913043478260867,0.38913043478260867,21.098723822860727,0.0010000000000000002,0.3891304347826088,0.013207547169811328,0.6108695652173913,0.5,0.00010000000000000002,0.6108695652173913,0.8528985507246375,1.0,0.38913043478260867,0.38913043478260867
HOS,6,4.5,0.5586080586080586,0.8738117770135967,0.30512820512820515,0.7428571428571429,0.14802465109299598,0.3717391304347825,11.9,5.2,1.8,27.1,7.0,39.0,0.13744316567206594,0.42933533233383303,0.7428571428571429,0.30512820512820515,0.22757687364434442,0.32153528077897825,0.6948717948717948,0.30512820512820515,1000.0,0.3717391304347825,0.3717391304347825,False,0.03305163527953451,0.5239926739926739,0.9000000000000001,0.3717391304347825,0.3717391304347825,21.69939298018028,0.0010000000000000002,0.3717391304347825,0.028890871394509077,0.6282608695652174,0.5,0.00010000000000000002,0.6282608695652174,0.8556305180742962,0.09999999999999999,0.3717391304347825,0.3717391304347825
HOS,7,4.5,0.6736263736263738,0.902434790405281,0.612820512820513,0.7142857142857143,0.6602585134930694,0.6282608695652175,23.9,5.0,2.0,15.1,7.0,39.0,0.2539878100056118,0.9216474598198735,0.7142857142857143,0.612820512820513,0.3732876820749819,0.7337628420525877,0.3871794871794872,0.612820512820513,1000.0,0.6282608695652175,0.6282608695652175,False,0.23966195941078966,0.6635531135531136,0.9000000000000001,0.6282608695652175,0.6282608695652175,12.839449468431152,0.0010000000000000002,0.6282608695652175,0.1908857483422372,0.3717391304347826,0.5,0.00010000000000000002,0.3717391304347826,0.8938174100872752,0.09999999999999999,0.6282608695652175,0.6282608695652175
HOS,8,4.5,0.6692307692307693,0.8998729688237816,0.717948717948718,0.5428571428571429,0.5250664266692403,0.691304347826087,28.0,3.8,3.2,11.0,7.0,39.0,0.21816684738411496,0.9012914199058828,0.5428571428571429,0.717948717948718,0.30770805312401234,0.7834390449270859,0.28205128205128205,0.717948717948718,1000.0,0.691304347826087,0.691304347826087,False,0.1976652903267549,0.6304029304029304,0.9000000000000001,0.691304347826087,0.691304347826087,10.662025728684963,0.0010000000000000002,0.691304347826087,0.1694843260314741,0.30869565217391304,0.5,0.00010000000000000002,0.30869565217391304,0.8844880222682854,0.09999999999999999,0.691304347826087,0.691304347826087
HOS,9,4.5,0.5164835164835164,0.8665713198006554,0.5076923076923077,0.5,0.02773500981126146,0.5065217391304347,19.8,3.5,3.5,19.2,7.0,39.0,0.07714863498483318,0.5239130434782608,0.5,0.5076923076923077,0.13366037735849057,0.473109243697479,0.49230769230769234,0.5076923076923077,1000.0,0.5065217391304347,0.5065217391304347,False,0.011190335723100832,0.5038461538461538,0.9000000000000001,0.5065217391304347,0.5065217391304347,17.04419614685822,0.0010000000000000002,0.5065217391304349,0.002473498233215565,0.49347826086956526,0.5,0.00010000000000000002,0.49347826086956526,0.8489966555183945,0.09999999999999999,0.5065217391304347,0.5065217391304347
