id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,max_iter,rec_score,prec_score,warm_start,matthews_corrcoef,roc_auc_score,momentum,fbeta_score,accuracy,log_loss,pr_curve,learning_rate_init,f1_score,cohen_kappa_score,hamming_loss,hinge_loss,power_t,tol,zero_one_loss,avg_prec_score,alpha,imb_spec_micro,imb_sens_micro
HOS,23,3.0276503540974917,0.08534440436799258,0.03337451037319155,0.3847483151100001,0.1710312856768378,0.33796136145470057,,0.30140920859704196,15.005184289290002,1.1972189997378646,1.1972189997378648,15.005184289290002,0.0,0.0,0.121221166802534,0.4909292441314974,0.1710312856768378,0.3847483151100001,0.11376342988208774,0.41054605331889293,1.388846828812145,,0.38474831511000007,0.3847483151100001,0.0,0.30140920859704196,0.30140920859704196,0.0,0.18369518488579295,0.11340022135751127,0.0,0.30140920859704196,0.30140920859704196,10.41028552003852,,0.0,0.30140920859704196,0.18252297195861086,0.30140920859704196,,0.0,0.0,0.30140920859704196,0.03225125013997418,0.0,0.30140920859704196,0.30140920859704196
HOS,24,3.0276503540974917,0.1003654462559726,0.0413587065773133,0.22980170713834222,0.3011693009684171,0.2626542137801423,,0.15556943257332628,8.962266578395344,2.1081851067789197,2.1081851067789197,8.962266578395345,0.0,0.0,0.09694822570312091,0.03232156401977849,0.3011693009684171,0.22980170713834222,0.144800081470013,0.14819638034527788,,0.5023158436764527,0.22980170713834225,0.22980170713834222,0.0,0.15556943257332628,0.15556943257332628,0.0,0.1034762341158412,0.07175940623949327,0.0,0.15556943257332628,0.15556943257332628,5.373147887635985,,0.0,0.15556943257332634,0.08176604715212092,0.15556943257332634,,0.0,0.0,0.15556943257332634,0.020198434997329682,0.0,0.15556943257332628,0.15556943257332628
HOS,25,3.0276503540974917,0.03356310046110611,0.01786694552224975,0.08202456830092363,0.09642122253007902,0.03585048347176338,0.04396359236520609,0.05815189173257646,3.1989581637360205,0.6749485577105528,0.674948557710553,3.1989581637360205,0.0,0.0,0.04466791559786918,0.01269159827161401,0.09642122253007902,0.08202456830092363,0.03432736202760623,0.04821730478364643,0.54559076517021,0.3252646331809895,0.0820245683009236,0.08202456830092363,0.0,0.05815189173257646,0.05815189173257646,0.0,0.04396359236520609,0.02775999377041965,0.0,0.05815189173257646,0.05815189173257646,2.0084866656699254,,0.0,0.05815189173257646,0.05145746422454163,0.05815189173257647,,0.0,0.0,0.058151891732576476,0.00830312665464944,0.0,0.05815189173257646,0.05815189173257646
HOS,26,3.0276503540974917,0.028751921463532663,0.022614558607250177,0.09141703902304918,0.060233860193683444,0.011588183257163676,0.07562480088725222,0.0685922293692709,3.565264521898917,0.4216370213557841,0.4216370213557839,3.565264521898917,0.0,0.0,0.11179654877893885,0.004451467654738202,0.060233860193683444,0.09141703902304918,0.0610148657049272,0.05078531766095546,2.0892236682266145,0.15829281348249685,0.09141703902304917,0.09141703902304918,0.0,0.0685922293692709,0.0685922293692709,0.0,0.07562480088725222,0.017609530038896135,0.0,0.0685922293692709,0.0685922293692709,2.3690845719941027,,0.0,0.0685922293692709,0.09409661092490972,0.06859222936927092,,0.0,0.0,0.06859222936927092,0.004816507684075281,0.0,0.0685922293692709,0.0685922293692709
HOS,27,3.0276503540974917,0.032027143651906155,0.015271499673931046,0.038318823540957093,0.060233860193683424,0.029472069404476598,0.04353062997759693,0.02978957216100648,1.4944341180973262,0.4216370213557843,0.42163702135578385,1.4944341180973268,0.0,0.0,0.029927467345947308,0.011624921646129138,0.060233860193683424,0.038318823540957093,0.030812496755425113,0.023120480016433933,0.34914367316995676,0.32860626601991044,0.03831882354095709,0.038318823540957093,0.0,0.02978957216100648,0.02978957216100648,0.0,0.04353062997759693,0.028030555639307526,0.0,0.02978957216100648,0.02978957216100648,1.0288942442364222,,0.0,0.029789572161006448,0.04205808000447711,0.02978957216100648,,0.0,0.0,0.029789572161006483,0.008431767785150283,0.0,0.02978957216100648,0.02978957216100648
HOS,28,3.0276503540974917,0.044570725881426076,0.027477662781669184,0.08898745357142131,0.09642122253007902,0.044802583660172327,0.07327209038135375,0.066768982607475,3.470510689285432,0.6749485577105528,0.674948557710553,3.470510689285432,0.0,0.0,0.07399659418302335,0.014188644669992838,0.09642122253007902,0.08898745357142131,0.057644370358370195,0.05320056024504427,1.0984873033217604,0.37215246254431417,0.08898745357142131,0.08898745357142131,0.0,0.066768982607475,0.066768982607475,0.0,0.07327209038135375,0.038673659686243936,0.0,0.066768982607475,0.066768982607475,2.3061128606929264,,0.0,0.06676898260747502,0.08222591080356391,0.06676898260747502,,0.0,0.0,0.06676898260747503,0.011457026458414418,0.0,0.066768982607475,0.066768982607475
HOS,29,3.0276503540974917,0.03289063186093035,0.022515446083456705,0.2383374366896872,0.10540925533894599,0.21932830752413215,,0.1875818101995723,9.295160030897803,0.7378647873726221,0.7378647873726218,9.295160030897803,0.0,0.0,0.08507294687240478,0.29213449338815184,0.10540925533894599,0.2383374366896872,0.07860443573632368,0.2547182255629085,0.9825035496780598,,0.23833743668968718,0.2383374366896872,0.0,0.1875818101995723,0.1875818101995723,0.0,0.12370610621392462,0.07444628783907904,0.0,0.1875818101995723,0.1875818101995723,6.478834715648087,,0.0,0.1875818101995723,0.12389262889729179,0.18758181019957232,,0.0,0.0,0.1875818101995723,0.02129761176724265,0.0,0.1875818101995723,0.1875818101995723
HOS,30,3.0276503540974917,0.11001366680202353,0.028340707327360343,0.30030301009847626,0.39954622787434346,0.29756853525755816,,0.20660435672667093,11.711817393840578,2.7968235951204043,2.7968235951204043,11.711817393840576,0.0,0.0,0.106957671209323,0.28593720185121657,0.39954622787434346,0.30030301009847626,0.1612850703589105,0.2695893871734712,,,0.30030301009847626,0.30030301009847626,0.0,0.20660435672667093,0.20660435672667093,0.0,0.16351254565447002,0.11132709220875003,0.0,0.20660435672667093,0.20660435672667093,7.13582599324184,,0.0,0.20660435672667096,0.12571330058979174,0.20660435672667096,,0.0,0.0,0.20660435672667096,0.0326936785079681,0.0,0.20660435672667093,0.20660435672667093
HOS,31,3.0276503540974917,0.026585882188062838,0.023514751436215894,0.060737907707486744,0.060233860193683424,0.03873537340949259,0.06975887601397589,0.05025664024463685,2.3687784005919816,0.4216370213557843,0.42163702135578385,2.3687784005919825,0.0,0.0,0.058983062298820194,0.01202720794205954,0.060233860193683424,0.060737907707486744,0.05429124475966425,0.03811048556954161,0.8072967801142942,0.38804422844296504,0.06073790770748673,0.060737907707486744,0.0,0.05025664024463685,0.05025664024463685,0.0,0.06975887601397589,0.037713425058305675,0.0,0.05025664024463685,0.05025664024463685,1.7358025256049585,,0.0,0.05025664024463686,0.07574923790213509,0.05025664024463682,,0.0,0.0,0.05025664024463683,0.01131442308483882,0.0,0.05025664024463685,0.05025664024463685
HOS,32,3.0276503540974917,0.01539139722994569,0.012563388406785088,0.049543168363040804,0.12046772038736692,0.06519024802096117,0.082110288671031,0.036664088813546436,1.9321835661585929,0.8432740427115678,0.8432740427115678,1.9321835661585915,0.0,0.0,0.056547511359410406,0.020145587347120804,0.12046772038736692,0.049543168363040804,0.06602646163420604,0.02702231851434148,0.8413657785494761,0.5854303991096523,0.049543168363040804,0.049543168363040804,0.0,0.036664088813546436,0.036664088813546436,0.0,0.082110288671031,0.05269295808258336,0.0,0.036664088813546436,0.036664088813546436,1.2663318491977569,,0.0,0.036664088813546436,0.07957657611221867,0.03666408881354643,,0.0,0.0,0.03666408881354642,0.015933961923732323,0.0,0.036664088813546436,0.036664088813546436
