id_data,id_estm,id_fold,roc,prauc,sens,spec,gmean,matt,score,tp,tn,fp,fn,sp0,sp1,p0,p1,r0,r1,fs0,fs1,nlike,plike,ber,bcr,cohen_kappa_score,accuracy,prec_score,momentum,alpha,avg_prec_score,imb_spec_micro,tol,matthews_corrcoef,warm_start,zero_one_loss,log_loss,rec_score,learning_rate_init,power_t,max_iter,hinge_loss,fbeta_score,hamming_loss,f1_score,roc_auc_score,pr_curve,imb_sens_micro
HOSbal,7,3.0276503540974917,0.005030239671040139,0.005378513246415766,0.01751979917501312,0.017552874150981685,0.010160091570908957,0.019970569780468492,0.01004807695780489,10.143963722332606,10.163114133418402,10.1631141334184,10.143963722332607,0.0,0.0,0.011405450104520399,0.011881285198850216,0.017552874150981685,0.01751979917501312,0.010823651562172599,0.01100552522304216,0.1395956319807595,0.15261919262643006,0.017519799175013135,0.01751979917501312,0.02009615391560975,0.01004807695780489,0.01004807695780489,0.0,0.0,0.00958515949928279,0.01004807695780489,0.0,0.019970569780468492,0.0,0.010048076957804863,0.3470523120392655,0.01004807695780489,0.0,0.0,0.0,,0.01004807695780489,0.010048076957804866,0.010048076957804875,0.010048076957804897,,0.01004807695780489
HOSbal,8,3.0276503540974917,0.008267434536311727,0.010222350803120514,0.012539277734081268,0.010031157865112047,0.00710419449814531,0.014326593644421083,0.007135029768488071,7.260241808033068,5.808040403899869,5.8080404038998665,7.260241808033059,0.0,0.0,0.009653150844667042,0.007589165156580928,0.010031157865112047,0.012539277734081268,0.007015468566162785,0.0077595896800616414,0.1945323615014271,0.1404463305943071,0.012539277734081285,0.012539277734081268,0.014270059536976071,0.007135029768488071,0.007135029768488071,0.0,0.0,0.007190613060462448,0.007135029768488071,0.0,0.014326593644421083,0.0,0.007135029768488059,0.24643725734340302,0.007135029768488071,0.0,0.0,0.0,,0.0071350297684881015,0.007135029768488038,0.00713502976848803,0.007135029768488063,,0.007135029768488071
HOSbal,9,3.0276503540974917,0.012192170319078634,0.013903099842002886,0.015464947279567803,0.017740691119642035,0.008659524885960727,0.017321991202159586,0.008647085022691337,8.954204474869766,10.271860158272748,10.271860158272759,8.954204474869767,0.0,0.0,0.008985880274513231,0.011510739415878046,0.017740691119642035,0.015464947279567803,0.01003440640500793,0.00932061365113347,0.09419923156804605,0.1338708987776557,0.015464947279567797,0.015464947279567803,0.017294170045382695,0.008647085022691337,0.008647085022691337,0.0,0.0,0.008187297900755543,0.008647085022691337,0.0,0.017321991202159586,0.0,0.008647085022691327,0.29866406668058987,0.008647085022691337,0.0,0.0,0.0,,0.008647085022691337,0.008647085022691346,0.008647085022691337,0.00864708502269137,,0.008647085022691337
HOSbal,10,3.0276503540974917,0.011182679505818785,0.014129802676498158,0.015580247392088407,0.016222225450322796,0.010921513593195445,0.021809351794705136,0.010909576302144198,9.020963240019206,9.39266853573691,9.392668535736915,9.020963240019205,0.0,0.0,0.011807969097412614,0.012460451722576654,0.016222225450322796,0.015580247392088407,0.011405755227645933,0.011299727137437592,0.16637944089394496,0.18364019572400594,0.01558024739208841,0.015580247392088407,0.021819152604288464,0.010909576302144198,0.010909576302144198,0.0,0.0,0.01081150407166081,0.010909576302144198,0.0,0.021809351794705136,0.0,0.010909576302144218,0.3768079651745807,0.010909576302144198,0.0,0.0,0.0,,0.010909576302144198,0.010909576302144225,0.010909576302144182,0.010909576302144171,,0.010909576302144198
HOSbal,11,3.0276503540974917,0.040172508957250684,0.03788425160498325,0.15216326192720878,0.23900886787795736,0.22144306641037328,,0.06756631302389593,88.1025286558539,138.38613450133732,138.38613450133732,88.10252865585389,0.0,0.0,0.21759562574851496,0.06819359988859106,0.23900886787795736,0.15216326192720878,0.22377132966130264,0.06871176857419226,,0.4867847238372215,0.15216326192720878,0.15216326192720878,0.13513262604779183,0.06756631302389593,0.06756631302389593,0.0,0.0,0.04840408209738708,0.06756631302389593,0.0,0.13225462150940712,0.0,0.06756631302389592,2.3337350445351444,0.06756631302389593,0.0,0.0,0.0,,0.06756631302389594,0.06756631302389593,0.06756631302389593,0.06756631302389592,,0.06756631302389593
HOSbal,12,3.0276503540974917,0.003494166809519894,0.0034736405856748438,0.014687819179378609,0.01406536384356232,0.005422158570916306,0.009861813405780996,0.004833867479489571,8.50424730486022,8.14384566542259,8.143845665422587,8.504247304860227,0.0,0.0,0.005243279853982668,0.008590516039319368,0.01406536384356232,0.014687819179378609,0.005656395820624391,0.00803461439611074,0.03920348121922726,0.09361179647091132,0.014687819179378636,0.014687819179378609,0.00966773495897908,0.004833867479489571,0.004833867479489571,0.0,0.0,0.0043619016110239784,0.004833867479489571,0.0,0.009861813405780996,0.0,0.004833867479489541,0.16695743059075177,0.004833867479489571,0.0,0.0,0.0,,0.00483386747948956,0.004833867479489534,0.004833867479489571,0.00483386747948958,,0.004833867479489571
HOSbal,13,3.0276503540974917,0.008696829788939016,0.0076218611958803785,0.012422433123096049,0.017781744630374748,0.012007151738098803,0.02383630245825548,0.011950564730602714,7.192588778272625,10.295630140986999,10.295630140986999,7.19258877827263,0.0,0.0,0.011264772304025842,0.013746882577653934,0.017781744630374748,0.012422433123096049,0.013256768241091852,0.011242307170081246,0.14948907274840634,0.17586737367855773,0.01242243312309604,0.012422433123096049,0.023901129461205463,0.011950564730602714,0.011950564730602714,0.0,0.0,0.011592805824423028,0.011950564730602714,0.0,0.02383630245825548,0.0,0.011950564730602718,0.41276401470444196,0.011950564730602714,0.0,0.0,0.0,,0.011950564730602714,0.011950564730602731,0.011950564730602698,0.011950564730602728,,0.011950564730602714
HOSbal,14,3.0276503540974917,0.006641031749197206,0.011526402773144533,0.009256151520330207,0.017759363570994915,0.010204136195370816,0.019339584417675144,0.009896856985866877,5.359311730271176,10.282671507606043,10.282671507606057,5.359311730271176,0.0,0.0,0.008994614695942036,0.012881421168498546,0.017759363570994915,0.009256151520330207,0.011717162519798647,0.00856770703382246,0.28892938040957,0.2626146141433266,0.009256151520330193,0.009256151520330207,0.019793713971733753,0.009896856985866877,0.009896856985866877,0.0,0.0,0.011370196192590264,0.009896856985866877,0.0,0.019339584417675144,0.0,0.009896856985866887,0.3418316071734068,0.009896856985866877,0.0,0.0,0.0,,0.009896856985866877,0.00989685698586689,0.009896856985866877,0.009896856985866861,,0.009896856985866877
HOSbal,15,3.0276503540974917,0.009561250746663147,0.014162165557556835,0.01734774804066705,0.028201331147174026,0.013167594177450047,0.027717191177681195,0.013567602750077987,10.044346115546247,16.328570734213766,16.328570734213763,10.044346115546238,0.0,0.0,0.011277490376863694,0.02014931539537176,0.028201331147174026,0.01734774804066705,0.016437736371503933,0.012320175550030796,0.11166077100297539,0.24819312048460876,0.017347748040667098,0.01734774804066705,0.027135205500156013,0.013567602750077987,0.013567602750077987,0.0,0.0,0.01341774892423359,0.013567602750077987,0.0,0.027717191177681195,0.0,0.013567602750077982,0.468617463883196,0.013567602750077987,0.0,0.0,0.0,,0.013567602750077972,0.01356760275007799,0.013567602750077987,0.013567602750077979,,0.013567602750077987
HOSbal,16,3.0276503540974917,0.011017404967661796,0.011066152308037579,0.010129795024950056,0.02324951233727352,0.013703196476902015,0.02689647887306388,0.013538562798314129,5.865151319446074,13.461467643281363,13.461467643281365,5.8651513194460705,0.0,0.0,0.010908059953561172,0.01692085806510749,0.02324951233727352,0.010129795024950056,0.01625516367983699,0.011393446202492122,0.14773833751619825,0.20995137487161797,0.010129795024950037,0.010129795024950056,0.027077125596628296,0.013538562798314129,0.013538562798314129,0.0,0.0,0.013353332374719662,0.013538562798314129,0.0,0.02689647887306388,0.0,0.013538562798314129,0.4676140389486146,0.013538562798314129,0.0,0.0,0.0,,0.013538562798314124,0.013538562798314146,0.013538562798314103,0.013538562798314165,,0.013538562798314129
